arch,scenario,target,split,ticker,rmse,mae,mape,cpu_util_pct,peak_cpu_mem_mb,total_elapsed_s,mtime_iso
lstm,efficiency,close,test,ANTM,701.541748,575.322876,23.998734,37.59,3150.54,88.58,2025-11-11T02:13:45+00:00
lstm,stopping_embargo,close,test,ANTM,1330.990601,1007.431030,37.051983,,,,2025-11-10T12:23:24+00:00
lstm,stopping_no_embargo,close,test,ANTM,1298.050659,968.025818,35.974674,,,,2025-11-10T15:29:02+00:00
tcn,efficiency,close,test,ANTM,696.760071,577.087463,24.266424,30.45,6762.95,132.46,2025-11-11T03:51:00+00:00
tcn,stopping_embargo,close,test,ANTM,1202.472290,979.827393,37.847218,,,,2025-11-10T16:12:48+00:00
tcn,stopping_no_embargo,close,test,ANTM,1172.751831,941.670105,36.690662,,,,2025-11-10T16:56:32+00:00
tft,efficiency,close,test,ANTM,181.350861,129.900589,5.286825,15.03,19077.59,240.59,2025-11-11T15:57:38+00:00
tft,stopping_embargo,close,test,ANTM,1008.392212,801.738464,32.030128,,,,2025-11-11T15:39:07+00:00
tft,stopping_no_embargo,close,test,ANTM,988.110413,782.969604,31.846125,,,,2025-11-11T15:45:13+00:00
lstm,efficiency,close,val,ANTM,448.352020,384.159668,27.398682,37.59,3150.54,88.58,2025-11-11T02:13:44+00:00
lstm,stopping_embargo,close,val,ANTM,220.752762,186.260910,13.139537,,,,2025-11-10T12:23:23+00:00
lstm,stopping_no_embargo,close,val,ANTM,214.343323,179.199127,12.646187,,,,2025-11-10T15:29:02+00:00
tcn,efficiency,close,val,ANTM,140.877274,120.523994,8.119644,30.45,6762.95,132.46,2025-11-11T03:51:00+00:00
tcn,stopping_embargo,close,val,ANTM,144.759430,111.771111,7.437254,,,,2025-11-10T16:12:47+00:00
tcn,stopping_no_embargo,close,val,ANTM,142.262695,109.184624,7.258406,,,,2025-11-10T16:56:31+00:00
tft,efficiency,close,val,ANTM,65.022041,51.124035,3.523888,15.03,19077.59,240.59,2025-11-11T15:57:38+00:00
tft,stopping_embargo,close,val,ANTM,296.520142,249.637741,17.994978,,,,2025-11-11T15:39:07+00:00
tft,stopping_no_embargo,close,val,ANTM,289.388153,241.075821,17.390785,,,,2025-11-11T15:45:12+00:00
lstm,efficiency,mean,test,ANTM,787.759094,596.810791,23.725075,37.52,3148.30,86.78,2025-11-11T03:27:40+00:00
lstm,stopping_embargo,mean,test,ANTM,1086.724976,819.153137,30.118963,,,,2025-11-10T14:36:06+00:00
lstm,stopping_no_embargo,mean,test,ANTM,1059.135498,782.963074,28.962315,,,,2025-11-10T15:49:51+00:00
tcn,efficiency,mean,test,ANTM,570.886292,424.308136,16.589211,31.28,6763.16,141.38,2025-11-11T04:14:08+00:00
tcn,stopping_embargo,mean,test,ANTM,1338.541870,1069.226685,41.069489,,,,2025-11-10T16:34:52+00:00
tcn,stopping_no_embargo,mean,test,ANTM,1243.651611,996.053040,39.132481,,,,2025-11-10T19:54:03+00:00
tft,efficiency,mean,test,ANTM,756.859985,637.745911,27.778412,14.92,19088.14,252.42,2025-11-11T16:22:38+00:00
tft,stopping_embargo,mean,test,ANTM,1281.505249,927.542236,33.005314,,,,2025-11-10T19:37:26+00:00
tft,stopping_no_embargo,mean,test,ANTM,933.662170,746.932007,30.920649,,,,2025-11-17T18:32:41.287484+00:00
lstm,efficiency,mean,val,ANTM,510.087128,454.254822,32.235302,37.52,3148.30,86.78,2025-11-11T03:27:39+00:00
lstm,stopping_embargo,mean,val,ANTM,134.426529,114.014824,8.042763,,,,2025-11-10T14:36:05+00:00
lstm,stopping_no_embargo,mean,val,ANTM,131.704178,111.076141,7.837150,,,,2025-11-10T15:49:51+00:00
tcn,efficiency,mean,val,ANTM,165.669769,144.739609,9.751886,31.28,6763.16,141.38,2025-11-11T04:14:08+00:00
tcn,stopping_embargo,mean,val,ANTM,140.691940,113.148476,7.762540,,,,2025-11-10T16:34:51+00:00
tcn,stopping_no_embargo,mean,val,ANTM,140.921783,106.771706,7.218749,,,,2025-11-10T19:54:02+00:00
tft,efficiency,mean,val,ANTM,414.902893,391.199219,27.596388,14.92,19088.14,252.42,2025-11-11T16:22:38+00:00
tft,stopping_embargo,mean,val,ANTM,258.596741,221.595734,15.886871,,,,2025-11-10T19:37:26+00:00
tft,stopping_no_embargo,mean,val,ANTM,299.105408,254.678726,18.368364,,,,2025-11-17T18:32:40.999403+00:00
lstm,efficiency,close,test,ASII,440.338318,370.162292,7.675877,37.35,3148.62,88.69,2025-11-11T02:06:09+00:00
lstm,stopping_embargo,close,test,ASII,608.655762,481.204498,9.747330,,,,2025-11-11T05:10:56+00:00
lstm,stopping_no_embargo,close,test,ASII,600.511719,476.556519,9.638483,,,,2025-11-10T15:25:38+00:00
tcn,efficiency,close,test,ASII,314.773041,255.508636,5.222857,31.02,6762.69,139.37,2025-11-11T03:47:26+00:00
tcn,stopping_embargo,close,test,ASII,363.115540,286.536346,5.931942,,,,2025-11-11T16:49:21+00:00
