calendar_date,rsi_7,rsi_14,sma_7,sma_14,sma_21,sma_100,std_dev_7,std_dev_14,std_dev_21,std_dev_100
2020-01-02,66.667,60.0,837.143,840.0,827.381,938.3,8.092,12.247,23.378,112.995
2020-01-03,66.667,60.0,837.143,840.0,827.381,938.3,8.092,12.247,23.378,112.995
2020-01-04,66.667,60.0,837.143,840.0,827.381,938.3,8.092,12.247,23.378,112.995
2020-01-05,86.667,68.75,845.0,844.286,831.905,936.5,19.149,16.392,24.924,112.388
2020-01-06,81.25,62.5,852.143,847.143,836.667,934.15,19.76,18.051,22.986,111.174
2020-01-07,84.211,65.714,861.429,851.071,842.381,932.0,27.036,23.792,24.373,109.611
2020-01-08,69.565,54.054,867.857,852.143,845.952,929.6,24.976,24.785,24.115,108.07
2020-01-09,69.565,56.757,874.286,853.929,849.524,927.6,22.254,26.252,24.078,107.011
2020-01-10,69.565,56.757,874.286,853.929,849.524,927.6,22.254,26.252,24.078,107.011
2020-01-11,69.565,56.757,874.286,853.929,849.524,927.6,22.254,26.252,24.078,107.011
2020-01-12,61.538,61.765,878.571,856.786,851.667,925.8,16.762,25.616,23.787,106.443
2020-01-13,50.0,54.054,878.571,857.857,852.857,923.6,16.762,24.939,22.998,105.704
2020-01-14,29.167,51.282,871.429,858.214,853.333,921.55,23.042,24.543,22.491,105.411
2020-01-15,37.5,55.0,867.143,859.643,853.81,919.85,24.976,22.994,22.187,105.259
2020-01-16,15.789,50.0,857.857,859.643,853.333,917.95,20.178,22.994,22.379,104.965
2020-01-17,15.789,50.0,857.857,859.643,853.333,917.95,20.178,22.994,22.379,104.965
2020-01-18,15.789,50.0,857.857,859.643,853.333,917.95,20.178,22.994,22.379,104.965
2020-01-19,13.043,41.304,845.714,856.786,850.0,915.7,28.494,28.189,25.544,105.167
2020-01-20,9.091,40.0,832.857,853.571,846.905,913.15,28.115,32.488,28.084,104.969
2020-01-21,8.333,36.0,818.571,848.571,844.048,910.3,31.32,39.391,32.581,104.948
2020-01-22,18.182,36.0,808.571,843.571,841.429,907.4,30.783,43.431,35.431,104.496
2020-01-23,25.0,27.273,801.429,836.429,839.286,903.55,29.399,44.308,37.46,101.78
2020-01-24,25.0,27.273,801.429,836.429,839.286,903.55,29.399,44.308,37.46,101.78
