calendar_date,rsi_7,rsi_14,sma_7,sma_14,sma_21,sma_100,std_dev_7,std_dev_14,std_dev_21,std_dev_100
2020-01-02,66.667,65.789,6910.714,6857.143,6786.905,6639.75,28.347,135.316,156.449,183.921
2020-01-03,66.667,65.789,6910.714,6857.143,6786.905,6639.75,28.347,135.316,156.449,183.921
2020-01-04,66.667,65.789,6910.714,6857.143,6786.905,6639.75,28.347,135.316,156.449,183.921
2020-01-05,29.412,59.524,6885.714,6871.429,6791.667,6640.5,65.918,108.245,153.569,184.219
2020-01-06,35.294,60.465,6867.857,6887.5,6803.571,6641.5,77.344,64.859,141.042,184.679
2020-01-07,37.5,45.161,6853.571,6882.143,6814.286,6644.0,84.691,71.001,128.834,184.778
2020-01-08,44.444,43.333,6846.429,6875.0,6822.619,6647.75,79.62,65.779,126.714,185.629
2020-01-09,40.0,41.935,6832.143,6866.071,6825.0,6651.75,71.755,63.251,126.244,185.09
2020-01-10,40.0,41.935,6832.143,6866.071,6825.0,6651.75,71.755,63.251,126.244,185.09
2020-01-11,40.0,41.935,6832.143,6866.071,6825.0,6651.75,71.755,63.251,126.244,185.09
2020-01-12,54.545,51.515,6839.286,6867.857,6836.905,6656.75,78.868,64.621,123.141,185.655
2020-01-13,65.517,65.854,6871.429,6891.071,6861.905,6665.0,147.499,104.056,135.927,190.162
2020-01-14,90.909,64.103,6935.714,6910.714,6892.857,6673.75,180.195,132.909,135.357,194.442
2020-01-15,79.167,60.976,6985.714,6926.786,6920.238,6679.25,176.692,144.603,119.796,199.338
2020-01-16,73.077,59.524,7028.571,6941.071,6930.952,6684.25,151.677,148.909,123.213,202.935
2020-01-17,73.077,59.524,7028.571,6941.071,6930.952,6684.25,151.677,148.909,123.213,202.935
2020-01-18,73.077,59.524,7028.571,6941.071,6930.952,6684.25,151.677,148.909,123.213,202.935
2020-01-19,60.0,53.488,7046.429,6946.429,6932.143,6689.0,137.256,149.633,123.78,204.721
2020-01-20,66.667,54.545,7075.0,6953.571,6935.714,6694.75,98.953,150.913,125.392,206.011
2020-01-21,57.143,55.814,7085.714,6962.5,6940.476,6700.5,82.736,149.599,125.866,206.43
2020-01-22,30.769,54.762,7067.857,6969.643,6950.0,6704.25,73.193,151.333,126.244,209.348
2020-01-23,20.0,62.162,7035.714,6985.714,6952.381,6708.5,51.755,137.531,126.22,210.495
2020-01-24,20.0,62.162,7035.714,6985.714,6952.381,6708.5,51.755,137.531,126.22,210.495
2020-01-25,20.0,62.162,7035.714,6985.714,6952.381,6708.5,51.755,137.531,126.22,210.495
2020-01-26,13.636,47.826,6978.571,6982.143,6944.048,6711.0,116.752,143.925,135.302,209.175
2020-01-27,29.167,52.0,6942.857,6985.714,6941.667,6714.25,120.515,138.922,137.007,208.387
2020-01-28,33.333,47.826,6917.857,6982.143,6936.905,6715.5,124.762,142.582,139.333,208.675
2020-01-29,21.429,42.308,6860.714,6967.857,6922.619,6714.25,155.361,167.398,155.102,208.84
2020-01-30,15.789,30.508,6767.857,6926.786,6897.619,6711.25,233.057,235.434,199.202,211.905
2020-01-31,15.789,30.508,6767.857,6926.786,6897.619,6711.25,233.057,235.434,199.202,211.905
2020-02-01,15.789,30.508,6767.857,6926.786,6897.619,6711.25,233.057,235.434,199.202,211.905
2020-02-02,10.256,15.385,6657.143,6862.5,6865.476,6707.25,259.292,280.924,240.504,216.325
2020-02-03,21.951,21.429,6575.0,6805.357,6848.81,6702.0,231.391,288.26,260.225,217.356
2020-02-04,29.032,22.642,6528.571,6753.571,6830.952,6698.5,228.869,291.524,277.816,219.383
2020-02-05,29.032,29.091,6482.143,6712.5,6817.857,6696.0,188.035,283.14,286.917,220.213
2020-02-06,25.714,28.571,6421.429,6669.643,6795.238,6693.0,112.202,281.681,300.585,222.193
2020-02-07,25.714,28.571,6421.429,6669.643,6795.238,6693.0,112.202,281.681,300.585,222.193
2020-02-08,25.714,28.571,6421.429,6669.643,6795.238,6693.0,112.202,281.681,300.585,222.193
2020-02-09,25.714,23.81,6360.714,6610.714,6765.476,6690.25,97.742,287.849,327.25,226.577
2020-02-10,32.143,22.727,6325.0,6546.429,6726.19,6684.25,139.194,294.641,355.447,234.134
2020-02-11,30.0,18.841,6282.143,6469.643,6669.048,6678.0,192.956,293.385,375.575,244.518
2020-02-12,15.385,19.403,6217.857,6396.429,6609.524,6671.75,220.187,285.357,386.125,254.942
2020-02-13,31.25,30.159,6175.0,6351.786,6560.714,6666.5,207.666,278.813,382.473,261.243
2020-02-14,31.25,30.159,6175.0,6351.786,6560.714,6666.5,207.666,278.813,382.473,261.243
2020-02-15,31.25,30.159,6175.0,6351.786,6560.714,6666.5,207.666,278.813,382.473,261.243
2020-02-16,21.429,25.424,6117.857,6300.0,6514.286,6662.75,150.495,250.0,376.046,266.655
2020-02-17,25.0,25.424,6075.0,6248.214,6471.429,6658.75,85.391,203.683,369.145,272.066
2020-02-18,54.545,36.842,6082.143,6221.429,6434.524,6654.25,98.652,172.609,349.238,275.082
2020-02-19,68.421,46.809,6107.143,6216.071,6400.0,6650.5,123.081,169.447,325.576,277.684
2020-02-20,76.471,46.809,6139.286,6210.714,6359.524,6646.5,111.67,168.624,291.813,281.276
2020-02-21,76.471,46.809,6139.286,6210.714,6359.524,6646.5,111.67,168.624,291.813,281.276
2020-02-22,76.471,46.809,6139.286,6210.714,6359.524,6646.5,111.67,168.624,291.813,281.276
2020-02-23,65.0,36.957,6160.714,6189.286,6317.857,6642.0,78.868,161.637,260.305,286.389
2020-02-24,63.158,43.137,6178.571,6176.786,6294.048,6639.75,76.959,150.469,243.529,288.787
2020-02-25,46.154,33.333,6171.429,6144.643,6257.143,6635.5,87.117,121.362,216.238,294.31
2020-02-26,40.0,33.333,6150.0,6112.5,6215.476,6630.75,119.896,107.305,183.111,301.487
2020-02-27,14.634,28.571,6046.429,6064.286,6163.095,6622.75,255.534,187.009,214.712,319.744
