calendar_date,rsi_7,rsi_14,sma_7,sma_14,sma_21,sma_100,std_dev_7,std_dev_14,std_dev_21,std_dev_100
2020-01-02,63.333,44.828,3984.286,3980.0,3992.857,4160.5,37.796,40.383,52.359,150.611
2020-01-03,63.333,44.828,3984.286,3980.0,3992.857,4160.5,37.796,40.383,52.359,150.611
2020-01-04,63.333,44.828,3984.286,3980.0,3992.857,4160.5,37.796,40.383,52.359,150.611
2020-01-05,35.0,42.373,3975.714,3973.571,3993.333,4157.6,35.051,35.215,51.994,151.658
2020-01-06,31.818,49.02,3964.286,3972.857,3994.286,4154.1,31.015,35.826,50.751,152.608
2020-01-07,29.167,41.176,3950.0,3966.429,3990.0,4150.2,34.641,40.308,54.772,154.076
2020-01-08,44.828,49.091,3945.714,3965.714,3985.238,4147.0,30.472,40.328,52.69,154.675
2020-01-09,51.724,50.0,3947.143,3965.714,3979.524,4143.4,31.997,40.328,45.659,154.326
2020-01-10,51.724,50.0,3947.143,3965.714,3979.524,4143.4,31.997,40.328,45.659,154.326
2020-01-11,51.724,50.0,3947.143,3965.714,3979.524,4143.4,31.997,40.328,45.659,154.326
2020-01-12,71.429,53.333,3964.286,3968.571,3977.619,4139.0,39.94,43.475,42.415,151.16
2020-01-13,44.828,54.237,3960.0,3972.143,3973.333,4134.4,39.581,39.258,40.291,149.824
2020-01-14,38.235,37.037,3948.571,3962.143,3965.238,4128.7,49.809,43.709,41.185,148.533
2020-01-15,37.143,35.088,3935.714,3950.0,3960.476,4123.4,62.412,49.614,48.216,148.93
2020-01-16,37.143,33.898,3922.857,3936.429,3951.905,4118.2,78.255,59.821,57.76,150.711
2020-01-17,37.143,33.898,3922.857,3936.429,3951.905,4118.2,78.255,59.821,57.76,150.711
2020-01-18,37.143,33.898,3922.857,3936.429,3951.905,4118.2,78.255,59.821,57.76,150.711
2020-01-19,24.138,34.483,3901.429,3923.571,3944.286,4112.5,86.492,66.403,65.312,151.487
2020-01-20,37.143,43.75,3888.571,3917.857,3940.0,4107.7,79.252,65.537,65.803,150.848
2020-01-21,24.242,45.902,3864.286,3914.286,3933.81,4102.5,48.941,67.335,66.968,150.329
2020-01-22,37.037,41.071,3854.286,3907.143,3932.857,4096.8,33.094,65.095,67.612,147.805
2020-01-23,58.333,46.552,3860.0,3904.286,3928.095,4091.9,40.825,63.454,64.623,145.42
2020-01-24,58.333,46.552,3860.0,3904.286,3928.095,4091.9,40.825,63.454,64.623,145.42
2020-01-25,58.333,46.552,3860.0,3904.286,3928.095,4091.9,40.825,63.454,64.623,145.42
2020-01-26,48.276,42.188,3858.571,3897.143,3919.524,4086.8,41.404,64.74,63.755,145.219
2020-01-27,53.846,44.262,3861.429,3892.143,3911.429,4082.2,38.048,67.16,63.819,146.001
2020-01-28,63.636,45.161,3874.286,3887.857,3907.143,4078.0,32.587,64.352,61.249,145.13
2020-01-29,44.828,40.625,3870.0,3879.286,3901.905,4074.5,32.146,58.896,60.301,146.131
2020-01-30,40.625,32.308,3861.429,3862.857,3896.667,4069.8,41.805,43.753,64.213,147.333
2020-01-31,40.625,32.308,3861.429,3862.857,3896.667,4069.8,41.805,43.753,64.213,147.333
2020-02-01,40.625,32.308,3861.429,3862.857,3896.667,4069.8,41.805,43.753,64.213,147.333
2020-02-02,30.556,33.333,3841.429,3847.857,3885.238,4064.5,60.671,47.423,69.758,149.574
2020-02-03,26.471,39.655,3818.571,3839.286,3875.714,4059.6,56.104,51.808,72.634,151.45
2020-02-04,37.037,42.857,3808.571,3833.571,3867.619,4055.6,57.859,54.857,74.559,153.77
2020-02-05,37.037,45.283,3798.571,3830.0,3860.952,4051.6,59.562,58.045,77.711,156.21
2020-02-06,26.087,48.214,3782.857,3828.571,3852.857,4047.3,39.461,58.816,75.706,157.441
2020-02-07,26.087,48.214,3782.857,3828.571,3852.857,4047.3,39.461,58.816,75.706,157.441
2020-02-08,26.087,48.214,3782.857,3828.571,3852.857,4047.3,39.461,58.816,75.706,157.441
2020-02-09,38.095,42.0,3775.714,3822.857,3844.762,4042.7,25.071,56.218,70.329,157.588
2020-02-10,47.059,42.857,3774.286,3817.857,3833.333,4038.1,23.705,55.771,56.95,158.189
2020-02-11,78.571,44.0,3785.714,3813.571,3827.143,4034.2,23.705,52.858,50.313,158.714
2020-02-12,42.857,32.727,3781.429,3800.0,3820.0,4028.6,30.783,47.556,53.009,159.475
2020-02-13,27.586,32.143,3762.857,3785.714,3810.0,4022.5,62.106,62.353,65.422,162.558
2020-02-14,27.586,32.143,3762.857,3785.714,3810.0,4022.5,62.106,62.353,65.422,162.558
2020-02-15,27.586,32.143,3762.857,3785.714,3810.0,4022.5,62.106,62.353,65.422,162.558
2020-02-16,25.806,31.034,3741.429,3770.0,3800.476,4016.5,84.937,76.46,78.643,166.59
2020-02-17,20.69,23.077,3717.143,3750.0,3791.429,4010.5,92.685,76.46,87.88,169.958
2020-02-18,14.815,25.0,3690.0,3732.857,3778.571,4003.1,88.694,76.804,92.373,170.695
2020-02-19,19.231,30.233,3667.143,3720.714,3767.619,3996.3,78.68,78.785,95.807,171.886
2020-02-20,27.586,44.186,3648.571,3717.143,3758.571,3990.1,44.508,78.977,93.61,171.638
2020-02-21,27.586,44.186,3648.571,3717.143,3758.571,3990.1,44.508,78.977,93.61,171.638
2020-02-22,27.586,44.186,3648.571,3717.143,3758.571,3990.1,44.508,78.977,93.61,171.638
2020-02-23,32.0,36.957,3635.714,3708.571,3745.238,3984.0,26.367,80.466,89.31,173.141
2020-02-24,38.095,32.0,3628.571,3695.714,3733.333,3977.9,31.32,84.19,92.646,176.173
2020-02-25,30.769,28.07,3614.286,3677.857,3718.095,3971.0,55.032,95.287,101.814,180.837
2020-02-26,24.138,22.414,3592.857,3655.0,3697.619,3963.8,77.183,104.274,106.532,186.281
2020-02-27,29.032,22.414,3574.286,3632.143,3680.0,3957.6,84.825,102.745,108.904,191.607
2020-02-28,29.032,22.414,3574.286,3632.143,3680.0,3957.6,84.825,102.745,108.904,191.607
2020-02-29,29.032,22.414,3574.286,3632.143,3680.0,3957.6,84.825,102.745,108.904,191.607
2020-03-01,22.857,21.311,3547.143,3607.143,3662.857,3951.1,93.935,103.955,117.096,197.989
2020-03-02,42.553,36.842,3537.143,3592.857,3657.143,3946.1,78.68,84.346,116.066,199.984
2020-03-03,65.079,55.682,3564.286,3600.0,3660.476,3943.3,133.648,99.692,120.103,199.626
2020-03-04,70.69,62.025,3598.571,3613.571,3663.333,3939.9,167.773,116.988,123.504,198.619
2020-03-05,70.69,58.333,3632.857,3623.571,3662.857,3935.5,171.145,122.513,123.132,197.895
2020-03-06,70.69,58.333,3632.857,3623.571,3662.857,3935.5,171.145,122.513,123.132,197.895
2020-03-07,70.69,58.333,3632.857,3623.571,3662.857,3935.5,171.145,122.513,123.132,197.895
2020-03-08,51.899,44.444,3637.143,3615.0,3649.048,3928.8,166.705,126.901,124.415,201.19
2020-03-09,50.0,44.037,3637.143,3605.714,3633.81,3922.0,166.705,131.191,123.308,204.421
2020-03-10,47.561,40.171,3631.429,3589.286,3615.238,3914.3,175.065,141.881,127.891,209.426
2020-03-11,28.767,34.167,3587.143,3562.143,3590.952,3905.5,213.441,156.705,135.274,216.106
2020-03-12,0.0,35.652,3512.857,3538.571,3570.952,3896.6,205.16,168.471,144.427,222.098
2020-03-13,0.0,35.652,3512.857,3538.571,3570.952,3896.6,205.16,168.471,144.427,222.098
2020-03-14,0.0,35.652,3512.857,3538.571,3570.952,3896.6,205.16,168.471,144.427,222.098
2020-03-15,0.0,32.8,3417.143,3507.857,3548.095,3885.9,188.124,195.416,168.867,231.452
2020-03-16,0.0,29.496,3301.429,3467.143,3516.19,3872.7,198.11,247.4,213.88,247.018
2020-03-17,0.0,27.703,3202.857,3420.0,3477.619,3857.3,248.174,303.366,261.876,264.357
2020-03-18,0.0,23.636,3078.571,3357.857,3430.0,3840.7,294.02,369.765,319.312,288.557
2020-03-19,25.0,34.946,3004.286,3317.857,3394.286,3826.9,263.366,389.934,337.262,301.031
2020-03-20,25.0,34.946,3004.286,3317.857,3394.286,3826.9,263.366,389.934,337.262,301.031
2020-03-21,25.0,34.946,3004.286,3317.857,3394.286,3826.9,263.366,389.934,337.262,301.031
2020-03-22,22.609,25.0,2914.286,3250.714,3346.19,3810.4,248.721,414.088,363.943,317.922
2020-03-23,21.488,15.029,2815.714,3164.286,3297.619,3793.9,197.134,410.135,389.909,336.124
2020-03-24,21.488,15.029,2815.714,3164.286,3297.619,3793.9,197.134,410.135,389.909,336.124
2020-03-25,43.662,29.665,2790.0,3103.571,3268.571,3782.6,151.107,364.367,389.76,344.286
2020-03-26,55.725,34.434,2811.429,3056.429,3248.571,3772.7,183.16,313.433,387.521,349.836
2020-03-27,55.725,34.434,2811.429,3056.429,3248.571,3772.7,183.16,313.433,387.521,349.836
2020-03-28,55.725,34.434,2811.429,3056.429,3248.571,3772.7,183.16,313.433,387.521,349.836
2020-03-29,63.415,40.625,2858.571,3030.714,3232.857,3762.6,221.241,287.976,384.775,353.395
2020-03-30,75.472,41.451,2935.714,3007.143,3217.143,3752.2,218.316,259.598,380.462,355.688
2020-03-31,62.791,42.105,2967.143,2985.714,3200.952,3742.0,224.701,235.983,377.729,359.638
2020-04-01,82.609,45.109,3031.429,2972.857,3177.619,3732.6,190.651,221.409,365.485,363.245
2020-04-02,91.429,47.12,3114.286,2965.0,3147.619,3723.5,69.727,210.192,333.735,365.089
2020-04-03,91.429,47.12,3114.286,2965.0,3147.619,3723.5,69.727,210.192,333.735,365.089
2020-04-04,91.429,47.12,3114.286,2965.0,3147.619,3723.5,69.727,210.192,333.735,365.089
2020-04-05,87.234,54.497,3164.286,2977.143,3123.81,3715.8,81.824,226.594,298.605,365.188
2020-04-06,63.83,57.865,3182.857,2997.143,3098.571,3706.2,76.749,235.255,263.349,365.48
2020-04-07,47.17,58.523,3178.571,3018.571,3080.0,3695.8,80.297,230.513,246.86,367.515
2020-04-08,46.154,65.823,3172.857,3054.286,3062.381,3686.5,83.209,200.833,228.668,370.218
2020-04-09,46.154,65.823,3172.857,3054.286,3062.381,3686.5,83.209,200.833,228.668,370.218
2020-04-10,46.154,65.823,3172.857,3054.286,3062.381,3686.5,83.209,200.833,228.668,370.218
2020-04-11,46.154,65.823,3172.857,3054.286,3062.381,3686.5,83.209,200.833,228.668,370.218
2020-04-12,57.692,60.87,3184.286,3075.714,3051.905,3677.5,76.78,196.771,217.178,371.493
2020-04-13,60.0,72.581,3200.0,3115.714,3048.571,3669.9,75.056,164.397,213.525,372.601
2020-04-14,42.623,68.702,3187.143,3150.714,3039.048,3660.8,82.404,82.505,205.594,375.068
2020-04-15,22.034,50.943,3140.0,3152.143,3031.429,3649.9,81.445,79.438,203.845,378.294
2020-04-16,50.704,55.932,3141.429,3162.143,3045.238,3642.0,83.152,79.825,207.138,378.735
2020-04-17,50.704,55.932,3141.429,3162.143,3045.238,3642.0,83.152,79.825,207.138,378.735
2020-04-18,50.704,55.932,3141.429,3162.143,3045.238,3642.0,83.152,79.825,207.138,378.735
2020-04-19,50.704,49.194,3142.857,3160.714,3060.0,3632.7,82.606,80.428,200.474,380.032
2020-04-20,46.667,46.457,3135.714,3154.286,3081.429,3623.9,86.959,84.007,173.3,382.789
2020-04-21,48.718,52.308,3132.857,3158.571,3094.762,3616.9,85.579,82.542,167.709,384.822
2020-04-22,39.506,47.794,3108.571,3154.286,3113.333,3608.8,73.355,85.639,138.54,387.742
2020-04-23,48.571,45.802,3105.714,3146.429,3135.714,3601.5,73.679,86.167,80.782,390.587
2020-04-24,48.571,45.802,3105.714,3146.429,3135.714,3601.5,73.679,86.167,80.782,390.587
2020-04-25,48.571,45.802,3105.714,3146.429,3135.714,3601.5,73.679,86.167,80.782,390.587
2020-04-26,61.538,42.742,3127.143,3133.571,3143.81,3593.7,57.941,68.231,72.49,391.747
2020-04-27,41.86,47.368,3117.143,3129.286,3147.143,3585.8,40.708,64.147,71.494,392.455
2020-04-28,72.549,59.836,3150.0,3146.429,3157.143,3580.1,97.125,86.701,84.032,391.69
2020-04-29,85.246,63.971,3211.429,3173.571,3173.333,3575.2,156.144,127.618,112.531,389.57
2020-04-30,85.246,63.971,3211.429,3173.571,3173.333,3575.2,156.144,127.618,112.531,389.57
2020-05-01,85.246,63.971,3211.429,3173.571,3173.333,3575.2,156.144,127.618,112.531,389.57
2020-05-02,85.246,63.971,3211.429,3173.571,3173.333,3575.2,156.144,127.618,112.531,389.57
2020-05-03,61.429,54.73,3234.286,3183.571,3183.81,3567.8,159.045,133.509,115.563,387.289
2020-05-04,70.492,52.817,3270.0,3189.286,3192.857,3560.0,143.295,137.755,118.539,384.306
2020-05-05,61.194,54.745,3291.429,3198.571,3194.762,3551.7,121.44,136.374,118.98,382.137
2020-05-06,61.194,54.745,3291.429,3198.571,3194.762,3551.7,121.44,136.374,118.98,382.137
2020-05-07,53.03,57.252,3297.143,3212.143,3188.095,3543.2,114.414,123.984,114.875,380.616
2020-05-08,53.03,57.252,3297.143,3212.143,3188.095,3543.2,114.414,123.984,114.875,380.616
2020-05-09,53.03,57.252,3297.143,3212.143,3188.095,3543.2,114.414,123.984,114.875,380.616
2020-05-10,54.412,49.55,3305.714,3211.429,3188.095,3534.9,104.22,123.902,114.875,378.496
2020-05-11,32.143,51.402,3277.143,3213.571,3190.0,3526.9,116.721,122.45,113.842,378.088
2020-05-12,9.524,54.369,3228.571,3220.0,3191.905,3518.6,69.864,116.553,112.943,376.928
2020-05-13,12.121,45.631,3192.857,3213.571,3186.667,3509.6,78.68,122.45,116.032,376.786
2020-05-14,19.444,51.546,3161.429,3215.714,3180.0,3500.8,61.489,119.982,116.833,375.964
