calendar_date,gold_futures
2020-01-02,1528.1
2020-01-03,1552.4
2020-01-04,1552.4
2020-01-05,1552.4
2020-01-06,1568.8
2020-01-07,1574.3
2020-01-08,1560.2
2020-01-09,1554.3
2020-01-10,1560.1
2020-01-11,1560.1
2020-01-12,1560.1
2020-01-13,1550.6
2020-01-14,1544.6
2020-01-15,1554.0
2020-01-16,1550.5
2020-01-17,1560.3
2020-01-18,1560.3
2020-01-19,1560.3
2020-01-20,1557.9
2020-01-21,1557.9
2020-01-22,1556.7
2020-01-23,1565.4
2020-01-24,1571.9
2020-01-25,1571.9
2020-01-26,1571.9
2020-01-27,1577.4
2020-01-28,1569.8
2020-01-29,1570.4
2020-01-30,1586.5
2020-01-31,1584.9
2020-02-01,1584.9
2020-02-02,1584.9
2020-02-03,1579.5
2020-02-04,1552.7
2020-02-05,1560.1
2020-02-06,1567.2
2020-02-07,1570.6
2020-02-08,1570.6
2020-02-09,1570.6
2020-02-10,1576.6
2020-02-11,1567.2
2020-02-12,1568.8
2020-02-13,1576.3
2020-02-14,1583.8
2020-02-15,1583.8
2020-02-16,1583.8
2020-02-17,1603.6
2020-02-18,1601.0
2020-02-19,1608.8
2020-02-20,1617.4
2020-02-21,1645.1
2020-02-22,1645.1
2020-02-23,1645.1
2020-02-24,1673.5
2020-02-25,1647.0
2020-02-26,1640.4
2020-02-27,1642.5
2020-02-28,1566.7
2020-02-29,1566.7
2020-03-01,1566.7
2020-03-02,1594.8
2020-03-03,1644.4
2020-03-04,1643.0
2020-03-05,1668.0
2020-03-06,1672.4
2020-03-07,1672.4
2020-03-08,1672.4
2020-03-09,1675.7
2020-03-10,1660.3
2020-03-11,1642.3
2020-03-12,1590.3
2020-03-13,1516.7
2020-03-14,1516.7
2020-03-15,1516.7
2020-03-16,1486.5
2020-03-17,1525.8
2020-03-18,1477.9
2020-03-19,1479.3
2020-03-20,1484.6
2020-03-21,1484.6
2020-03-22,1484.6
2020-03-23,1567.6
2020-03-24,1660.8
2020-03-25,1633.4
2020-03-26,1651.2
2020-03-27,1625.0
2020-03-28,1625.0
2020-03-29,1625.0
2020-03-30,1637.1
2020-03-31,1589.3
2020-04-01,1584.1
2020-04-02,1630.7
2020-04-03,1637.6
2020-04-04,1637.6
2020-04-05,1637.6
2020-04-06,1684.0
2020-04-07,1672.6
2020-04-08,1674.1
2020-04-09,1739.9
2020-04-10,1739.9
2020-04-11,1739.9
2020-04-12,1739.9
2020-04-13,1749.8
2020-04-14,1759.1
2020-04-15,1729.6
2020-04-16,1722.7
2020-04-17,1690.8
2020-04-18,1690.8
2020-04-19,1690.8
2020-04-20,1703.4
2020-04-21,1678.3
2020-04-22,1727.4
2020-04-23,1733.4
2020-04-24,1724.2
2020-04-25,1724.2
2020-04-26,1724.2
2020-04-27,1712.6
2020-04-28,1710.6
2020-04-29,1713.4
2020-04-30,1694.2
2020-05-01,1700.9
2020-05-02,1700.9
2020-05-03,1700.9
2020-05-04,1713.3
2020-05-05,1710.6
2020-05-06,1688.5
2020-05-07,1725.8
2020-05-08,1713.9
2020-05-09,1713.9
2020-05-10,1713.9
2020-05-11,1698.0
2020-05-12,1706.8
2020-05-13,1716.4
2020-05-14,1740.9
2020-05-15,1756.3
2020-05-16,1756.3
2020-05-17,1756.3
2020-05-18,1734.4
2020-05-19,1745.6
2020-05-20,1752.1
2020-05-21,1721.9
2020-05-22,1735.5
2020-05-23,1735.5
2020-05-24,1735.5
2020-05-25,1705.6
2020-05-26,1705.6
2020-05-27,1710.7
2020-05-28,1719.8
2020-05-29,1742.9
2020-05-30,1742.9
2020-05-31,1742.9
2020-06-01,1743.3
2020-06-02,1728.9
2020-06-03,1701.0
2020-06-04,1721.8
2020-06-05,1678.5
2020-06-06,1678.5
2020-06-07,1678.5
2020-06-08,1699.9
2020-06-09,1717.0
2020-06-10,1715.5
2020-06-11,1734.7
2020-06-12,1732.0
2020-06-13,1732.0
2020-06-14,1732.0
2020-06-15,1721.8
2020-06-16,1731.5
2020-06-17,1730.3
2020-06-18,1726.0
2020-06-19,1747.1
2020-06-20,1747.1
2020-06-21,1747.1
2020-06-22,1758.4
2020-06-23,1774.1
2020-06-24,1768.1
2020-06-25,1763.1
2020-06-26,1773.3
2020-06-27,1773.3
2020-06-28,1773.3
2020-06-29,1781.2
2020-06-30,1800.5
2020-07-01,1779.9
2020-07-02,1790.0
2020-07-03,1793.5
2020-07-04,1793.5
2020-07-05,1793.5
2020-07-06,1793.5
2020-07-07,1809.9
2020-07-08,1820.6
2020-07-09,1803.8
2020-07-10,1801.9
2020-07-11,1801.9
2020-07-12,1801.9
2020-07-13,1814.1
2020-07-14,1813.4
2020-07-15,1813.8
2020-07-16,1800.3
2020-07-17,1810.0
2020-07-18,1810.0
2020-07-19,1810.0
2020-07-20,1817.4
2020-07-21,1843.9
2020-07-22,1865.1
2020-07-23,1890.0
2020-07-24,1897.5
2020-07-25,1897.5
2020-07-26,1897.5
2020-07-27,1931.0
2020-07-28,1944.6
2020-07-29,1953.4
2020-07-30,1949.5
2020-07-31,1968.0
2020-08-01,1968.0
2020-08-02,1968.0
2020-08-03,1969.5
2020-08-04,2004.2
2020-08-05,2032.9
2020-08-06,2054.6
2020-08-07,2014.3
2020-08-08,2014.3
2020-08-09,2014.3
2020-08-10,2027.3
2020-08-11,1935.7
2020-08-12,1937.5
2020-08-13,1959.3
2020-08-14,1938.8
2020-08-15,1938.8
2020-08-16,1938.8
2020-08-17,1987.1
2020-08-18,2001.6
2020-08-19,1960.5
2020-08-20,1935.4
2020-08-21,1936.0
2020-08-22,1936.0
2020-08-23,1936.0
2020-08-24,1928.6
2020-08-25,1912.5
2020-08-26,1941.7
2020-08-27,1922.3
2020-08-28,1966.8
2020-08-29,1966.8
2020-08-30,1966.8
2020-08-31,1970.5
2020-09-01,1970.8
2020-09-02,1936.9
2020-09-03,1930.2
2020-09-04,1926.2
2020-09-05,1926.2
2020-09-06,1926.2
2020-09-07,1943.2
2020-09-08,1935.1
2020-09-09,1946.8
2020-09-10,1956.0
2020-09-11,1939.5
2020-09-12,1939.5
2020-09-13,1939.5
2020-09-14,1954.7
2020-09-15,1958.0
2020-09-16,1962.0
2020-09-17,1941.3
2020-09-18,1953.2
2020-09-19,1953.2
2020-09-20,1953.2
2020-09-21,1902.1
2020-09-22,1899.3
2020-09-23,1860.5
2020-09-24,1868.9
2020-09-25,1857.8
2020-09-26,1857.8
2020-09-27,1857.8
2020-09-28,1872.8
2020-09-29,1898.7
2020-09-30,1891.3
2020-10-01,1912.3
2020-10-02,1903.8
2020-10-03,1903.8
2020-10-04,1903.8
2020-10-05,1916.1
2020-10-06,1904.8
2020-10-07,1886.8
2020-10-08,1891.0
2020-10-09,1921.9
2020-10-10,1921.9
2020-10-11,1921.9
2020-10-12,1924.3
2020-10-13,1890.2
2020-10-14,1903.1
2020-10-15,1904.9
2020-10-16,1902.4
2020-10-17,1902.4
2020-10-18,1902.4
2020-10-19,1907.7
2020-10-20,1911.6
2020-10-21,1925.7
2020-10-22,1901.6
2020-10-23,1902.3
2020-10-24,1902.3
2020-10-25,1902.3
2020-10-26,1903.1
2020-10-27,1909.2
2020-10-28,1876.5
2020-10-29,1868.0
2020-10-30,1879.9
2020-10-31,1879.9
2020-11-01,1879.9
2020-11-02,1892.5
2020-11-03,1910.4
2020-11-04,1896.2
2020-11-05,1946.8
2020-11-06,1951.7
2020-11-07,1951.7
2020-11-08,1951.7
2020-11-09,1854.4
2020-11-10,1876.4
2020-11-11,1861.6
2020-11-12,1873.3
2020-11-13,1886.2
2020-11-14,1886.2
2020-11-15,1886.2
2020-11-16,1887.8
2020-11-17,1885.1
2020-11-18,1873.9
2020-11-19,1861.5
2020-11-20,1872.4
2020-11-21,1872.4
2020-11-22,1872.4
2020-11-23,1837.8
2020-11-24,1804.6
2020-11-25,1805.5
2020-11-26,1788.1
2020-11-27,1784.8
2020-11-28,1784.8
2020-11-29,1784.8
2020-11-30,1778.0
2020-12-01,1816.6
2020-12-02,1827.6
2020-12-03,1838.4
2020-12-04,1837.5
2020-12-05,1837.5
2020-12-06,1837.5
2020-12-07,1863.3
2020-12-08,1872.3
2020-12-09,1836.1
2020-12-10,1835.2
2020-12-11,1841.4
2020-12-12,1841.4
2020-12-13,1841.4
2020-12-14,1829.8
2020-12-15,1853.2
2020-12-16,1857.0
2020-12-17,1887.9
2020-12-18,1886.5
2020-12-19,1886.5
