calendar_date,us_gdp_qoq,days_since_us_gdp_qoq
2020-01-02,2.10%,28
2020-01-03,2.10%,27
2020-01-04,2.10%,26
2020-01-05,2.10%,25
2020-01-06,2.10%,24
2020-01-07,2.10%,23
2020-01-08,2.10%,22
2020-01-09,2.10%,21
2020-01-10,2.10%,20
2020-01-11,2.10%,19
2020-01-12,2.10%,18
2020-01-13,2.10%,17
2020-01-14,2.10%,16
2020-01-15,2.10%,15
2020-01-16,2.10%,14
2020-01-17,2.10%,13
2020-01-18,2.10%,12
2020-01-19,2.10%,11
2020-01-20,2.10%,10
2020-01-21,2.10%,9
2020-01-22,2.10%,8
2020-01-23,2.10%,7
2020-01-24,2.10%,6
2020-01-25,2.10%,5
2020-01-26,2.10%,4
2020-01-27,2.10%,3
2020-01-28,2.10%,2
2020-01-29,2.10%,1
2020-01-30,2.10%,0
2020-01-31,2.10%,1
2020-02-01,2.10%,2
2020-02-02,2.10%,3
2020-02-03,2.10%,4
2020-02-04,2.10%,5
2020-02-05,2.10%,6
2020-02-06,2.10%,7
2020-02-07,2.10%,8
2020-02-08,2.10%,9
2020-02-09,2.10%,10
2020-02-10,2.10%,11
2020-02-11,2.10%,12
2020-02-12,2.10%,13
2020-02-13,2.10%,14
2020-02-14,2.10%,15
2020-02-15,2.10%,16
2020-02-16,2.10%,17
2020-02-17,2.10%,18
2020-02-18,2.10%,19
2020-02-19,2.10%,20
2020-02-20,2.10%,21
2020-02-21,2.10%,22
2020-02-22,2.10%,23
2020-02-23,2.10%,24
2020-02-24,2.10%,25
2020-02-25,2.10%,26
2020-02-26,2.10%,27
2020-02-27,2.10%,0
2020-02-28,2.10%,1
2020-02-29,2.10%,2
2020-03-01,2.10%,3
2020-03-02,2.10%,4
2020-03-03,2.10%,5
2020-03-04,2.10%,6
2020-03-05,2.10%,7
2020-03-06,2.10%,8
2020-03-07,2.10%,9
2020-03-08,2.10%,10
2020-03-09,2.10%,11
2020-03-10,2.10%,12
2020-03-11,2.10%,13
2020-03-12,2.10%,14
2020-03-13,2.10%,15
2020-03-14,2.10%,16
2020-03-15,2.10%,17
2020-03-16,2.10%,18
2020-03-17,2.10%,19
2020-03-18,2.10%,20
2020-03-19,2.10%,21
2020-03-20,2.10%,22
2020-03-21,2.10%,23
2020-03-22,2.10%,24
2020-03-23,2.10%,25
2020-03-24,2.10%,26
2020-03-25,2.10%,27
2020-03-26,2.10%,0
2020-03-27,2.10%,1
2020-03-28,2.10%,2
2020-03-29,2.10%,3
2020-03-30,2.10%,4
2020-03-31,2.10%,5
2020-04-01,2.10%,6
2020-04-02,2.10%,7
2020-04-03,2.10%,8
2020-04-04,2.10%,9
2020-04-05,2.10%,10
2020-04-06,2.10%,11
2020-04-07,2.10%,12
2020-04-08,2.10%,13
2020-04-09,2.10%,14
2020-04-10,2.10%,15
2020-04-11,2.10%,16
2020-04-12,2.10%,17
2020-04-13,2.10%,18
2020-04-14,2.10%,19
2020-04-15,2.10%,20
2020-04-16,2.10%,21
2020-04-17,2.10%,22
2020-04-18,2.10%,23
2020-04-19,2.10%,24
2020-04-20,2.10%,25
2020-04-21,2.10%,26
2020-04-22,2.10%,27
2020-04-23,2.10%,28
2020-04-24,2.10%,29
2020-04-25,2.10%,30
2020-04-26,2.10%,31
2020-04-27,2.10%,32
2020-04-28,2.10%,33
2020-04-29,-4.80%,0
2020-04-30,-4.80%,1
2020-05-01,-4.80%,2
2020-05-02,-4.80%,3
2020-05-03,-4.80%,4
2020-05-04,-4.80%,5
2020-05-05,-4.80%,6
2020-05-06,-4.80%,7
2020-05-07,-4.80%,8
2020-05-08,-4.80%,9
2020-05-09,-4.80%,10
2020-05-10,-4.80%,11
2020-05-11,-4.80%,12
2020-05-12,-4.80%,13
2020-05-13,-4.80%,14
2020-05-14,-4.80%,15
2020-05-15,-4.80%,16
2020-05-16,-4.80%,17
2020-05-17,-4.80%,18
2020-05-18,-4.80%,19
2020-05-19,-4.80%,20
2020-05-20,-4.80%,21
2020-05-21,-4.80%,22
2020-05-22,-4.80%,23
2020-05-23,-4.80%,24
2020-05-24,-4.80%,25
2020-05-25,-4.80%,26
2020-05-26,-4.80%,27
2020-05-27,-4.80%,28
2020-05-28,-5.00%,0
