calendar_date,usd_index_dxy
2020-01-02,96.85
2020-01-03,96.84
2020-01-04,96.84
2020-01-05,96.84
2020-01-06,96.67
2020-01-07,97.0
2020-01-08,97.3
2020-01-09,97.45
2020-01-10,97.36
2020-01-11,97.36
2020-01-12,97.36
2020-01-13,97.34
2020-01-14,97.37
2020-01-15,97.23
2020-01-16,97.32
2020-01-17,97.64
2020-01-18,97.64
2020-01-19,97.64
2020-01-20,97.61
2020-01-21,97.53
2020-01-22,97.53
2020-01-23,97.69
2020-01-24,97.85
2020-01-25,97.85
2020-01-26,97.85
2020-01-27,97.96
2020-01-28,98.02
2020-01-29,97.99
2020-01-30,97.87
2020-01-31,97.39
2020-02-01,97.39
2020-02-02,97.39
2020-02-03,97.8
2020-02-04,97.96
2020-02-05,98.3
2020-02-06,98.5
2020-02-07,98.68
2020-02-08,98.68
2020-02-09,98.68
2020-02-10,98.83
2020-02-11,98.72
2020-02-12,99.05
2020-02-13,99.07
2020-02-14,99.12
2020-02-15,99.12
2020-02-16,99.12
2020-02-17,99.0
2020-02-18,99.44
2020-02-19,99.71
2020-02-20,99.86
2020-02-21,99.26
2020-02-22,99.26
2020-02-23,99.26
2020-02-24,99.36
2020-02-25,98.97
2020-02-26,99.0
2020-02-27,98.51
2020-02-28,98.13
2020-02-29,98.13
2020-03-01,98.13
2020-03-02,97.36
2020-03-03,97.15
2020-03-04,97.34
2020-03-05,96.82
2020-03-06,95.95
2020-03-07,95.95
2020-03-08,95.95
2020-03-09,94.89
2020-03-10,96.41
2020-03-11,96.51
2020-03-12,97.47
2020-03-13,98.75
2020-03-14,98.75
2020-03-15,98.75
2020-03-16,98.07
2020-03-17,99.57
2020-03-18,101.16
2020-03-19,102.75
2020-03-20,102.82
2020-03-21,102.82
2020-03-22,102.82
2020-03-23,102.49
2020-03-24,102.04
2020-03-25,101.05
2020-03-26,99.35
2020-03-27,98.36
2020-03-28,98.36
2020-03-29,98.36
2020-03-30,99.18
2020-03-31,99.05
2020-04-01,99.67
2020-04-02,100.18
2020-04-03,100.58
2020-04-04,100.58
2020-04-05,100.58
2020-04-06,100.68
2020-04-07,99.9
2020-04-08,100.12
2020-04-09,99.52
2020-04-10,99.52
2020-04-11,99.52
2020-04-12,99.52
2020-04-13,99.35
2020-04-14,98.89
2020-04-15,99.46
2020-04-16,100.03
2020-04-17,99.78
2020-04-18,99.78
2020-04-19,99.78
2020-04-20,99.96
2020-04-21,100.26
2020-04-22,100.39
2020-04-23,100.43
2020-04-24,100.38
2020-04-25,100.38
2020-04-26,100.38
2020-04-27,100.04
2020-04-28,99.86
2020-04-29,99.57
2020-04-30,99.02
2020-05-01,99.08
2020-05-02,99.08
2020-05-03,99.08
2020-05-04,99.48
2020-05-05,99.71
2020-05-06,100.09
2020-05-07,99.89
2020-05-08,99.73
2020-05-09,99.73
2020-05-10,99.73
2020-05-11,100.24
2020-05-12,99.93
2020-05-13,100.24
2020-05-14,100.47
2020-05-15,100.4
2020-05-16,100.4
2020-05-17,100.4
2020-05-18,99.67
2020-05-19,99.37
2020-05-20,99.12
2020-05-21,99.37
2020-05-22,99.86
2020-05-23,99.86
2020-05-24,99.86
2020-05-25,99.86
2020-05-26,98.91
2020-05-27,99.06
2020-05-28,98.38
2020-05-29,98.34
2020-05-30,98.34
2020-05-31,98.34
2020-06-01,97.83
2020-06-02,97.67
2020-06-03,97.28
2020-06-04,96.68
2020-06-05,96.94
2020-06-06,96.94
2020-06-07,96.94
2020-06-08,96.62
2020-06-09,96.32
2020-06-10,95.96
2020-06-11,96.73
2020-06-12,97.32
2020-06-13,97.32
2020-06-14,97.32
2020-06-15,96.71
2020-06-16,96.96
2020-06-17,97.16
2020-06-18,97.42
2020-06-19,97.62
2020-06-20,97.62
2020-06-21,97.62
2020-06-22,97.04
2020-06-23,96.65
2020-06-24,97.15
2020-06-25,97.43
2020-06-26,97.43
2020-06-27,97.43
2020-06-28,97.43
2020-06-29,97.54
2020-06-30,97.39
2020-07-01,97.2
2020-07-02,97.32
2020-07-03,97.17
2020-07-04,97.17
2020-07-05,97.17
2020-07-06,96.72
2020-07-07,96.88
2020-07-08,96.43
2020-07-09,96.7
2020-07-10,96.65
2020-07-11,96.65
2020-07-12,96.65
2020-07-13,96.46
2020-07-14,96.26
2020-07-15,96.08
2020-07-16,96.35
2020-07-17,95.94
2020-07-18,95.94
2020-07-19,95.94
2020-07-20,95.83
2020-07-21,95.12
2020-07-22,94.99
2020-07-23,94.69
2020-07-24,94.43
2020-07-25,94.43
2020-07-26,94.43
2020-07-27,93.67
2020-07-28,93.7
2020-07-29,93.45
2020-07-30,93.02
2020-07-31,93.35
2020-08-01,93.35
2020-08-02,93.35
2020-08-03,93.54
2020-08-04,93.38
2020-08-05,92.87
2020-08-06,92.79
2020-08-07,93.43
2020-08-08,93.43
2020-08-09,93.43
2020-08-10,93.58
2020-08-11,93.63
2020-08-12,93.44
2020-08-13,93.33
2020-08-14,93.1
2020-08-15,93.1
2020-08-16,93.1
2020-08-17,92.85
2020-08-18,92.27
2020-08-19,92.89
2020-08-20,92.79
2020-08-21,93.25
2020-08-22,93.25
2020-08-23,93.25
2020-08-24,93.3
2020-08-25,93.02
2020-08-26,93.01
2020-08-27,93.0
2020-08-28,92.37
2020-08-29,92.37
2020-08-30,92.37
2020-08-31,92.14
2020-09-01,92.34
2020-09-02,92.85
2020-09-03,92.74
2020-09-04,92.72
2020-09-05,92.72
2020-09-06,92.72
2020-09-07,92.72
2020-09-08,93.44
2020-09-09,93.25
2020-09-10,93.34
2020-09-11,93.33
2020-09-12,93.33
2020-09-13,93.33
2020-09-14,93.05
2020-09-15,93.05
2020-09-16,93.21
2020-09-17,92.97
2020-09-18,92.93
2020-09-19,92.93
2020-09-20,92.93
2020-09-21,93.66
2020-09-22,93.99
2020-09-23,94.39
2020-09-24,94.35
2020-09-25,94.64
2020-09-26,94.64
2020-09-27,94.64
2020-09-28,94.28
2020-09-29,93.89
2020-09-30,93.89
2020-10-01,93.71
2020-10-02,93.84
2020-10-03,93.84
2020-10-04,93.84
2020-10-05,93.51
2020-10-06,93.69
2020-10-07,93.63
2020-10-08,93.61
2020-10-09,93.06
2020-10-10,93.06
2020-10-11,93.06
2020-10-12,93.07
2020-10-13,93.53
2020-10-14,93.38
2020-10-15,93.86
2020-10-16,93.68
2020-10-17,93.68
2020-10-18,93.68
2020-10-19,93.43
2020-10-20,93.07
2020-10-21,92.61
2020-10-22,92.95
2020-10-23,92.77
2020-10-24,92.77
2020-10-25,92.77
2020-10-26,93.04
2020-10-27,92.94
2020-10-28,93.4
2020-10-29,93.96
2020-10-30,94.04
2020-10-31,94.04
2020-11-01,94.04
2020-11-02,94.13
2020-11-03,93.55
2020-11-04,93.41
2020-11-05,92.53
2020-11-06,92.23
2020-11-07,92.23
2020-11-08,92.23
2020-11-09,92.72
2020-11-10,92.75
2020-11-11,93.04
2020-11-12,92.96
2020-11-13,92.75
2020-11-14,92.75
2020-11-15,92.75
