No,Trading Date,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,2020-01-02,AALI,Astra Agro Lestari Tbk.,--S1K--1,14575,0,02 Jan 2020,0,14650,14025,14025,-550,799000,11451335000,888,1139.4,14200,12200,14025,49900,1924688333,1924688333,1924688333,106300,253800,0,0,0
2,2020-01-02,ABBA,Mahaka Media Tbk.,--U9---2,106,0,02 Jan 2020,0,108,105,105,-1,6340800,671926200,624,184.2,106,201200,105,786900,2755125000,2755125000,2755125000,21600,0,0,0,0
3,2020-01-02,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,6975,0,02 Jan 2020,0,7075,6925,6925,-50,1700,12012500,6,1581.0,6775,100,5600,100,620806680,620806680,620806680,1600,0,0,0,0
4,2020-01-02,ABMM,ABM Investama Tbk.,--U9---1,1530,0,02 Jan 2020,0,0,0,1530,0,0,0,0,40.8,1525,2400,1205,500,2753165000,2753165000,2753165000,0,0,0,0,0
5,2020-01-02,ACES,Ace Hardware Indonesia Tbk.,--S9KB-1,1495,0,02 Jan 2020,0,1535,1500,1510,15,13727900,20813082500,3295,1841.5,1515,38200,1510,572700,17150000000,17150000000,17150000000,7584400,5264200,51000005,77367007600,3
6,2020-01-02,ACST,Acset Indonusa Tbk.,--U6---1,970,0,02 Jan 2020,0,1010,965,995,25,48900,47523500,56,41.8,995,1200,975,41000,700000000,700000000,700000000,0,100,0,0,0
7,2020-01-02,ADES,Akasha Wira International Tbk.,--U5---2,1045,0,02 Jan 2020,0,1045,1045,1045,0,400,418000,3,54.3,1045,70100,1030,100,589896800,589896800,589896800,0,0,0,0,0
8,2020-01-02,ADHI,Adhi Karya (Persero) Tbk.,--U6K--1,1175,0,02 Jan 2020,0,1190,1155,1170,-5,5113900,5995637500,1224,918.9,1175,658700,1170,877400,3560849376,3560849376,3560849376,376100,117200,379465,445870550,3
9,2020-01-02,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,10400,0,02 Jan 2020,0,10450,10375,10425,25,20000,208387500,35,448.4,10425,3300,10400,400,1000000000,1000000000,1000000000,10400,0,0,0,0
10,2020-01-02,ADMG,Polychem Indonesia Tbk,--U3---1,186,0,02 Jan 2020,0,188,186,187,1,46500,8680900,21,16.7,187,22900,186,73400,3889179559,3889179559,3889179559,0,0,0,0,0
11,2020-01-02,ADRO,Adaro Energy Tbk.,CDS2BXO1,1555,1555,02 Jan 2020,1555,1555,1490,1495,-60,76612000,115503204000,8570,135.9,1495,1205300,1490,481400,31985962000,31985962000,31985962000,4975200,12281400,2138908,3310856650,7
12,2020-01-02,AGAR,Asia Sejahtera Mina Tbk.,--U9---2,396,0,02 Jan 2020,0,396,390,392,-4,127500,50074800,32,356.4,392,28700,390,20600,1000000000,250000000,1000000000,0,0,0,0,0
13,2020-01-02,AGII,Aneka Gas Industri Tbk.,--S3---1,695,0,02 Jan 2020,0,670,650,650,-45,185800,121784000,112,59.1,660,7200,650,13800,3066660000,3066660000,3066660000,0,6100,0,0,0
