Trading Date,No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
2020-01-02,275,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11150,11275,02 Jan 2020,11300,11300,11100,11150,0,1240200,13913785000,1752,413.3,11175,100,11150,932700,11661908000,11661908000,11661908000,612600,410800,72,813600,1
2020-01-03,275,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11150,11150,03 Jan 2020,11175,11275,11050,11250,100,3044300,34059482500,2612,417.1,11275,22300,11250,344800,11661908000,11661908000,11661908000,2084400,1439100,33,367950,1
2020-01-06,275,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11250,11250,06 Jan 2020,11250,11550,11175,11500,250,3369400,38540720000,2180,426.3,11500,331700,11475,132500,11661908000,11661908000,11661908000,921700,920400,91,1023750,1
2020-01-07,275,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11500,11550,07 Jan 2020,11550,11550,11200,11500,0,4636500,53213912500,2528,426.3,11525,13600,11500,966600,11661908000,11661908000,11661908000,2083500,493000,118600,1366390000,24
2020-01-08,275,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11500,11300,08 Jan 2020,11350,11550,11300,11550,50,3602100,41483250000,1917,428.2,11550,505800,11525,100,11661908000,11661908000,11661908000,1917400,1507000,170290,1942374500,8
2020-01-09,277,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11550,11550,09 Jan 2020,11550,11550,11400,11525,-25,4490400,51659325000,1665,427.2,11525,1393000,11500,1150500,11661908000,11661908000,11661908000,2283800,517200,650000,7477100000,2
2020-01-10,277,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11525,11550,10 Jan 2020,11550,11575,11475,11525,0,4671700,53802477500,2232,427.2,11525,743600,11500,226400,11661908000,11661908000,11661908000,2685100,1175400,423496,4836346000,4
2020-01-13,277,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11525,11600,13 Jan 2020,11525,11600,11525,11550,25,3006900,34744580000,1749,428.2,11550,523100,11525,55500,11661908000,11661908000,11661908000,518800,2358000,317420,3658689300,5
2020-01-14,278,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11550,11625,14 Jan 2020,11625,11625,11550,11600,50,4265000,49418472500,2635,430.0,11600,891000,11575,1398500,11661908000,11661908000,11661908000,1513900,2975000,44558,513131900,2
2020-01-15,278,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11600,11625,15 Jan 2020,11625,11625,11425,11475,-125,4462500,51415305000,2353,425.4,11475,300,11450,2100,11661908000,11661908000,11661908000,1461100,2048600,165279,1906168000,2
2020-01-16,278,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11475,11475,16 Jan 2020,11450,11600,11425,11600,125,4698300,53979857500,3416,430.0,11600,971500,11575,200,11661908000,11661908000,11661908000,2994100,1800100,57,662625,1
2020-01-17,278,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11600,11600,17 Jan 2020,11600,11600,11550,11575,-25,2827400,32731950000,1490,429.1,11600,1516200,11575,1624200,11661908000,11661908000,11661908000,761900,429100,66,761250,2
2020-01-20,277,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11575,11575,20 Jan 2020,11575,11600,11550,11600,25,3167900,36719412500,1251,430.0,11600,794400,11575,1438500,11661908000,11661908000,11661908000,486400,1917500,12715,147282518,7
2020-01-21,277,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BXO1,11600,11625,21 Jan 2020,11625,11800,11600,11700,100,3918900,45896490000,1817,433.7,11700,637000,11675,217200,11661908000,11661908000,11661908000,996800,2724700,47515,550034000,2
