Trading Date,No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
2020-01-02,618,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3970,3970,02 Jan 2020,3970,4000,3900,3910,-60,52094000,204757994000,8948,2054.8,3920,11400,3910,5580600,99062216600,99062216600,99062216600,34855500,16742400,2326689,9305327250,8
2020-01-03,618,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3910,3960,03 Jan 2020,3960,3980,3930,3980,70,70032900,277295942000,7524,2091.6,3980,1677700,3970,19700,99062216600,99062216600,99062216600,36112700,48710700,2270798,8953075880,5
2020-01-06,618,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3980,3930,06 Jan 2020,3940,3970,3930,3960,-20,42908900,169443670000,6659,2081.1,3970,1000800,3960,179000,99062216600,99062216600,99062216600,20737700,17506000,1143884,4524527720,5
2020-01-07,618,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3960,3930,07 Jan 2020,3950,3970,3920,3940,-20,51837600,204199573000,6125,2070.6,3950,52000,3940,1495500,99062216600,99062216600,99062216600,26195500,22647300,4557187,17473140620,12
2020-01-08,619,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3940,3920,08 Jan 2020,3920,3950,3900,3900,-40,52402600,205267042000,7055,2049.6,3910,21800,3900,4572000,99062216600,99062216600,99062216600,34096000,19744300,2177000,8559518000,9
2020-01-09,621,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3900,3920,09 Jan 2020,3930,3970,3920,3960,60,37580300,148405253000,7861,2081.1,3960,24900,3950,2068900,99062216600,99062216600,99062216600,16622900,17861300,1199090,4629815475,12
2020-01-10,621,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3960,3980,10 Jan 2020,3980,3990,3950,3980,20,48099000,191275385000,5903,2091.6,3990,2305000,3980,24500,99062216600,99062216600,99062216600,28428400,42807700,13574924,53964093980,9
2020-01-13,622,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3980,4000,13 Jan 2020,4000,4030,3990,4030,50,61913800,248325684000,6670,2117.9,4030,4788800,4020,147200,99062216600,99062216600,99062216600,35044400,45958600,94335929,377620987730,27
2020-01-14,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,4030,3980,14 Jan 2020,3990,4000,3940,3950,-80,95058600,375744371000,10743,2075.8,3950,2118000,3940,3532500,99062216600,99062216600,99062216600,66607600,37052300,19287312,76302580400,10
2020-01-15,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3950,3960,15 Jan 2020,3960,3960,3870,3880,-70,147583300,575777004000,16679,2039.0,3890,498100,3880,210100,99062216600,99062216600,99062216600,101524100,50116100,49942429,195301074770,35
2020-01-16,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3880,3890,16 Jan 2020,3880,3890,3830,3850,-30,118903100,457601370000,14395,2023.3,3850,7214700,3840,2401800,99062216600,99062216600,99062216600,90973900,29977700,63963259,246087004320,27
2020-01-17,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3850,3860,17 Jan 2020,3870,3870,3800,3810,-40,119904100,457351417000,16475,2002.3,3820,8961100,3810,561400,99062216600,99062216600,99062216600,81198600,25582800,42345128,161559816270,31
2020-01-20,622,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3810,3820,20 Jan 2020,3830,3840,3800,3810,0,73599200,280827575000,9897,2002.3,3810,851000,3800,6372600,99062216600,99062216600,99062216600,30435500,22956300,10091669,38391657321,10
2020-01-21,622,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3810,3810,21 Jan 2020,3820,3900,3810,3890,80,78014400,301916596000,10510,2044.3,3890,3188200,3880,215800,99062216600,99062216600,99062216600,23671600,31456500,9726240,37172263680,10
2020-01-22,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3890,3890,22 Jan 2020,3890,3890,3850,3860,-30,45839800,177418886000,7928,2028.5,3870,1900,3860,183300,99062216600,99062216600,99062216600,18159600,23516600,320133,1235691420,7
2020-01-23,622,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3860,3860,23 Jan 2020,3860,3880,3830,3880,20,41077400,158582106000,4082,2039.0,3880,1771400,3870,400,99062216600,99062216600,99062216600,31095600,19864000,28498248,109151499190,20
2020-01-24,622,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3880,3880,24 Jan 2020,3870,3930,3860,3920,40,58524000,228477732000,5107,2060.1,3930,4493900,3920,5568600,99062216600,99062216600,99062216600,24207100,46770700,52077300,201502793700,6
2020-01-27,622,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3920,3920,27 Jan 2020,3920,3920,3830,3840,-80,33081800,127742341000,5501,2018.0,3850,64300,3840,492000,99062216600,99062216600,99062216600,12717200,12425500,6510000,25652550440,18
2020-01-28,622,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3840,3810,28 Jan 2020,3810,3840,3800,3830,-10,56210000,214550576000,7885,2012.8,3840,2300400,3830,7279900,99062216600,99062216600,99062216600,40370600,18387200,6426683,25553735628,7
2020-01-29,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3830,3840,29 Jan 2020,3840,3900,3840,3900,70,51929800,201664037000,6364,2049.6,3900,12986400,3890,21700,99062216600,99062216600,99062216600,16720900,33334400,8801326,33612849800,18
2020-01-30,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3900,3910,30 Jan 2020,3910,3910,3850,3860,-40,60391600,233945204000,5412,2028.5,3860,223300,3850,505700,99062216600,99062216600,99062216600,35077800,46202800,9092393,34800836460,20
2020-01-31,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3860,3890,31 Jan 2020,3890,3890,3780,3800,-60,120447900,459460972000,9675,1997.0,3800,999500,3790,527500,99062216600,99062216600,99062216600,84751200,58679100,3799554,14623159300,13
2020-02-03,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3800,3800,03 Feb 2020,3790,3820,3730,3740,-60,68360600,257796992000,11530,1965.5,3750,130200,3740,5180600,99062216600,99062216600,99062216600,37623000,37529800,10881152,41525449580,16
2020-02-04,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3740,3810,04 Feb 2020,3800,3810,3730,3760,20,77259600,290449588000,8707,1976.0,3760,4168800,3750,732600,99062216600,99062216600,99062216600,36403800,42418100,4849521,18361676890,9
2020-02-05,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3760,3760,05 Feb 2020,3770,3780,3720,3770,10,68150800,255439762000,8782,1981.2,3780,1127200,3770,652700,99062216600,99062216600,99062216600,40219200,41106200,9400062,35244254270,22
2020-02-06,623,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3770,3800,06 Feb 2020,3800,3800,3750,3760,-10,56261500,211946119000,6567,1976.0,3770,114600,3760,582300,99062216600,99062216600,99062216600,38158500,30063100,9107201,34393265370,21
2020-02-07,624,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3760,3780,07 Feb 2020,3770,3820,3760,3790,30,53578900,203296314000,4868,1991.7,3800,362900,3790,444700,99062216600,99062216600,99062216600,24841800,41406500,55910068,212005812380,11
2020-02-10,625,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3790,3800,10 Feb 2020,3800,3850,3780,3810,20,86588500,330656646000,8291,2002.3,3820,1104500,3810,925700,99062216600,99062216600,99062216600,39251500,75317500,10010125,38247504310,8
2020-02-11,625,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3810,3810,11 Feb 2020,3820,3830,3780,3790,-20,50248200,191372182000,5437,1991.7,3790,36200,3780,341500,99062216600,99062216600,99062216600,17180300,33956200,29564500,114052158100,6
2020-02-12,627,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3790,3800,12 Feb 2020,3800,3850,3780,3820,30,73840300,282263730000,4973,2007.5,3830,588800,3820,381900,99062216600,99062216600,99062216600,33194400,49920900,5900020,22507076400,6
2020-02-13,627,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3820,3820,13 Feb 2020,3820,3830,3710,3730,-90,66699800,250132113000,7080,1960.2,3730,143400,3720,1840100,99062216600,99062216600,99062216600,43214700,43870100,4293011,16119485290,9
2020-02-14,628,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3730,3680,14 Feb 2020,3700,3730,3640,3640,-90,108793300,398715398000,10974,1912.9,3640,8900,3630,1949300,99062216600,99062216600,99062216600,84269300,49550300,27780800,102575353200,15
2020-02-17,629,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3640,3630,17 Feb 2020,3630,3660,3590,3610,-30,94887800,343535874000,8612,1897.2,3610,3115800,3600,656600,99062216600,99062216600,99062216600,60447500,52704600,17290630,62843561560,15
2020-02-18,629,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3610,3590,18 Feb 2020,3600,3660,3590,3620,10,94382900,342836965000,7134,1902.4,3630,28300,3620,2043700,99062216600,99062216600,99062216600,58120200,61348800,40203042,146407296800,14
2020-02-19,629,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3620,3620,19 Feb 2020,3620,3640,3590,3620,0,63717800,230182401000,7668,1902.4,3630,1100500,3620,205800,99062216600,99062216600,99062216600,47164700,32654700,22810326,82654917120,13
2020-02-20,629,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,--S7BXO1,3620,3620,20 Feb 2020,3620,3650,3600,3630,10,53035400,192168148000,7361,1907.7,3630,57900,3620,699100,99062216600,99062216600,99062216600,32046900,26185200,17952646,65033945880,8
