date,ihsg_close,ihsg_return_lag_1,ihsg_std_dev_7,ihsg_std_dev_14,ihsg_std_dev_21
2019-01-02 00:00:00+07:00,6181.0,0.0%,0.0,0.0,0.0
2019-01-03 00:00:00+07:00,6221.0,0.647%,0.0,0.0,0.0
2019-01-04 00:00:00+07:00,6275.0,0.868%,0.0,0.0,0.0
2019-01-07 00:00:00+07:00,6287.0,0.191%,0.0,0.0,0.0
2019-01-08 00:00:00+07:00,6263.0,-0.382%,0.0,0.0,0.0
2019-01-09 00:00:00+07:00,6272.0,0.144%,0.0,0.0,0.0
2019-01-10 00:00:00+07:00,6329.0,0.909%,47.646,0.0,0.0
2019-01-11 00:00:00+07:00,6361.0,0.506%,45.718,0.0,0.0
2019-01-14 00:00:00+07:00,6336.0,-0.393%,38.143,0.0,0.0
2019-01-15 00:00:00+07:00,6409.0,1.152%,52.504,0.0,0.0
2019-01-16 00:00:00+07:00,6413.0,0.062%,59.469,0.0,0.0
2019-01-17 00:00:00+07:00,6424.0,0.172%,55.536,0.0,0.0
2019-01-18 00:00:00+07:00,6448.0,0.374%,46.321,0.0,0.0
2019-01-21 00:00:00+07:00,6451.0,0.047%,43.004,86.895,0.0
2019-01-22 00:00:00+07:00,6469.0,0.279%,43.539,81.946,0.0
2019-01-23 00:00:00+07:00,6451.0,-0.278%,22.586,76.043,0.0
2019-01-24 00:00:00+07:00,6467.0,0.248%,20.804,74.784,0.0
2019-01-25 00:00:00+07:00,6483.0,0.247%,18.96,73.506,0.0
2019-01-28 00:00:00+07:00,6459.0,-0.37%,12.628,63.779,0.0
2019-01-29 00:00:00+07:00,6436.0,-0.356%,15.252,49.491,0.0
2019-01-30 00:00:00+07:00,6464.0,0.435%,14.84,42.167,93.701
2019-01-31 00:00:00+07:00,6533.0,1.067%,31.144,44.373,88.38
2019-02-01 00:00:00+07:00,6539.0,0.092%,38.812,38.462,84.616
2019-02-04 00:00:00+07:00,6481.0,-0.887%,38.206,35.776,80.249
2019-02-06 00:00:00+07:00,6548.0,1.034%,44.943,38.599,79.173
2019-02-07 00:00:00+07:00,6536.0,-0.183%,44.286,38.774,72.46
2019-02-08 00:00:00+07:00,6522.0,-0.214%,32.119,38.648,62.806
2019-02-11 00:00:00+07:00,6495.0,-0.414%,24.806,37.123,56.232
2019-02-12 00:00:00+07:00,6426.0,-1.062%,43.111,40.743,51.957
2019-02-13 00:00:00+07:00,6419.0,-0.109%,51.228,43.796,44.125
2019-02-14 00:00:00+07:00,6420.0,0.016%,57.707,47.067,43.423
2019-02-15 00:00:00+07:00,6389.0,-0.483%,58.165,53.342,45.292
2019-02-18 00:00:00+07:00,6498.0,1.706%,51.022,53.393,44.444
2019-02-19 00:00:00+07:00,6495.0,-0.046%,45.649,52.049,44.303
2019-02-20 00:00:00+07:00,6513.0,0.277%,49.061,52.304,44.668
2019-02-21 00:00:00+07:00,6538.0,0.384%,57.005,52.661,46.456
2019-02-22 00:00:00+07:00,6501.0,-0.566%,53.726,50.722,46.093
2019-02-25 00:00:00+07:00,6525.0,0.369%,48.903,51.849,46.763
2019-02-26 00:00:00+07:00,6541.0,0.245%,19.1,51.251,48.225
2019-02-27 00:00:00+07:00,6526.0,-0.229%,17.611,50.58,48.328
2019-02-28 00:00:00+07:00,6443.0,-1.272%,33.575,50.696,47.94
2019-03-01 00:00:00+07:00,6500.0,0.885%,33.896,50.822,47.495
2019-03-04 00:00:00+07:00,6488.0,-0.185%,32.388,48.3,46.687
2019-03-05 00:00:00+07:00,6441.0,-0.724%,40.147,46.288,46.707
2019-03-06 00:00:00+07:00,6458.0,0.264%,39.748,43.059,47.143
2019-03-08 00:00:00+07:00,6383.0,-1.161%,47.031,44.154,50.085
2019-03-11 00:00:00+07:00,6366.0,-0.266%,49.938,54.929,53.982
2019-03-12 00:00:00+07:00,6354.0,-0.189%,59.432,64.1,58.293
2019-03-13 00:00:00+07:00,6378.0,0.378%,51.919,67.179,60.608
2019-03-14 00:00:00+07:00,6413.0,0.549%,39.268,64.28,61.008
2019-03-15 00:00:00+07:00,6461.0,0.748%,43.349,62.768,60.398
2019-03-18 00:00:00+07:00,6509.0,0.743%,56.614,61.396,60.675
2019-03-19 00:00:00+07:00,6480.0,-0.446%,60.86,56.17,58.341
2019-03-20 00:00:00+07:00,6483.0,0.046%,58.622,52.317,58.036
2019-03-21 00:00:00+07:00,6502.0,0.293%,48.344,54.908,58.228
2019-03-22 00:00:00+07:00,6525.0,0.354%,36.934,57.227,58.76
2019-03-25 00:00:00+07:00,6411.0,-1.747%,37.558,56.554,57.654
2019-03-26 00:00:00+07:00,6470.0,0.92%,36.885,57.111,56.98
2019-03-27 00:00:00+07:00,6445.0,-0.386%,37.255,56.942,55.049
2019-03-28 00:00:00+07:00,6481.0,0.559%,37.285,55.204,51.885
2019-03-29 00:00:00+07:00,6469.0,-0.185%,37.087,49.991,49.313
2019-04-01 00:00:00+07:00,6453.0,-0.247%,35.016,40.607,49.285
2019-04-02 00:00:00+07:00,6476.0,0.356%,24.224,32.489,48.361
2019-04-04 00:00:00+07:00,6495.0,0.293%,16.817,28.61,48.66
2019-04-05 00:00:00+07:00,6474.0,-0.323%,16.89,28.305,48.883
2019-04-08 00:00:00+07:00,6426.0,-0.741%,22.314,29.666,49.175
2019-04-09 00:00:00+07:00,6484.0,0.903%,22.638,29.781,47.173
2019-04-10 00:00:00+07:00,6478.0,-0.093%,22.948,29.656,42.73
2019-04-11 00:00:00+07:00,6410.0,-1.05%,32.035,32.253,37.144
2019-04-12 00:00:00+07:00,6406.0,-0.062%,37.81,30.598,34.337
2019-04-15 00:00:00+07:00,6435.0,0.453%,33.31,28.51,33.002
2019-04-16 00:00:00+07:00,6482.0,0.73%,34.595,29.096,33.181
2019-04-18 00:00:00+07:00,6507.0,0.386%,39.974,31.556,33.055
2019-04-22 00:00:00+07:00,6415.0,-1.414%,40.828,33.464,34.708
2019-04-23 00:00:00+07:00,6463.0,0.748%,39.331,33.348,34.411
2019-04-24 00:00:00+07:00,6448.0,-0.232%,36.118,33.426,33.29
