Trading Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02 00:00:00+07:00,6198,6206,6165,6181,6181,52797800
2019-01-03 00:00:00+07:00,6176,6221,6176,6221,6221,72166700
2019-01-04 00:00:00+07:00,6211,6275,6201,6275,6275,80858100
2019-01-07 00:00:00+07:00,6318,6355,6287,6287,6287,90278300
2019-01-08 00:00:00+07:00,6292,6316,6251,6263,6263,90537400
2019-01-09 00:00:00+07:00,6296,6312,6265,6272,6272,105604200
2019-01-10 00:00:00+07:00,6294,6329,6269,6329,6329,122462300
2019-01-11 00:00:00+07:00,6348,6361,6338,6361,6361,78112000
2019-01-14 00:00:00+07:00,6351,6360,6302,6336,6336,79731000
2019-01-15 00:00:00+07:00,6347,6409,6334,6409,6409,95139900
2019-01-16 00:00:00+07:00,6417,6426,6386,6413,6413,104252800
2019-01-17 00:00:00+07:00,6421,6458,6411,6424,6424,99214400
2019-01-18 00:00:00+07:00,6444,6453,6409,6448,6448,77604300
2019-01-21 00:00:00+07:00,6449,6472,6439,6451,6451,101769000
2019-01-22 00:00:00+07:00,6453,6469,6417,6469,6469,100776200
2019-01-23 00:00:00+07:00,6453,6484,6450,6451,6451,109468500
2019-01-24 00:00:00+07:00,6451,6479,6447,6467,6467,120391000
2019-01-25 00:00:00+07:00,6474,6498,6470,6483,6483,92035400
2019-01-28 00:00:00+07:00,6489,6501,6434,6459,6459,95548600
2019-01-29 00:00:00+07:00,6454,6485,6428,6436,6436,73064200
2019-01-30 00:00:00+07:00,6445,6465,6435,6464,6464,78683300
2019-01-31 00:00:00+07:00,6491,6544,6491,6533,6533,104349100
2019-02-01 00:00:00+07:00,6552,6582,6516,6539,6539,88866200
2019-02-04 00:00:00+07:00,6541,6556,6479,6481,6481,89042000
2019-02-06 00:00:00+07:00,6504,6552,6504,6548,6548,106799500
2019-02-07 00:00:00+07:00,6556,6564,6517,6536,6536,115112600
2019-02-08 00:00:00+07:00,6514,6527,6499,6522,6522,96579400
2019-02-11 00:00:00+07:00,6524,6535,6494,6495,6495,94974200
2019-02-12 00:00:00+07:00,6503,6513,6392,6426,6426,118209700
2019-02-13 00:00:00+07:00,6445,6457,6399,6419,6419,122590200
2019-02-14 00:00:00+07:00,6429,6446,6402,6420,6420,117183600
2019-02-15 00:00:00+07:00,6426,6434,6375,6389,6389,98204900
2019-02-18 00:00:00+07:00,6428,6501,6426,6498,6498,97765700
2019-02-19 00:00:00+07:00,6501,6534,6493,6495,6495,98372900
2019-02-20 00:00:00+07:00,6522,6552,6483,6513,6513,110588600
2019-02-21 00:00:00+07:00,6511,6539,6499,6538,6538,102022900
2019-02-22 00:00:00+07:00,6518,6530,6481,6501,6501,101594400
2019-02-25 00:00:00+07:00,6522,6538,6508,6525,6525,95685700
2019-02-26 00:00:00+07:00,6528,6541,6498,6541,6541,111994800
2019-02-27 00:00:00+07:00,6532,6539,6500,6526,6526,89352100
2019-02-28 00:00:00+07:00,6527,6527,6433,6443,6443,100223700
2019-03-01 00:00:00+07:00,6469,6505,6466,6500,6500,78269700
2019-03-04 00:00:00+07:00,6508,6537,6488,6488,6488,89179000
2019-03-05 00:00:00+07:00,6486,6486,6409,6441,6441,82023100
2019-03-06 00:00:00+07:00,6461,6473,6424,6458,6458,91098200
2019-03-08 00:00:00+07:00,6440,6442,6382,6383,6383,92588600
2019-03-11 00:00:00+07:00,6419,6421,6366,6366,6366,97316700
2019-03-12 00:00:00+07:00,6396,6404,6340,6354,6354,84514000
2019-03-13 00:00:00+07:00,6343,6378,6338,6378,6378,100029400
2019-03-14 00:00:00+07:00,6375,6413,6373,6413,6413,96692700
2019-03-15 00:00:00+07:00,6420,6489,6420,6461,6461,122938800
2019-03-18 00:00:00+07:00,6482,6509,6477,6509,6509,105004500
2019-03-19 00:00:00+07:00,6516,6522,6473,6480,6480,113972800
2019-03-20 00:00:00+07:00,6487,6498,6464,6483,6483,106335600
2019-03-21 00:00:00+07:00,6499,6516,6484,6502,6502,120956200
2019-03-22 00:00:00+07:00,6511,6525,6492,6525,6525,129537900
2019-03-25 00:00:00+07:00,6474,6475,6392,6411,6411,105721300
2019-03-26 00:00:00+07:00,6441,6478,6440,6470,6470,85932800
2019-03-27 00:00:00+07:00,6481,6485,6444,6445,6445,90444600
2019-03-28 00:00:00+07:00,6460,6481,6445,6481,6481,92075400
2019-03-29 00:00:00+07:00,6481,6486,6441,6469,6469,102927100
2019-04-01 00:00:00+07:00,6486,6493,6445,6453,6453,93229400
2019-04-02 00:00:00+07:00,6477,6490,6455,6476,6476,97657900
2019-04-04 00:00:00+07:00,6490,6506,6480,6495,6495,115935300
2019-04-05 00:00:00+07:00,6501,6507,6474,6474,6474,104044400
2019-04-08 00:00:00+07:00,6480,6484,6391,6426,6426,104784600
2019-04-09 00:00:00+07:00,6435,6484,6430,6484,6484,103220100
2019-04-10 00:00:00+07:00,6477,6488,6457,6478,6478,85785100
2019-04-11 00:00:00+07:00,6468,6473,6410,6410,6410,98465700
2019-04-12 00:00:00+07:00,6395,6422,6395,6406,6406,115690900
2019-04-15 00:00:00+07:00,6427,6442,6415,6435,6435,89372600
2019-04-16 00:00:00+07:00,6441,6485,6438,6482,6482,113905400
2019-04-18 00:00:00+07:00,6569,6636,6487,6507,6507,112896400
2019-04-22 00:00:00+07:00,6511,6516,6410,6415,6415,94956300
2019-04-23 00:00:00+07:00,6420,6483,6415,6463,6463,105904400
2019-04-24 00:00:00+07:00,6460,6473,6434,6448,6448,95981100
2019-04-25 00:00:00+07:00,6424,6432,6353,6373,6373,95830800
2019-04-26 00:00:00+07:00,6350,6401,6322,6401,6401,84764000
2019-04-29 00:00:00+07:00,6388,6428,6377,6426,6426,87784100
2019-04-30 00:00:00+07:00,6438,6458,6428,6455,6455,94646800
2019-05-02 00:00:00+07:00,6458,6466,6363,6374,6374,105193000
2019-05-03 00:00:00+07:00,6367,6368,6261,6319,6319,93047100
2019-05-06 00:00:00+07:00,6255,6263,6208,6256,6256,76667800
2019-05-07 00:00:00+07:00,6272,6311,6268,6297,6297,99893700
2019-05-08 00:00:00+07:00,6261,6271,6231,6270,6270,92019200
2019-05-09 00:00:00+07:00,6242,6260,6195,6199,6199,92161300
2019-05-10 00:00:00+07:00,6203,6233,6149,6209,6209,83315100
2019-05-13 00:00:00+07:00,6225,6238,6135,6135,6135,73081800
2019-05-14 00:00:00+07:00,6081,6101,6034,6071,6071,102612300
2019-05-15 00:00:00+07:00,6092,6107,5981,5981,5981,90189500
2019-05-16 00:00:00+07:00,5970,6010,5890,5896,5896,90700800
2019-05-17 00:00:00+07:00,5930,5937,5827,5827,5827,88536300
