Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2020-01-02,6925,6925,6775,6875,15008600,344200,480900,9845900,7743700
2020-01-03,6925,6950,6825,6950,19068800,970000,896000,7863400,14046300
2020-01-06,6900,6900,6750,6750,22261900,195300,36500,14565000,8830400
2020-01-07,6800,6825,6675,6775,27963000,200,32800,14563400,13900400
2020-01-08,6700,6825,6700,6775,15150400,71800,413900,7171500,12022600
2020-01-09,6800,6875,6750,6875,19691200,32900,727100,9524900,11472600
2020-01-10,6900,6925,6825,6825,17687600,591300,46900,12196500,10495000
2020-01-13,6850,6925,6825,6925,29585200,2200,1372000,21404800,13951000
2020-01-14,6975,7175,6925,7175,41214400,655400,2788200,7943900,22086200
2020-01-15,7150,7250,7025,7200,38535100,11500,1717600,10264600,25123100
2020-01-16,7125,7200,7075,7125,38504400,91600,15400,25088100,21173200
2020-01-17,7075,7150,7000,7075,26714800,531700,399100,10922000,14952500
2020-01-20,7100,7125,6975,7000,22389100,850600,564400,10563600,5027000
2020-01-21,7025,7025,6925,7025,12520300,3200,1177200,8592200,6109500
2020-01-22,7025,7075,6975,7000,20100300,14700,335700,6824400,16149800
2020-01-23,7050,7100,7000,7050,18020200,117800,1005400,6959400,11120800
2020-01-24,7000,7050,6975,6975,13710000,5290200,61600,6139200,5231700
2020-01-27,6975,6975,6700,6725,17470800,1316200,337000,8441900,5113500
2020-01-28,6675,6825,6650,6825,23466100,17100,503800,13143200,8004700
2020-01-29,6850,6850,6750,6825,12646100,400,933300,8563500,6283500
2020-01-30,6775,6800,6625,6625,25324800,508800,8100,19316300,11802100
2020-01-31,6650,6675,6350,6350,66460400,565400,90900,39175000,18212300
2020-02-03,6275,6425,6250,6275,34538400,1145400,3600,26950300,12468200
2020-02-04,6350,6450,6300,6400,46272800,615600,312100,25965200,29595300
2020-02-05,6450,6500,6300,6400,32227100,189500,49900,8962400,19429400
2020-02-06,6500,6525,6425,6500,26015800,396000,930900,11990600,20819400
2020-02-07,6550,6550,6400,6400,13918700,109100,178600,6254200,6420800
2020-02-10,6400,6400,6175,6200,45366900,1600,107000,29434200,19480700
2020-02-11,6300,6300,6050,6100,54325000,1140500,252800,34961800,25916300
2020-02-12,6075,6100,5925,5975,51100700,863100,133000,27507000,28057000
2020-02-13,5975,6025,5925,5950,33021700,300000,101100,17808800,22694200
2020-02-14,5975,6100,5925,6100,60901000,920800,1989100,30746700,37189100
2020-02-17,6150,6175,6050,6100,16567600,1312700,87700,6900600,6836000
2020-02-18,6050,6200,6050,6100,27960300,1856900,22100,16803400,17116600
2020-02-19,6175,6250,6150,6250,35186100,170900,2169800,11273500,23731600
2020-02-20,6275,6275,6125,6275,37995400,70000,162400,22761400,26514200
2020-02-21,6275,6300,6150,6200,33804700,73900,118100,21142500,27390900
2020-02-24,6050,6150,6025,6100,34190600,622400,711800,9415800,28008000
2020-02-25,6000,6275,5975,6225,40723200,23600,34800,21183800,29637900
2020-02-26,6100,6150,6050,6050,40723200,23600,34800,21183800,29637900
2020-02-27,6100,6100,5950,5950,44801100,1540100,32000,26781200,31330200
2020-02-28,5850,5850,5525,5525,100693900,2660000,12500,80547800,58510600
2020-03-02,5700,5850,5625,5700,63765800,2186200,1000,26251500,46663600
2020-03-03,5850,5975,5775,5900,53817300,864700,674500,37004700,32656900
2020-03-04,5900,6025,5875,5975,43566600,415400,45800,35406200,23410100
2020-03-05,6025,6050,5875,6050,40537300,204200,372100,23842900,28200100
2020-03-06,5950,5950,5675,5675,31282500,1000800,10200,21743200,15041800
2020-03-09,5500,5500,5025,5025,87904100,884500,33900,48487600,45366200
2020-03-10,5100,5325,5100,5150,86444600,797300,143800,64616000,32496000
2020-03-11,5150,5175,5050,5125,45134700,115400,30900,27132100,29158400
2020-03-12,5000,5025,4820,4910,64824200,2695600,1600,39307100,39611600
2020-03-13,4910,4910,4910,4910,98966100,2362900,62900,61799100,63455500
2020-03-16,4770,4770,4530,4590,55655900,834800,1500,30853900,43025500
2020-03-17,4590,4600,4270,4270,67166600,0,6301800,46368500,42504200
2020-03-18,4290,4350,3980,4150,61972000,19800,600,39199200,29227200
2020-03-19,4020,4020,3860,3860,27066700,0,27388500,19470700,17138900
2020-03-20,3890,3900,3590,3780,141147800,1015500,100,96039200,79869300
2020-03-23,3780,3780,3520,3520,40318500,0,19798000,24476500,23081400
2020-03-24,3570,3610,3280,3280,89502100,0,12812400,61092900,51420400
2020-03-26,3220,3680,3220,3620,180290700,88200,162100,107973500,95876300
2020-03-27,3650,4360,3650,4080,150312000,2500,270800,89815500,82283500
2020-03-30,4080,4080,3800,3800,45490800,0,6199800,29322000,27278000
2020-03-31,3880,3980,3740,3900,62534800,300,2863700,31657500,33584300
2020-04-01,3880,4090,3650,3770,78042900,525900,743700,35648300,35191700
2020-04-02,3670,3930,3580,3930,39717300,1500,3901900,14722100,19984600
2020-04-03,3990,4050,3860,3900,42577100,110200,758400,27816700,15816300
2020-04-06,3920,4040,3880,4030,71205800,17000,5362200,39518900,11776600
2020-04-07,4060,4250,3960,4060,79018000,284800,176100,35490000,35937800
2020-04-08,4000,4030,3810,3850,55980400,29700,173300,18612800,26991600
2020-04-09,3870,4120,3870,4090,53526100,16400,2989900,15971600,23401900
2020-04-13,4090,4150,3920,3960,27520900,2196100,39800,17949800,6967400
2020-04-14,3960,4030,3920,3960,64571400,1684500,1810400,46024200,23898200
2020-04-15,4000,4000,3800,3820,86149800,337400,927600,49338700,26256900
2020-04-16,3780,3780,3620,3620,61494300,1747900,130200,32179800,21545200
2020-04-17,3680,3840,3680,3800,78593000,926300,5797800,58627400,30913500
2020-04-20,3800,3830,3710,3720,50406600,800700,2297000,31820700,18892600
2020-04-21,3710,3740,3610,3640,36590700,226500,45200,22855300,20521700
2020-04-22,3600,3660,3450,3640,76750500,635000,1802000,53571800,35528000
2020-04-23,3700,3790,3650,3760,85068700,31200,970700,47964000,38751400
2020-04-24,3760,3760,3610,3630,49597000,251100,78800,31263900,18523700
2020-04-27,3670,3760,3570,3710,45682200,363200,27000,26627000,17415300
2020-04-28,3750,3790,3630,3740,53532700,114000,135100,32694300,24268100
2020-04-29,3770,3780,3650,3690,40557200,68000,448100,35124500,19573300
2020-04-30,3750,3860,3720,3850,92257000,100,1480200,52314700,36049200
2020-05-04,3750,3750,3610,3610,71301800,2735500,367300,43036200,13536800
2020-05-05,3630,3660,3580,3610,54983300,263700,201500,37949900,14788800
2020-05-06,3610,3680,3580,3640,70425000,2820500,107100,52270000,20730500
2020-05-08,3690,3740,3600,3740,63346500,79700,660600,27763800,18838100
2020-05-11,3760,3920,3750,3920,79511800,2842500,734800,16204100,23994400
2020-05-12,3920,3920,3780,3820,58347900,2300,3187800,25260800,8287800
2020-05-13,3820,3820,3710,3730,44974600,406300,4800,25289900,10248700
2020-05-14,3700,3710,3530,3570,80570900,813000,105100,42284100,8205400
2020-05-15,3590,3720,3560,3710,65284900,504000,809200,17116100,28782100
2020-05-18,3720,3950,3710,3910,88368200,1413500,753400,30068800,40426800
2020-05-19,4000,4040,3940,3950,77238800,94200,1200,27749800,27431600
2020-05-20,3950,3980,3870,3970,38965700,83300,35200,15853600,18676700
2020-05-26,3970,4360,3970,4330,116041900,255800,108500,33227600,58590600
2020-05-27,4350,4390,4220,4350,68841200,244100,104800,37875900,28281900
2020-05-28,4370,4580,4350,4540,86825700,737900,654500,48280900,60656100
2020-05-29,4520,4770,4470,4770,164786500,334100,129900,98701600,131272400
2020-06-02,4760,4950,4630,4730,72425900,5000,360700,37025000,41072000
2020-06-03,4750,4950,4680,4890,76654100,63400,436200,32580500,50459200
2020-06-04,4950,4960,4740,4760,82711000,1103700,71400,49951300,54872400
2020-06-05,4780,5025,4670,5000,63578800,37000,4643900,27018300,43120000
2020-06-08,5250,5250,4990,5025,53808200,196700,415600,18380400,23094000
2020-06-09,5100,5125,4980,5000,43049500,72200,3800,19170200,26991600
2020-06-10,5025,5025,4650,4850,39812900,309800,117100,18888800,21279100
2020-06-11,4840,4840,4660,4700,53920100,51600,2200,31045700,28006900
2020-06-12,4590,4820,4400,4790,45837700,687300,30600,17920700,15148900
2020-06-15,4800,4850,4700,4740,42880500,33600,57100,19506700,14891800
2020-06-16,4800,5000,4800,4970,38736700,50600,826400,17817800,11814700
2020-06-17,4990,5000,4910,4970,24744500,38700,7750700,14458400,11732700
2020-06-18,4970,4970,4800,4800,40331900,1507100,200,21066800,12784000
