Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2020-01-02,11275,11300,11100,11150,1240200,932700,100,612600,410800
2020-01-03,11150,11275,11050,11250,3044300,344800,22300,2084400,1439100
2020-01-06,11250,11550,11175,11500,3369400,132500,331700,921700,920400
2020-01-07,11550,11550,11200,11500,4636500,966600,13600,2083500,493000
2020-01-08,11300,11550,11300,11550,3602100,100,505800,1917400,1507000
2020-01-09,11550,11550,11400,11525,4490400,1150500,1393000,2283800,517200
2020-01-10,11550,11575,11475,11525,4671700,226400,743600,2685100,1175400
2020-01-13,11600,11600,11525,11550,3006900,55500,523100,518800,2358000
2020-01-14,11625,11625,11550,11600,4265000,1398500,891000,1513900,2975000
2020-01-15,11625,11625,11425,11475,4462500,2100,300,1461100,2048600
2020-01-16,11475,11600,11425,11600,4698300,200,971500,2994100,1800100
2020-01-17,11600,11600,11550,11575,2827400,1624200,1516200,761900,429100
2020-01-20,11575,11600,11550,11600,3167900,1438500,794400,486400,1917500
2020-01-21,11625,11800,11600,11700,3918900,217200,637000,996800,2724700
2020-01-22,11700,11875,11675,11750,5004000,200000,239500,552600,2559600
2020-01-23,11700,11775,11650,11700,1669200,355400,981100,841900,233700
2020-01-24,11675,11700,11600,11700,1701000,69900,348700,491300,351100
2020-01-27,11700,11725,11625,11650,2236100,211400,800,677600,465300
2020-01-28,11625,11650,11300,11625,3602200,395900,3900,1579200,293800
2020-01-29,11650,11800,11650,11700,2873700,600,474400,1244600,1646900
2020-01-30,11750,11900,11475,11625,5091400,3300,4900,735900,3199600
2020-01-31,11600,11600,11375,11375,6281100,1107600,2600,4268500,1217600
2020-02-03,11375,11425,11300,11400,2396500,155900,378600,1389200,586700
2020-02-04,11550,11700,11475,11600,6060300,300,809300,1059800,4078300
2020-02-05,11600,11625,11450,11500,2591600,16200,598300,946800,843700
2020-02-06,11475,11650,11475,11500,2299400,10300,251600,991600,1159800
2020-02-07,11500,11550,11400,11500,1786400,1107900,839700,816100,544300
2020-02-10,11650,11650,11400,11575,2697700,121300,116200,1090600,1698300
2020-02-11,11575,11575,11400,11475,13191900,300,542200,1650300,483100
2020-02-12,11050,11050,10550,10750,38781300,178600,20000,11818500,10459400
2020-02-13,10700,10950,10600,10800,6782100,522500,306300,2798800,1160000
2020-02-14,10825,10850,10750,10775,5096600,100800,5300,2052600,28100
2020-02-17,10750,10925,10725,10850,3487400,197200,2100,1620900,969600
2020-02-18,10850,10950,10825,10850,5428000,65100,3500,2007200,1764300
2020-02-19,10950,11000,10800,11000,3665500,6400,236100,1096900,2455100
2020-02-20,11025,11375,11000,11225,5472600,4900,466100,1456300,1852600
2020-02-21,11225,11275,10925,10950,4520700,1328600,2000,2497700,1948600
2020-02-24,10750,11125,10750,11025,2871700,200,623200,1832100,1286300
2020-02-25,11000,11075,10875,10975,3213600,17500,6400,2490700,1687000
2020-02-26,10900,10925,10775,10825,3213600,17500,6400,2490700,1687000
2020-02-27,10750,10825,10350,10550,5781400,70600,65900,4293500,1509400
2020-02-28,10100,10450,9900,10275,12019600,1500,38100,4137500,7031300
2020-03-02,10275,10275,9975,10150,6373100,15200,256600,3753100,2129700
2020-03-03,10650,11125,10475,10950,7187600,200000,223800,4431200,3786400
2020-03-04,10975,11000,10750,10950,4640300,12100,303200,2276800,2059800
2020-03-05,11025,11075,10800,10950,6386500,1000,437800,1834500,5734600
2020-03-06,10750,11000,10750,10950,5805700,1200,14500,1704100,4092600
2020-03-09,10700,10700,10350,10375,4459700,4300,1000,2402200,1856800
2020-03-10,10300,11000,10300,10775,4665700,1100,92500,2478800,3051700
2020-03-11,10775,10950,10450,10950,5798300,12300,125500,2590600,3167700
2020-03-12,10775,10950,10500,10525,4114900,33100,69400,2302200,1443200
2020-03-13,10525,11100,9800,10975,9473800,3600,2700,3556300,4097000
2020-03-16,10825,10925,10325,10400,6384200,239000,600,4385700,1447300
2020-03-17,10400,10500,9700,9750,8147300,3700,7100,6382200,2223600
