Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2020-01-02,3970,4000,3900,3910,52094000,5580600,11400,34855500,16742400
2020-01-03,3960,3980,3930,3980,70032900,19700,1677700,36112700,48710700
2020-01-06,3930,3970,3930,3960,42908900,179000,1000800,20737700,17506000
2020-01-07,3930,3970,3920,3940,51837600,1495500,52000,26195500,22647300
2020-01-08,3920,3950,3900,3900,52402600,4572000,21800,34096000,19744300
2020-01-09,3920,3970,3920,3960,37580300,2068900,24900,16622900,17861300
2020-01-10,3980,3990,3950,3980,48099000,24500,2305000,28428400,42807700
2020-01-13,4000,4030,3990,4030,61913800,147200,4788800,35044400,45958600
2020-01-14,3980,4000,3940,3950,95058600,3532500,2118000,66607600,37052300
2020-01-15,3960,3960,3870,3880,147583300,210100,498100,101524100,50116100
2020-01-16,3890,3890,3830,3850,118903100,2401800,7214700,90973900,29977700
2020-01-17,3860,3870,3800,3810,119904100,561400,8961100,81198600,25582800
2020-01-20,3820,3840,3800,3810,73599200,6372600,851000,30435500,22956300
2020-01-21,3810,3900,3810,3890,78014400,215800,3188200,23671600,31456500
2020-01-22,3890,3890,3850,3860,45839800,183300,1900,18159600,23516600
2020-01-23,3860,3880,3830,3880,41077400,400,1771400,31095600,19864000
2020-01-24,3880,3930,3860,3920,58524000,5568600,4493900,24207100,46770700
2020-01-27,3920,3920,3830,3840,33081800,492000,64300,12717200,12425500
2020-01-28,3810,3840,3800,3830,56210000,7279900,2300400,40370600,18387200
2020-01-29,3840,3900,3840,3900,51929800,21700,12986400,16720900,33334400
2020-01-30,3910,3910,3850,3860,60391600,505700,223300,35077800,46202800
2020-01-31,3890,3890,3780,3800,120447900,527500,999500,84751200,58679100
2020-02-03,3800,3820,3730,3740,68360600,5180600,130200,37623000,37529800
2020-02-04,3810,3810,3730,3760,77259600,732600,4168800,36403800,42418100
2020-02-05,3760,3780,3720,3770,68150800,652700,1127200,40219200,41106200
2020-02-06,3800,3800,3750,3760,56261500,582300,114600,38158500,30063100
2020-02-07,3780,3820,3760,3790,53578900,444700,362900,24841800,41406500
2020-02-10,3800,3850,3780,3810,86588500,925700,1104500,39251500,75317500
2020-02-11,3810,3830,3780,3790,50248200,341500,36200,17180300,33956200
2020-02-12,3800,3850,3780,3820,73840300,381900,588800,33194400,49920900
2020-02-13,3820,3830,3710,3730,66699800,1840100,143400,43214700,43870100
2020-02-14,3680,3730,3640,3640,108793300,1949300,8900,84269300,49550300
2020-02-17,3630,3660,3590,3610,94887800,656600,3115800,60447500,52704600
2020-02-18,3590,3660,3590,3620,94382900,2043700,28300,58120200,61348800
2020-02-19,3620,3640,3590,3620,63717800,205800,1100500,47164700,32654700
2020-02-20,3620,3650,3600,3630,53035400,699100,57900,32046900,26185200
2020-02-21,3650,3710,3640,3690,86862600,2182700,1052800,38303900,62534700
2020-02-24,3670,3720,3630,3640,72610600,5068200,4600,34064300,52959500
2020-02-25,3600,3670,3590,3590,73990700,4078800,70800,59823100,35174400
2020-02-26,3530,3550,3450,3510,73990700,4078800,70800,59823100,35174400
2020-02-27,3510,3550,3420,3470,88389400,665400,81900,58091400,57578100
2020-02-28,3390,3490,3340,3490,151751800,3200,1073200,103242500,107300400
2020-03-02,3470,3550,3440,3440,96802900,1024100,100,60784500,68904000
2020-03-03,3510,3660,3470,3620,114698200,1266100,31500,65429100,68471200
2020-03-04,3640,3840,3630,3830,136081000,738000,936700,61681500,85674700
2020-03-05,3820,3880,3760,3830,101235000,1622800,223300,60297800,71574900
2020-03-06,3730,3790,3710,3750,86476000,53800,50000,58786100,64600900
2020-03-09,3560,3620,3500,3500,109347300,605000,2972800,75549100,67121900
2020-03-10,3480,3620,3480,3490,119718000,3965800,170300,66239600,51329700
2020-03-11,3470,3480,3370,3400,115486900,161400,150700,73826200,69640700
2020-03-12,3300,3440,3270,3310,84363800,2387900,200,52193400,48903300
2020-03-13,3310,3310,3310,3310,172248400,156300,1075800,108038500,110131800
2020-03-16,3300,3300,3160,3160,115972300,0,43933400,84836000,41817600
2020-03-17,3160,3160,2940,2940,150122700,0,27616600,95057900,75378200
2020-03-18,3010,3080,2740,2810,150147300,10500,392900,100615200,84490600
2020-03-19,2810,2810,2620,2620,138987300,0,15185000,103688300,75811100
2020-03-20,2660,2990,2450,2880,267694700,726200,15884000,182544400,162274600
2020-03-23,2880,2880,2680,2680,86157200,0,52129200,54934000,45557900
2020-03-24,2700,2880,2570,2620,243778900,1804100,55200,169712000,138997700
2020-03-26,2550,3080,2550,2980,267369500,126800,92700,147708700,166335800
2020-03-27,3050,3270,3050,3090,200952500,5248700,917300,111705700,119205500
2020-03-30,3060,3180,2880,3140,134474300,13100,2544400,62481400,71705800
2020-03-31,3180,3300,3120,3160,151302900,1346600,14100,87662600,89024100
2020-04-01,3180,3200,3040,3100,104550600,3800,78300,65558700,53555900
2020-04-02,3100,3130,3020,3130,92893600,5998200,254800,70014900,49099400
2020-04-03,3150,3220,3120,3200,83469200,4158400,1426400,45757200,50840500
2020-04-06,3280,3330,3180,3330,115495000,18000,1239000,60708000,77851800
2020-04-07,3390,3500,3200,3220,166425600,399900,102600,102520000,69162600
2020-04-08,3220,3220,3050,3110,124553900,6270200,3363100,81191300,71710600
2020-04-09,3110,3180,3030,3120,122622400,52800,1368900,90330600,86549000
2020-04-13,3140,3230,3130,3180,45469500,1407600,833900,22653300,25435300
2020-04-14,3200,3250,3160,3240,79114600,192600,2208600,53207600,53715600
2020-04-15,3250,3300,3090,3110,69832000,575600,14900,45127000,34029200
2020-04-16,3110,3110,3000,3000,109582500,2780100,117700,93596200,71153200
2020-04-17,3050,3250,3050,3230,127860400,167800,411300,63707400,85529800
2020-04-20,3270,3270,3120,3120,77306900,4885600,1690600,51534700,38985900
2020-04-21,3120,3130,3050,3070,43239400,684500,500,30061000,25056400
2020-04-22,3050,3270,3030,3160,126278300,1693800,2000,80010600,81770200
2020-04-23,3200,3240,3070,3070,117391500,8399900,6500,89137000,58601800
2020-04-24,3100,3160,3080,3090,84061400,6290300,1043500,59682000,43361300
2020-04-27,3120,3200,3100,3150,85475400,1377900,9100,56646300,54008000
2020-04-28,3170,3200,3140,3160,80212700,996900,1174900,62483300,50144600
2020-04-29,3200,3390,3100,3350,154902100,133700,2537100,72506900,95430700
2020-04-30,3400,3540,3350,3500,163170100,310000,53400,93519700,130997800
2020-05-04,3400,3400,3260,3320,108988600,1672400,107900,78319700,42516700
2020-05-05,3320,3390,3320,3320,74036700,595500,520100,51824400,30369500
2020-05-06,3300,3340,3220,3240,86395000,753900,1020600,66309500,39482300
2020-05-08,3270,3290,3150,3190,143584400,2730900,1778400,115554900,74154300
2020-05-11,3220,3250,3210,3220,58473100,2477100,1005300,27070600,19429600
2020-05-12,3270,3270,3100,3150,138978700,1031100,1275000,89878800,82412300
2020-05-13,3150,3170,3080,3160,73238700,109400,1993100,30502700,36121500
2020-05-14,3110,3140,3060,3070,101581300,2134900,1079300,51084700,33034000
2020-05-15,3100,3130,3020,3100,114753900,267600,5314900,84040500,59206600
2020-05-18,3100,3220,3100,3220,108828800,207200,300,55840200,72845700
2020-05-19,3250,3330,3250,3270,97387100,274000,682800,30064900,42594100
2020-05-20,3200,3260,3180,3180,76086600,1200000,71200,47955700,38906300
2020-05-26,3150,3280,3130,3250,105792900,505200,192900,67443600,67584400
2020-05-27,3250,3270,3150,3170,128693900,1402800,3317400,93251100,41653600
2020-05-28,3180,3210,3130,3130,177385100,3312100,104900,103541600,82101100
2020-05-29,3100,3150,3080,3150,276092100,4868400,1282000,206843600,165551200
2020-06-02,3160,3270,3120,3250,174790600,1117100,3620800,76863200,98326400
2020-06-03,3280,3320,3230,3290,216200900,1363600,975800,98805200,122070300
2020-06-04,3320,3390,3250,3300,167708600,5011000,939900,66628400,94906400
2020-06-05,3360,3360,3200,3230,188420700,2931100,506700,138467500,64577400
2020-06-08,3250,3290,3220,3230,221641600,4663000,1464900,148873800,71502100
2020-06-09,3250,3270,3140,3140,171214500,21478900,125000,113327800,49689600
2020-06-10,3150,3190,3100,3110,263483700,3124200,129500,188324600,91372000
2020-06-11,3120,3150,3060,3080,175767800,3273800,2538900,118736500,42780800
2020-06-12,3080,3080,2970,3030,260087300,9695500,1835900,182595800,31095800
2020-06-15,3060,3150,3030,3090,241625700,7029200,5298000,96759900,30442500
2020-06-16,3150,3220,3130,3200,194424800,718700,1359000,85593900,28038300
2020-06-17,3210,3230,3140,3210,177784900,26254200,5587500,99504300,76738500
2020-06-18,3210,3350,3180,3280,235586600,24904200,112000,28386800,100993800
2020-06-19,3300,3340,3250,3280,227358800,1702900,829600,136556000,80384200
2020-06-22,3290,3300,3180,3200,159776500,1042700,2407700,73353300,18290000
2020-06-23,3200,3200,3120,3130,167271000,7365600,68300,104471700,23423600
2020-06-24,3150,3230,3140,3180,170895600,111200,3537700,75877400,36610800
2020-06-25,3160,3220,3140,3160,100882600,5183500,520400,38455800,18835200
2020-06-26,3190,3220,3180,3190,100784500,10877200,1375800,54979400,23459000
2020-06-29,3200,3250,3160,3180,156613200,2717800,6561300,69330000,30133900
2020-06-30,3090,3100,3050,3050,258068400,1334400,3109800,117381200,46306200
2020-07-01,3070,3100,3010,3040,148037400,6728900,1521000,86760100,44825200
2020-07-02,3040,3140,3040,3140,178357900,264900,36500,50399000,77581900
2020-07-03,3150,3180,3110,3120,102033100,192400,2612200,24882600,38675300
2020-07-06,3130,3150,3040,3050,248572600,7842200,1072600,174334600,78819800
2020-07-07,3060,3120,3050,3120,169104200,687800,3984600,57712500,105129300
2020-07-08,3130,3160,3110,3150,158166300,2607300,281100,60820500,44501800
2020-07-09,3170,3190,3110,3110,125940800,8579400,90300,47644700,59318900
2020-07-10,3110,3130,3100,3110,95422400,1600,705400,39514000,33603800
2020-07-13,3120,3130,3080,3090,77733900,8261700,402200,42584600,19995200
2020-07-14,3100,3110,3070,3080,111442600,4503400,1134100,90589300,39499200
2020-07-15,3120,3130,3080,3090,102304100,499300,3150500,64816100,50984700
2020-07-16,3090,3110,3080,3100,91951000,6473100,5908800,55409300,64466100
2020-07-17,3100,3110,3060,3060,112416300,17035100,187500,90242100,23141000
2020-07-20,3080,3080,3040,3060,64735500,2066400,1055300,31437300,24542100
2020-07-21,3050,3110,3050,3060,101283800,10950800,52900,54385600,37065200
2020-07-22,3070,3090,3060,3070,69462100,1489300,1719600,23934900,28971000
2020-07-23,3070,3090,3060,3070,70482100,6172700,1373000,31454900,12793400
2020-07-24,3080,3080,3020,3020,137265100,10649500,365400,73423600,7348500
2020-07-27,3020,3050,3020,3040,58708800,715900,2427000,28882500,15172800
2020-07-28,3050,3050,3010,3020,102705300,4792900,980800,70198100,41414400
2020-07-29,3030,3050,3000,3000,114352000,3891000,223100,51187200,41102200
2020-07-30,3040,3050,3000,3050,95785000,151300,1785900,41436000,61228900
2020-08-03,3060,3060,2850,2920,255659800,46900,1462300,117200100,25913700
2020-08-04,2970,2970,2920,2950,96018000,1393000,3348800,47742500,37005900
2020-08-05,2960,3040,2920,3020,120719100,2948900,1576600,33845400,18967600
2020-08-06,3050,3050,3000,3020,71699000,5421400,2083100,37551200,23441600
2020-08-07,3020,3030,2970,2980,78347200,4939400,1714500,34869200,30361400
2020-08-10,3000,3020,2970,2970,65485400,4448500,147300,41432900,8080100
