Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2020-01-01,All Day,,,Indonesia - New Year's Day,,,
2020-01-02,11:00:00,,,Core Inflation (YoY),3.02%,3.11%,3.08%
2020-01-02,11:00:00,,,Inflation (MoM),0.34%,,0.14%
2020-01-02,11:00:00,,,Inflation (YoY),2.72%,,3.00%
2020-01-07,10:00:00,,,Consumer Confidence,126.4,,124.2
2020-01-08,10:00:00,,,FX Reserves (USD),129.20B,,126.60B
2020-01-10,10:00:00,,,Retail Sales (YoY) (Nov),1.30%,,3.60%
2020-01-15,11:00:00,,,Export Growth (YoY) (Dec),1.28%,-3.03%,-5.67%
2020-01-15,11:00:00,,,Import Growth (YoY) (Dec),-5.62%,-6.30%,-9.24%
2020-01-15,11:00:00,,,Trade Balance (Dec),-0.03B,-0.47B,-1.33B
2020-01-16,11:10:00,,,Loans (YoY) (Dec),6.08%,,7.05%
2020-01-23,14:30:00,,,Interest Rate Decision,5.00%,,5.00%
2020-01-23,14:30:00,,,Deposit Facility Rate,4.25%,4.25%,4.25%
2020-01-23,14:30:00,,,Lending Facility Rate,5.75%,5.75%,5.75%
2020-01-23,17:30:00,,,Motorbike Sales (YoY),-6.80%,,-8.30%
2020-01-28,16:30:00,,,Car Sales (YoY),-1.40%,,-9.90%
2020-01-29,11:00:00,,,Foreign Direct Investment (YoY) (Q4),6.40%,,17.80%
2020-01-31,11:00:00,,,M2 Money Supply (YoY) (Dec),6.50%,,7.10%
2020-02-03,11:00:00,,,Core Inflation (YoY),2.88%,3.00%,3.02%
2020-02-03,11:00:00,,,Inflation (MoM),0.39%,0.46%,0.34%
2020-02-03,11:00:00,,,Inflation (YoY),2.68%,2.86%,2.72%
2020-02-05,11:00:00,,,GDP (QoQ) (Q4),-1.74%,-1.67%,3.06%
2020-02-05,11:00:00,,,GDP (YoY) (Q4),4.97%,5.04%,5.02%
2020-02-05,11:00:00,,,GDP Annual,5.02%,5.03%,5.17%
2020-02-06,10:00:00,,,Consumer Confidence,121.7,,126.4
2020-02-07,11:00:00,,,FX Reserves (USD) (Jan),131.70B,,129.20B
2020-02-11,10:00:00,,,Retail Sales (YoY) (Dec),-0.50%,,1.30%
2020-02-17,11:05:00,,,Export Growth (YoY) (Jan),-3.71%,1.19%,1.28%
2020-02-17,11:17:00,,,Import Growth (YoY) (Jan),-4.78%,-5.66%,-5.62%
2020-02-17,11:17:00,,,Trade Balance (Jan),-0.87B,-0.27B,-0.03B
2020-02-17,16:30:00,,,Car Sales (YoY),-2.40%,,-1.40%
2020-02-20,14:24:00,,,Deposit Facility Rate (Feb),4.00%,4.25%,4.25%
2020-02-20,14:24:00,,,Lending Facility Rate (Feb),5.50%,5.75%,5.75%
2020-02-20,14:30:00,,,Interest Rate Decision,4.75%,,5.00%
2020-02-26,21:04:00,,,Loans (YoY) (Jan),6.10%,,6.08%
2020-02-28,10:00:00,,,M2 Money Supply (YoY) (Jan),7.10%,,6.50%
2020-03-02,11:01:00,,,Inflation (MoM) (Feb),0.28%,0.18%,0.39%
2020-03-02,11:02:00,,,Inflation (YoY) (Feb),2.98%,2.86%,2.68%
2020-03-02,11:11:00,,,Core Inflation (YoY) (Feb),2.76%,2.85%,2.88%
2020-03-06,10:02:00,,,FX Reserves (USD) (Feb),130.40B,,131.70B
2020-03-09,10:06:00,,,Consumer Confidence (Feb),117.7,,121.7
2020-03-10,10:07:00,,,Retail Sales (YoY) (Jan),-0.30%,,-0.50%
2020-03-16,11:04:00,,,Export Growth (YoY) (Feb),11.00%,-6.00%,-3.71%
2020-03-16,11:28:00,,,Import Growth (YoY) (Feb),-5.11%,-3.08%,-4.78%
2020-03-16,11:29:00,,,Trade Balance (Feb),2.34B,0.09B,-0.87B
2020-03-17,11:00:00,,,Car Sales (YoY) (Feb),-2.70%,,-2.40%
2020-03-19,14:25:00,,,Deposit Facility Rate (Mar),3.75%,3.75%,4.00%
2020-03-19,14:25:00,,,Lending Facility Rate (Mar),5.25%,5.25%,5.50%
2020-03-19,14:30:00,,,Interest Rate Decision,4.50%,,4.75%
2020-03-25,All Day,,,Indonesia - Hindu Saka New Year,,,
2020-03-27,09:11:00,,,Loans (YoY) (Feb),5.93%,,6.10%
2020-03-31,17:00:00,,,M2 Money Supply (YoY) (Feb),7.90%,,7.10%
2020-04-01,11:09:00,,,Inflation (MoM) (Mar),0.10%,0.14%,0.28%
2020-04-01,11:09:00,,,Inflation (YoY) (Mar),2.96%,2.96%,2.98%
2020-04-01,11:17:00,,,Core Inflation (YoY) (Mar),2.87%,2.79%,2.76%
2020-04-06,10:00:00,,,Consumer Confidence (Mar),113.8,,117.7
2020-04-07,10:01:00,,,FX Reserves (USD) (Mar),121.00B,,130.40B
2020-04-08,10:11:00,,,Retail Sales (YoY) (Feb),-0.80%,,-0.30%
2020-04-10,All Day,,,Indonesia - Good Friday,,,
2020-04-14,15:06:00,,,Deposit Facility Rate (Apr),3.75%,3.75%,3.75%
2020-04-14,15:06:00,,,Lending Facility Rate (Apr),5.25%,5.25%,5.25%
2020-04-14,15:30:00,,,Interest Rate Decision,4.50%,4.50%,4.50%
2020-04-15,11:05:00,,,Export Growth (YoY) (Mar),-0.20%,-6.73%,11.00%
2020-04-15,11:20:00,,,Import Growth (YoY) (Mar),-0.75%,-7.88%,-5.11%
2020-04-15,11:20:00,,,Trade Balance (Mar),0.74B,0.76B,2.34B
2020-04-15,16:20:00,,,Car Sales (YoY) (Mar),-15.00%,,-2.70%
2020-04-15,17:30:00,,,Motorbike Sales (YoY) (Feb),-6.80%,,-18.70%
2020-04-15,17:31:00,,,Motorbike Sales (YoY),2.60%,,-6.80%
2020-04-15,17:35:00,,,Motorbike Sales (YoY),-3.20%,,2.60%
2020-04-20,11:00:00,,,Foreign Direct Investment (YoY) (Q4),-9.20%,,17.80%
2020-04-30,17:00:00,,,M2 Money Supply (YoY) (Mar),12.10%,,7.90%
2020-05-01,All Day,,,Indonesia - Labor Day,,,
2020-05-01,02:31:00,,,Loans (YoY) (Mar),7.95%,,5.93%
2020-05-04,11:04:00,,,Inflation (MoM) (Apr),0.08%,0.17%,0.10%
2020-05-04,11:05:00,,,Inflation (YoY) (Apr),2.67%,2.77%,2.96%
2020-05-04,11:14:00,,,Core Inflation (YoY) (Apr),2.85%,2.90%,2.87%
2020-05-05,11:11:00,,,GDP (QoQ) (Q1),-2.41%,-1.27%,-1.74%
2020-05-05,11:11:00,,,GDP (YoY) (Q1),2.97%,4.04%,4.97%
2020-05-06,18:26:00,,,Consumer Confidence (Apr),84.8,,113.8
2020-05-07,All Day,,,Indonesia - Vesak Day,,,
2020-05-08,10:01:00,,,FX Reserves (USD) (Apr),127.90B,,121.00B
2020-05-12,13:30:00,,,Retail Sales (YoY) (Mar),-4.50%,,-0.80%
2020-05-15,09:07:00,,,Export Growth (YoY) (Apr),-7.02%,-2.70%,-0.20%
2020-05-15,09:22:00,,,Import Growth (YoY) (Apr),-18.58%,-12.73%,-0.75%
2020-05-15,09:22:00,,,Trade Balance (Apr),-0.35B,-0.20B,0.74B
2020-05-15,16:13:00,,,Car Sales (YoY) (Apr),-90.60%,,-15.00%
2020-05-19,14:20:00,,,Deposit Facility Rate (May),3.75%,3.75%,3.75%
2020-05-19,14:20:00,,,Lending Facility Rate (May),5.25%,5.25%,5.25%
