Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
23/01/2020,14:30:00,,,Interest Rate Decision,5.00%,,5.00%
20/02/2020,14:30:00,,,Interest Rate Decision,4.75%,,5.00%
19/03/2020,14:30:00,,,Interest Rate Decision,4.50%,,4.75%
14/04/2020,15:30:00,,,Interest Rate Decision,4.50%,4.50%,4.50%
19/05/2020,14:30:00,,,Interest Rate Decision,4.50%,,4.50%
18/06/2020,14:30:00,,,Interest Rate Decision,4.25%,4.25%,4.50%
16/07/2020,14:30:00,,,Interest Rate Decision,4.00%,4.00%,4.25%
19/08/2020,14:30:00,,,Interest Rate Decision,4.00%,4.00%,4.00%
17/09/2020,14:30:00,,,Interest Rate Decision,4.00%,4.00%,4.00%
13/10/2020,14:30:00,,,Interest Rate Decision,4.00%,,4.00%
19/11/2020,14:30:00,,,Interest Rate Decision,3.75%,4.00%,4.00%
17/12/2020,14:30:00,,,Interest Rate Decision,3.75%,3.75%,3.75%
21/01/2021,14:30:00,,,Interest Rate Decision,3.75%,3.75%,3.75%
18/02/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.75%
18/03/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
20/04/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
17/06/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
22/07/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
19/08/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
21/09/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
19/10/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
18/11/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
16/12/2021,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
20/01/2022,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
10/02/2022,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
17/03/2022,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
19/04/2022,14:30:00,,,Interest Rate Decision,3.50%,3.50%,3.50%
24/05/2022,14:30:00,,,Interest Rate Decision,3.50%,3.50%,3.50%
23/06/2022,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
21/07/2022,14:30:00,,,Interest Rate Decision,3.50%,3.50%,3.50%
23/08/2022,14:30:00,,,Interest Rate Decision,3.75%,3.50%,3.50%
22/09/2022,14:30:00,,,Interest Rate Decision,4.25%,,3.75%
20/10/2022,14:30:00,,,Interest Rate Decision,4.75%,4.75%,4.25%
17/11/2022,14:30:00,,,Interest Rate Decision,5.25%,,4.75%
22/12/2022,14:30:00,,,Interest Rate Decision,5.50%,,5.25%
19/01/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.50%
16/02/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
16/03/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
18/04/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
25/05/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
22/06/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
25/07/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
24/08/2023,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
21/09/2023,14:20:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
19/10/2023,14:30:00,,,Interest Rate Decision,6.00%,5.75%,5.75%
23/11/2023,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
21/12/2023,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
17/01/2024,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
21/02/2024,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
20/03/2024,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
24/04/2024,14:30:00,,,Interest Rate Decision,6.25%,6.00%,6.00%
22/05/2024,14:30:00,,,Interest Rate Decision,6.25%,6.25%,6.25%
20/06/2024,14:30:00,,,Interest Rate Decision,6.25%,6.25%,6.25%
17/07/2024,14:30:00,,,Interest Rate Decision,6.25%,,6.25%
21/08/2024,14:30:00,,,Interest Rate Decision,6.25%,6.25%,6.25%
18/09/2024,14:30:00,,,Interest Rate Decision,6.00%,6.25%,6.25%
16/10/2024,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
20/11/2024,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
18/12/2024,14:30:00,,,Interest Rate Decision,6.00%,6.00%,6.00%
15/01/2025,14:30:00,,,Interest Rate Decision,5.75%,6.00%,6.00%
19/02/2025,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
19/03/2025,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
23/04/2025,14:30:00,,,Interest Rate Decision,5.75%,5.75%,5.75%
21/05/2025,14:30:00,,,Interest Rate Decision,5.50%,5.50%,5.75%
18/06/2025,14:30:00,,,Interest Rate Decision,5.50%,5.50%,5.50%
16/07/2025,14:30:00,,,Interest Rate Decision,5.25%,5.25%,5.50%
20/08/2025,14:30:00,,,Interest Rate Decision,5.00%,5.25%,5.25%
