Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
02/01/2020,11:00:00,,,Core Inflation (YoY),3.02%,3.11%,3.08%
03/02/2020,11:00:00,,,Core Inflation (YoY),2.88%,3.00%,3.02%
02/03/2020,11:11:00,,,Core Inflation (YoY) (Feb),2.76%,2.85%,2.88%
01/04/2020,11:17:00,,,Core Inflation (YoY) (Mar),2.87%,2.79%,2.76%
04/05/2020,11:14:00,,,Core Inflation (YoY) (Apr),2.85%,2.90%,2.87%
02/06/2020,11:17:00,,,Core Inflation (YoY) (May),2.65%,2.70%,2.85%
01/07/2020,11:11:00,,,Core Inflation (YoY) (Jun),2.26%,2.46%,2.65%
03/08/2020,14:59:00,,,Core Inflation (YoY) (Jul),2.07%,2.11%,2.26%
02/09/2020,02:40:00,,,Core Inflation (YoY) (Aug),2.03%,2.00%,2.07%
01/10/2020,13:10:00,,,Core Inflation (YoY) (Sep),1.86%,2.00%,2.03%
02/11/2020,11:09:00,,,Core Inflation (YoY) (Oct),1.74%,1.82%,1.86%
01/12/2020,11:12:00,,,Core Inflation (YoY) (Nov),1.67%,1.70%,1.74%
04/01/2021,11:08:00,,,Core Inflation (YoY) (Dec),1.60%,1.70%,1.67%
01/02/2021,11:11:00,,,Core Inflation (YoY) (Jan),1.56%,1.53%,1.60%
01/03/2021,11:17:00,,,Core Inflation (YoY) (Feb),1.53%,1.52%,1.56%
01/04/2021,11:11:00,,,Core Inflation (YoY) (Mar),1.21%,1.44%,1.53%
03/05/2021,11:09:00,,,Core Inflation (YoY) (Apr),1.18%,1.22%,1.21%
02/06/2021,11:11:00,,,Core Inflation (YoY) (May),1.37%,1.28%,1.18%
01/07/2021,11:00:00,,,Core Inflation (YoY) (Jun),1.49%,1.43%,1.37%
02/08/2021,11:00:00,,,Core Inflation (YoY) (Jul),1.40%,1.38%,1.49%
01/09/2021,11:00:00,,,Core Inflation (YoY) (Aug),1.31%,1.30%,1.40%
01/10/2021,11:00:00,,,Core Inflation (YoY) (Sep),1.30%,1.30%,1.31%
01/11/2021,11:00:00,,,Core Inflation (YoY) (Oct),1.33%,1.36%,1.30%
01/12/2021,11:00:00,,,Core Inflation (YoY) (Nov),1.44%,1.43%,1.33%
03/01/2022,11:00:00,,,Core Inflation (YoY) (Dec),1.56%,1.52%,1.44%
02/02/2022,11:00:00,,,Core Inflation (YoY) (Jan),1.84%,1.71%,1.56%
01/03/2022,11:00:00,,,Core Inflation (YoY) (Feb),2.03%,1.93%,1.84%
01/04/2022,11:00:00,,,Core Inflation (YoY) (Mar),2.37%,2.33%,2.03%
09/05/2022,11:00:00,,,Core Inflation (YoY) (Apr),2.60%,2.61%,2.37%
02/06/2022,14:53:00,,,Core Inflation (YoY) (May),2.58%,2.70%,2.60%
01/07/2022,11:00:00,,,Core Inflation (YoY) (Jun),2.63%,2.72%,2.58%
01/08/2022,11:00:00,,,Core Inflation (YoY) (Jul),2.86%,2.85%,2.63%
01/09/2022,11:00:00,,,Core Inflation (YoY) (Aug),3.04%,3.00%,2.86%
03/10/2022,11:00:00,,,Core Inflation (YoY) (Sep),3.21%,3.60%,3.04%
01/11/2022,11:00:00,,,Core Inflation (YoY) (Oct),3.31%,3.40%,3.21%
01/12/2022,11:00:00,,,Core Inflation (YoY) (Nov),3.30%,3.40%,3.31%
02/01/2023,11:00:00,,,Core Inflation (YoY) (Dec),3.36%,3.39%,3.30%
01/02/2023,11:00:00,,,Core Inflation (YoY) (Jan),3.27%,3.33%,3.36%
01/03/2023,11:00:00,,,Core Inflation (YoY) (Feb),3.09%,3.26%,3.27%
03/04/2023,11:00:00,,,Core Inflation (YoY) (Mar),2.94%,3.05%,3.09%
02/05/2023,11:00:00,,,Core Inflation (YoY) (Apr),2.83%,2.89%,2.94%
05/06/2023,11:00:00,,,Core Inflation (YoY) (May),2.66%,2.80%,2.83%
03/07/2023,11:00:00,,,Core Inflation (YoY) (Jun),2.58%,2.64%,2.66%
01/08/2023,11:00:00,,,Core Inflation (YoY) (Jul),2.43%,2.50%,2.58%
01/09/2023,09:00:00,,,Core Inflation (YoY),2.18%,2.30%,2.43%
02/10/2023,11:00:00,,,Core Inflation (YoY) (Sep),2.00%,2.08%,2.18%
01/11/2023,11:00:00,,,Core Inflation (YoY) (Oct),1.91%,2.00%,2.00%
01/12/2023,09:15:00,,,Core Inflation (YoY),1.87%,1.97%,1.91%
02/01/2024,11:00:00,,,Core Inflation (YoY) (Dec),1.80%,1.85%,1.87%
01/02/2024,11:00:00,,,Core Inflation (YoY) (Jan),1.68%,1.76%,1.80%
01/03/2024,09:00:00,,,Core Inflation (YoY) (Feb),1.68%,1.71%,1.68%
