Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
05/02/2020,11:00:00,,,GDP (QoQ) (Q4),-1.74%,-1.67%,3.06%
05/05/2020,11:11:00,,,GDP (QoQ) (Q1),-2.41%,-1.27%,-1.74%
05/08/2020,11:11:00,,,GDP (QoQ) (Q2),-4.19%,-3.49%,-2.41%
05/11/2020,11:11:00,,,GDP (QoQ) (Q3),5.05%,5.34%,-4.19%
05/02/2021,09:00:00,,,GDP (QoQ) (Q4),-0.42%,0.70%,5.05%
05/05/2021,17:53:00,,,GDP (QoQ) (Q1),-0.96%,-1.04%,-0.42%
05/08/2021,11:00:00,,,GDP (QoQ) (Q2),3.31%,2.94%,-0.96%
05/11/2021,09:00:00,,,GDP (QoQ) (Q3),1.55%,1.80%,3.31%
07/02/2022,11:14:00,,,GDP (QoQ) (Q4),1.06%,0.99%,1.55%
09/05/2022,11:15:00,,,GDP (QoQ) (Q1),-0.96%,-0.89%,1.06%
05/08/2022,09:13:00,,,GDP (QoQ) (Q2),3.72%,3.44%,-0.95%
07/11/2022,11:00:00,,,GDP (QoQ) (Q3),1.81%,1.62%,3.72%
06/02/2023,11:14:00,,,GDP (QoQ) (Q4),0.36%,0.33%,1.81%
05/05/2023,09:00:00,,,GDP (QoQ) (Q1),-0.92%,-1.00%,0.36%
07/08/2023,11:09:00,,,GDP (QoQ) (Q2),3.86%,3.72%,-0.91%
06/11/2023,11:10:00,,,GDP (QoQ) (Q3),1.60%,1.71%,3.86%
05/02/2024,11:07:00,,,GDP (QoQ) (Q4),0.45%,0.41%,1.60%
06/05/2024,11:00:00,,,GDP (QoQ) (Q1),-0.83%,-0.89%,0.45%
05/08/2024,11:00:00,,,GDP (QoQ) (Q2),3.79%,3.71%,-0.83%
05/11/2024,11:00:00,,,GDP (QoQ) (Q3),1.50%,1.60%,3.79%
05/02/2025,11:00:00,,,GDP (QoQ) (Q4),0.53%,0.56%,1.50%
05/05/2025,11:00:00,,,GDP (QoQ) (Q1),-0.98%,-0.89%,0.53%
05/08/2025,11:00:00,,,GDP (QoQ) (Q2),4.04%,3.70%,-0.98%
