Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
02/01/2020,11:00:00,,,Inflation (MoM),0.34%,,0.14%
03/02/2020,11:00:00,,,Inflation (MoM),0.39%,0.46%,0.34%
02/03/2020,11:01:00,,,Inflation (MoM) (Feb),0.28%,0.18%,0.39%
01/04/2020,11:09:00,,,Inflation (MoM) (Mar),0.10%,0.14%,0.28%
04/05/2020,11:04:00,,,Inflation (MoM) (Apr),0.08%,0.17%,0.10%
02/06/2020,11:00:00,,,Inflation (MoM) (May),0.07%,0.04%,0.08%
01/07/2020,11:02:00,,,Inflation (MoM) (Jun),0.18%,0.02%,0.07%
03/08/2020,14:59:00,,,Inflation (MoM) (Jul),-0.10%,0.03%,0.18%
01/09/2020,11:01:00,,,Inflation (MoM) (Aug),-0.05%,0.01%,-0.10%
01/10/2020,13:10:00,,,Inflation (MoM) (Sep),-0.05%,-0.01%,-0.05%
02/11/2020,11:01:00,,,Inflation (MoM) (Oct),0.07%,0.08%,-0.05%
01/12/2020,11:04:00,,,Inflation (MoM) (Nov),0.28%,0.21%,0.07%
04/01/2021,11:02:00,,,Inflation (MoM) (Dec),0.45%,0.37%,0.28%
01/02/2021,11:01:00,,,Inflation (MoM) (Jan),0.26%,0.36%,0.45%
01/03/2021,11:06:00,,,Inflation (MoM) (Feb),0.10%,0.09%,0.26%
01/04/2021,11:05:00,,,Inflation (MoM) (Mar),0.08%,0.14%,0.10%
03/05/2021,11:01:00,,,Inflation (MoM) (Apr),0.13%,0.17%,0.08%
02/06/2021,11:02:00,,,Inflation (MoM) (May),0.32%,0.32%,0.13%
01/07/2021,11:00:00,,,Inflation (MoM) (Jun),-0.16%,-0.09%,0.32%
02/08/2021,11:00:00,,,Inflation (MoM) (Jul),0.08%,0.01%,-0.16%
01/09/2021,11:00:00,,,Inflation (MoM) (Aug),0.03%,0.03%,0.08%
01/10/2021,11:00:00,,,Inflation (MoM) (Sep),-0.04%,0.01%,0.03%
01/11/2021,11:00:00,,,Inflation (MoM) (Oct),0.12%,0.11%,-0.04%
01/12/2021,11:00:00,,,Inflation (MoM) (Nov),0.37%,0.31%,0.12%
03/01/2022,11:00:00,,,Inflation (MoM) (Dec),0.57%,0.52%,0.37%
02/02/2022,11:00:00,,,Inflation (MoM) (Jan),0.56%,0.55%,0.57%
01/03/2022,11:00:00,,,Inflation (MoM) (Feb),-0.02%,-0.02%,0.56%
01/04/2022,11:00:00,,,Inflation (MoM) (Mar),0.66%,0.61%,-0.02%
09/05/2022,11:00:00,,,Inflation (MoM) (Apr),0.95%,0.83%,0.66%
02/06/2022,14:53:00,,,Inflation (MoM) (May),0.40%,0.41%,0.95%
01/07/2022,11:00:00,,,Inflation (MoM) (Jun),0.61%,0.44%,0.40%
01/08/2022,11:00:00,,,Inflation (MoM) (Jul),0.64%,0.53%,0.61%
01/09/2022,11:00:00,,,Inflation (MoM) (Aug),-0.21%,-0.05%,0.64%
03/10/2022,11:00:00,,,Inflation (MoM) (Sep),1.17%,1.26%,-0.21%
01/11/2022,11:00:00,,,Inflation (MoM) (Oct),-0.11%,0.16%,1.17%
01/12/2022,11:00:00,,,Inflation (MoM) (Nov),0.09%,0.16%,-0.11%
02/01/2023,11:00:00,,,Inflation (MoM) (Dec),0.66%,0.52%,0.09%
01/02/2023,11:00:00,,,Inflation (MoM) (Jan),0.34%,0.47%,0.66%
01/03/2023,11:00:00,,,Inflation (MoM) (Feb),0.16%,0.11%,0.34%
03/04/2023,11:00:00,,,Inflation (MoM) (Mar),0.18%,0.29%,0.16%
02/05/2023,11:00:00,,,Inflation (MoM) (Apr),0.33%,0.37%,0.18%
05/06/2023,11:00:00,,,Inflation (MoM) (May),0.09%,0.30%,0.33%
03/07/2023,11:00:00,,,Inflation (MoM),0.14%,0.24%,0.09%
01/08/2023,11:00:00,,,Inflation (MoM),0.21%,0.22%,0.14%
01/09/2023,09:00:00,,,Inflation (MoM),-0.02%,0.10%,0.21%
02/10/2023,11:00:00,,,Inflation (MoM),0.19%,0.14%,-0.02%
01/11/2023,11:00:00,,,Inflation (MoM),0.17%,0.24%,0.19%
01/12/2023,09:15:00,,,Inflation (MoM),0.38%,0.22%,0.17%
02/01/2024,11:00:00,,,Inflation (MoM) (Dec),0.41%,0.50%,0.38%
01/02/2024,11:00:00,,,Inflation (MoM) (Jan),0.04%,0.29%,0.41%
01/03/2024,09:00:00,,,Inflation (MoM) (Feb),0.37%,0.23%,0.04%
01/04/2024,11:00:00,,,Inflation (MoM) (Mar),0.52%,0.39%,0.37%
02/05/2024,11:00:00,,,Inflation (MoM) (Apr),0.25%,0.21%,0.52%
03/06/2024,11:00:00,,,Inflation (MoM) (May),-0.03%,0.05%,0.25%
01/07/2024,11:00:00,,,Inflation (MoM) (Jun),-0.08%,0.06%,-0.03%
01/08/2024,11:00:00,,,Inflation (MoM) (Jul),-0.18%,0.10%,-0.08%
02/09/2024,11:00:00,,,Inflation (MoM) (Aug),-0.03%,0.00%,-0.18%
01/10/2024,11:00:00,,,Inflation (MoM) (Sep),-0.12%,,-0.03%
01/11/2024,09:00:00,,,Inflation (MoM) (Oct),0.08%,0.00%,-0.12%
02/12/2024,11:00:00,,,Inflation (MoM) (Nov),0.30%,0.26%,0.08%
02/01/2025,11:00:00,,,Inflation (MoM) (Dec),0.44%,0.44%,0.30%
03/02/2025,11:00:00,,,Inflation (MoM) (Jan),-0.76%,0.32%,0.44%
03/03/2025,11:00:00,,,Inflation (MoM) (Feb),-0.48%,0.02%,-0.76%
08/04/2025,11:00:00,,,Inflation (MoM) (Mar),1.65%,1.79%,-0.48%
02/05/2025,11:00:00,,,Inflation (MoM) (Apr),1.17%,,1.65%
02/06/2025,11:00:00,,,Inflation (MoM) (May),-0.37%,-0.01%,1.17%
01/07/2025,11:00:00,,,Inflation (MoM) (Jun),0.19%,0.15%,-0.37%
01/08/2025,09:00:00,,,Inflation (MoM) (Jul),0.30%,0.21%,0.19%
