Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
10/01/2020,10:00:00,,,Retail Sales (YoY) (Nov),1.30%,,3.60%
11/02/2020,10:00:00,,,Retail Sales (YoY) (Dec),-0.50%,,1.30%
10/03/2020,10:07:00,,,Retail Sales (YoY) (Jan),-0.30%,,-0.50%
08/04/2020,10:11:00,,,Retail Sales (YoY) (Feb),-0.80%,,-0.30%
12/05/2020,13:30:00,,,Retail Sales (YoY) (Mar),-4.50%,,-0.80%
16/06/2020,10:06:00,,,Retail Sales (YoY) (Apr),-16.90%,,-4.50%
08/07/2020,10:01:00,,,Retail Sales (YoY) (May),-20.60%,,-16.90%
11/08/2020,10:03:00,,,Retail Sales (YoY) (Jun),-17.10%,,-20.60%
09/09/2020,10:27:00,,,Retail Sales (YoY) (Jul),-12.30%,,-17.10%
08/10/2020,10:03:00,,,Retail Sales (YoY) (Aug),-9.20%,,-12.30%
11/11/2020,10:47:00,,,Retail Sales (YoY) (Sep),-8.70%,,-9.20%
10/12/2020,10:05:00,,,Retail Sales (YoY) (Oct),-14.90%,,-8.70%
12/01/2021,10:05:00,,,Retail Sales (YoY) (Nov),-16.30%,,-14.90%
09/02/2021,13:43:00,,,Retail Sales (YoY) (Dec),-19.20%,,-16.30%
09/03/2021,10:03:00,,,Retail Sales (YoY) (Jan),-16.40%,,-19.20%
12/04/2021,10:11:00,,,Retail Sales (YoY) (Feb),-18.10%,,-16.40%
11/05/2021,10:05:00,,,Retail Sales (YoY) (Mar),-14.60%,,-18.10%
10/06/2021,10:01:00,,,Retail Sales (YoY) (Apr),15.60%,,-14.60%
09/07/2021,11:00:00,,,Retail Sales (YoY) (May),14.70%,,15.60%
10/08/2021,11:00:00,,,Retail Sales (YoY) (Jun),2.50%,,14.70%
10/08/2021,15:30:00,,,Retail Sales (YoY) (Jun),2.50%,,14.70%
09/09/2021,11:00:00,,,Retail Sales (YoY) (Jul),-2.90%,,2.50%
11/10/2021,11:00:00,,,Retail Sales (YoY) (Aug),-2.10%,,-2.90%
09/11/2021,11:00:00,,,Retail Sales (YoY) (Sep),-2.20%,,-2.10%
10/12/2021,11:00:00,,,Retail Sales (YoY) (Oct),6.50%,,-2.20%
11/01/2022,11:00:00,,,Retail Sales (YoY) (Nov),10.80%,,6.50%
14/02/2022,11:00:00,,,Retail Sales (YoY) (Dec),13.80%,,10.80%
10/03/2022,11:00:00,,,Retail Sales (YoY) (Jan),15.20%,,13.80%
11/04/2022,11:00:00,,,Retail Sales (YoY) (Feb),12.90%,,15.20%
12/05/2022,10:02:00,,,Retail Sales (YoY) (Mar),9.30%,,12.90%
10/06/2022,11:00:00,,,Retail Sales (YoY) (Apr),8.50%,,9.30%
11/07/2022,11:00:00,,,Retail Sales (YoY) (May),2.90%,,8.50%
09/08/2022,11:00:00,,,Retail Sales (YoY) (Jun),4.10%,,2.90%
09/09/2022,11:00:00,,,Retail Sales (YoY) (Jul),6.20%,,4.10%
11/10/2022,11:00:00,,,Retail Sales (YoY) (Jul),4.90%,,6.20%
09/11/2022,17:00:00,,,Retail Sales (YoY) (Sep),4.60%,,4.90%
09/12/2022,10:00:00,,,Retail Sales (YoY) (Oct),3.70%,,4.60%
10/01/2023,11:00:00,,,Retail Sales (YoY) (Nov),1.30%,,3.70%
09/02/2023,11:00:00,,,Retail Sales (YoY) (Dec),0.70%,,1.30%
09/03/2023,11:00:00,,,Retail Sales (YoY) (Jan),-0.60%,,0.70%
12/04/2023,10:00:00,,,Retail Sales (YoY),0.60%,-0.80%,-0.60%
10/05/2023,10:00:00,,,Retail Sales (YoY) (Mar),4.90%,,0.60%
13/06/2023,10:00:00,,,Retail Sales (YoY) (Apr),1.50%,,4.90%
12/07/2023,10:30:00,,,Retail Sales (YoY) (May),-4.50%,,1.50%
09/08/2023,10:00:00,,,Retail Sales (YoY) (Jun),7.90%,,-4.50%
11/09/2023,10:00:00,,,Retail Sales (YoY) (Jul),1.60%,,7.90%
10/10/2023,12:30:00,,,Retail Sales (YoY),1.10%,,1.60%
09/11/2023,10:00:00,,,Retail Sales (YoY) (Sep),1.50%,,1.10%
11/12/2023,10:40:00,,,Retail Sales (YoY),2.40%,,1.50%
10/01/2024,08:00:00,,,Retail Sales (YoY) (Nov),2.10%,,2.40%
16/02/2024,10:00:00,,,Retail Sales (YoY) (Dec),0.20%,,2.10%
14/03/2024,10:15:00,,,Retail Sales (YoY) (Jan),1.10%,,0.20%
17/04/2024,10:00:00,,,Retail Sales (YoY) (Feb),6.40%,,1.10%
14/05/2024,10:00:00,,,Retail Sales (YoY) (Mar),9.30%,,6.40%
11/06/2024,10:20:00,,,Retail Sales (YoY) (Apr),-2.70%,,9.30%
09/07/2024,11:00:00,,,Retail Sales (YoY) (May),2.10%,,-2.70%
09/08/2024,11:00:00,,,Retail Sales (YoY) (Jun),2.70%,,2.10%
10/09/2024,10:00:00,,,Retail Sales (YoY) (Jul),4.50%,,2.70%
09/10/2024,10:45:00,,,Retail Sales (YoY) (Aug),5.80%,,4.50%
12/11/2024,11:00:00,,,Retail Sales (YoY) (Sep),4.80%,,5.80%
10/12/2024,10:00:00,,,Retail Sales (YoY) (Oct),1.50%,,4.80%
10/01/2025,10:00:00,,,Retail Sales (YoY) (Nov),0.90%,,1.50%
12/02/2025,10:00:00,,,Retail Sales (YoY) (Dec),1.80%,,0.90%
12/03/2025,14:00:00,,,Retail Sales (YoY) (Jan),0.50%,,1.80%
16/04/2025,10:00:00,,,Retail Sales (YoY) (Feb),2.00%,,0.50%
14/05/2025,10:00:00,,,Retail Sales (YoY) (Mar),5.50%,,2.00%
13/06/2025,10:00:00,,,Retail Sales (YoY) (Apr),-0.30%,,5.50%
09/07/2025,10:00:00,,,Retail Sales (YoY) (May),1.90%,,-0.30%
11/08/2025,10:00:00,,,Retail Sales (YoY) (Jun),1.30%,,1.90%
