Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
1/14/2020,20:30:00,,,Core CPI (MoM) (Dec),0.10%,0.20%,0.20%
2/13/2020,20:30:00,,,Core CPI (MoM) (Jan),0.20%,0.20%,0.10%
3/11/2020,19:30:00,,,Core CPI (MoM) (Feb),0.20%,0.20%,0.20%
4/10/2020,19:30:00,,,Core CPI (MoM) (Mar),-0.10%,0.10%,0.20%
5/12/2020,19:30:00,,,Core CPI (MoM) (Apr),-0.40%,-0.20%,-0.10%
6/10/2020,19:30:00,,,Core CPI (MoM) (May),-0.10%,-0.10%,-0.40%
7/14/2020,19:30:00,,,Core CPI (MoM) (Jun),0.20%,0.10%,-0.10%
8/12/2020,19:30:00,,,Core CPI (MoM) (Jul),0.60%,0.20%,0.20%
9/11/2020,19:30:00,,,Core CPI (MoM) (Aug),0.40%,0.20%,0.60%
10/13/2020,19:30:00,,,Core CPI (MoM) (Sep),0.20%,0.20%,0.40%
11/12/2020,20:30:00,,,Core CPI (MoM) (Oct),0.00%,0.20%,0.20%
12/10/2020,20:30:00,,,Core CPI (MoM) (Nov),0.20%,0.10%,0.20%
1/13/2021,20:30:00,,,Core CPI (MoM) (Dec),0.10%,0.10%,0.20%
2/10/2021,20:30:00,,,Core CPI (MoM) (Jan),0.00%,0.20%,0.10%
3/10/2021,20:30:00,,,Core CPI (MoM) (Feb),0.10%,0.20%,0.10%
4/13/2021,19:30:00,,,Core CPI (MoM) (Mar),0.30%,0.20%,0.10%
5/12/2021,19:30:00,,,Core CPI (MoM) (Apr),0.90%,0.30%,0.30%
6/10/2021,19:30:00,,,Core CPI (MoM) (May),0.70%,0.40%,0.90%
7/13/2021,19:30:00,,,Core CPI (MoM) (Jun),0.90%,0.40%,0.70%
8/11/2021,19:30:00,,,Core CPI (MoM) (Jul),0.30%,0.40%,0.90%
9/14/2021,19:30:00,,,Core CPI (MoM) (Aug),0.10%,0.30%,0.30%
10/13/2021,19:30:00,,,Core CPI (MoM) (Sep),0.20%,0.20%,0.10%
11/10/2021,20:30:00,,,Core CPI (MoM) (Oct),0.60%,0.40%,0.20%
12/10/2021,20:30:00,,,Core CPI (MoM) (Nov),0.50%,0.50%,0.60%
1/12/2022,20:30:00,,,Core CPI (MoM) (Dec),0.60%,0.50%,0.50%
