Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
1/30/2020,20:30:00,,,GDP (QoQ) (Q4),2.10%,2.10%,2.10%
2/27/2020,20:30:00,,,GDP (QoQ) (Q4),2.10%,2.10%,2.10%
3/26/2020,19:30:00,,,GDP (QoQ) (Q4),2.10%,2.10%,2.10%
4/29/2020,19:30:00,,,GDP (QoQ) (Q1),-4.80%,-4.00%,2.10%
5/28/2020,19:30:00,,,GDP (QoQ) (Q1),-5.00%,-4.80%,-4.80%
6/25/2020,19:30:00,,,GDP (QoQ) (Q1),-5.00%,-5.00%,-5.00%
7/30/2020,19:30:00,,,GDP (QoQ) (Q2),-32.90%,-34.10%,-5.00%
8/27/2020,19:30:00,,,GDP (QoQ) (Q2),-31.70%,-32.50%,-32.90%
9/30/2020,19:30:00,,,GDP (QoQ) (Q2),-31.40%,-31.70%,-31.70%
10/29/2020,19:30:00,,,GDP (QoQ) (Q3),33.10%,31.00%,-31.40%
11/25/2020,20:30:00,,,GDP (QoQ) (Q3),33.10%,33.20%,33.10%
12/22/2020,20:30:00,,,GDP (QoQ) (Q3),33.40%,33.10%,33.10%
1/28/2021,20:30:00,,,GDP (QoQ) (Q4),4.00%,4.00%,33.40%
2/25/2021,20:30:00,,,GDP (QoQ) (Q4),4.10%,4.20%,4.00%
3/25/2021,19:30:00,,,GDP (QoQ) (Q4),4.30%,4.10%,4.10%
4/29/2021,19:30:00,,,GDP (QoQ) (Q1),6.40%,6.10%,4.30%
5/27/2021,19:30:00,,,GDP (QoQ) (Q1),6.40%,6.50%,6.40%
6/24/2021,19:30:00,,,GDP (QoQ) (Q1),6.40%,6.40%,6.40%
7/29/2021,19:30:00,,,GDP (QoQ) (Q2),6.50%,8.50%,6.40%
8/26/2021,19:30:00,,,GDP (QoQ) (Q2),6.60%,6.70%,6.50%
9/30/2021,19:30:00,,,GDP (QoQ) (Q2),6.70%,6.60%,6.60%
10/28/2021,19:30:00,,,GDP (QoQ) (Q3),2.00%,2.70%,6.70%
11/24/2021,20:30:00,,,GDP (QoQ) (Q3),2.10%,2.20%,2.00%
12/22/2021,20:30:00,,,GDP (QoQ) (Q3),2.30%,2.10%,2.10%
1/27/2022,20:30:00,,,GDP (QoQ) (Q4),6.90%,5.50%,2.30%
2/24/2022,20:30:00,,,GDP (QoQ) (Q4),7.00%,7.00%,6.90%
3/30/2022,19:30:00,,,GDP (QoQ) (Q4),6.90%,7.10%,7.00%
4/28/2022,19:30:00,,,GDP (QoQ) (Q1),-1.40%,1.10%,6.90%
5/26/2022,19:30:00,,,GDP (QoQ) (Q1),-1.50%,-1.30%,-1.40%
