Trading Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01 00:00:00+07:00,765,765,765,765,618,0
2019-01-02 00:00:00+07:00,770,775,735,740,598,53128900
2019-01-03 00:00:00+07:00,750,755,740,750,606,34641100
2019-01-04 00:00:00+07:00,750,765,745,760,614,59878500
2019-01-07 00:00:00+07:00,775,785,765,770,622,65853100
2019-01-08 00:00:00+07:00,775,780,755,760,614,82485900
2019-01-09 00:00:00+07:00,770,790,765,780,630,105654500
2019-01-10 00:00:00+07:00,780,805,775,790,638,150289500
2019-01-11 00:00:00+07:00,795,800,780,790,638,56407400
2019-01-14 00:00:00+07:00,795,795,775,780,630,41648200
2019-01-15 00:00:00+07:00,780,830,780,820,663,165281200
2019-01-16 00:00:00+07:00,830,885,825,870,703,245187100
2019-01-17 00:00:00+07:00,870,885,840,845,683,92137700
2019-01-18 00:00:00+07:00,850,870,840,850,687,73986800
2019-01-21 00:00:00+07:00,855,870,850,855,691,72190100
2019-01-22 00:00:00+07:00,855,860,820,830,671,77107300
2019-01-23 00:00:00+07:00,830,885,825,860,695,141396200
2019-01-24 00:00:00+07:00,865,905,855,895,723,196537400
2019-01-25 00:00:00+07:00,895,945,895,930,751,261090200
2019-01-28 00:00:00+07:00,945,950,910,910,735,132450700
2019-01-29 00:00:00+07:00,910,930,900,920,743,96595800
2019-01-30 00:00:00+07:00,935,960,935,950,768,180203800
2019-01-31 00:00:00+07:00,965,980,955,965,780,133938100
2019-02-01 00:00:00+07:00,975,975,955,960,776,59971800
2019-02-04 00:00:00+07:00,970,1040,970,1010,816,303518900
2019-02-05 00:00:00+07:00,1010,1010,1010,1010,816,0
2019-02-06 00:00:00+07:00,1025,1100,1005,1095,885,285524200
2019-02-07 00:00:00+07:00,1080,1150,1050,1060,856,369835900
2019-02-08 00:00:00+07:00,1050,1080,1025,1025,828,179593300
2019-02-11 00:00:00+07:00,1025,1025,975,980,792,222915600
2019-02-12 00:00:00+07:00,980,995,935,960,776,182840300
2019-02-13 00:00:00+07:00,975,1040,950,1010,816,277124100
2019-02-14 00:00:00+07:00,1020,1030,985,1000,808,139034400
2019-02-15 00:00:00+07:00,990,995,950,950,768,142476600
2019-02-18 00:00:00+07:00,975,1020,970,995,804,173591600
2019-02-19 00:00:00+07:00,1000,1055,995,1025,828,255674400
2019-02-20 00:00:00+07:00,1040,1090,1040,1060,856,261788400
2019-02-21 00:00:00+07:00,1080,1085,1030,1035,836,158909700
2019-02-22 00:00:00+07:00,1035,1060,1010,1055,852,129281800
2019-02-25 00:00:00+07:00,1065,1090,1060,1085,877,177237000
2019-02-26 00:00:00+07:00,1075,1075,1035,1045,844,148389300
2019-02-27 00:00:00+07:00,1055,1060,1030,1030,832,61838900
2019-02-28 00:00:00+07:00,1040,1045,980,1015,820,192898000
2019-03-01 00:00:00+07:00,1000,1055,1000,1055,852,117661600
2019-03-04 00:00:00+07:00,1060,1075,1045,1050,848,100864600
2019-03-05 00:00:00+07:00,1040,1065,1015,1035,836,126418900
2019-03-06 00:00:00+07:00,1050,1065,1040,1045,844,87855200
2019-03-07 00:00:00+07:00,1045,1045,1045,1045,844,0
2019-03-08 00:00:00+07:00,1010,1015,990,990,800,137044900
2019-03-11 00:00:00+07:00,1010,1025,990,995,804,133205500
2019-03-12 00:00:00+07:00,1010,1015,955,970,784,144227600
2019-03-13 00:00:00+07:00,975,990,960,965,780,98820400
2019-03-14 00:00:00+07:00,975,975,960,965,780,65563000
2019-03-15 00:00:00+07:00,965,990,950,975,788,72567000
2019-03-18 00:00:00+07:00,980,985,945,955,772,95086600
2019-03-19 00:00:00+07:00,960,975,955,960,776,69781500
2019-03-20 00:00:00+07:00,960,980,960,960,776,55325000
2019-03-21 00:00:00+07:00,970,980,960,965,780,42876300
2019-03-22 00:00:00+07:00,960,965,950,960,776,38781500
2019-03-25 00:00:00+07:00,940,945,910,920,743,105587900
