Trading Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01 00:00:00+07:00,8225,8225,8225,8225,5386,0
2019-01-02 00:00:00+07:00,8200,8275,8125,8200,5370,14014100
2019-01-03 00:00:00+07:00,8100,8400,8100,8375,5484,25148400
2019-01-04 00:00:00+07:00,8400,8450,8200,8350,5468,32475900
2019-01-07 00:00:00+07:00,8450,8475,8150,8150,5337,32649700
2019-01-08 00:00:00+07:00,8150,8225,8125,8175,5353,29130800
2019-01-09 00:00:00+07:00,8225,8275,8150,8200,5370,42977800
2019-01-10 00:00:00+07:00,8175,8200,7950,8200,5370,76803900
2019-01-11 00:00:00+07:00,8300,8300,8225,8300,5435,32212200
2019-01-14 00:00:00+07:00,8225,8225,8050,8150,5337,40449800
2019-01-15 00:00:00+07:00,8150,8150,8050,8150,5337,56524700
2019-01-16 00:00:00+07:00,8175,8250,8125,8250,5403,33593600
2019-01-17 00:00:00+07:00,8250,8325,8200,8275,5419,38888100
2019-01-18 00:00:00+07:00,8300,8475,8275,8475,5550,45180500
2019-01-21 00:00:00+07:00,8475,8550,8300,8325,5452,39949600
2019-01-22 00:00:00+07:00,8375,8375,8150,8200,5370,33129500
2019-01-23 00:00:00+07:00,8200,8275,8175,8175,5353,26554900
2019-01-24 00:00:00+07:00,8225,8450,8225,8425,5517,56764700
2019-01-25 00:00:00+07:00,8475,8475,8275,8425,5517,27967500
2019-01-28 00:00:00+07:00,8450,8450,8275,8375,5484,25672700
2019-01-29 00:00:00+07:00,8375,8400,8275,8375,5484,34675500
2019-01-30 00:00:00+07:00,8275,8375,8225,8350,5468,40835000
2019-01-31 00:00:00+07:00,8375,8450,8325,8450,5534,49304900
2019-02-01 00:00:00+07:00,8475,8500,8350,8450,5534,23915300
2019-02-04 00:00:00+07:00,8450,8475,8175,8200,5370,27634200
2019-02-05 00:00:00+07:00,8200,8200,8200,8200,5370,0
2019-02-06 00:00:00+07:00,8275,8350,8225,8225,5386,28617900
2019-02-07 00:00:00+07:00,8225,8275,8150,8200,5370,27500100
2019-02-08 00:00:00+07:00,8150,8225,8100,8150,5337,36834100
2019-02-11 00:00:00+07:00,8125,8150,8000,8000,5239,34439900
2019-02-12 00:00:00+07:00,8000,8000,7650,7650,5010,84655500
2019-02-13 00:00:00+07:00,7700,7775,7550,7675,5026,60065900
2019-02-14 00:00:00+07:00,7775,7775,7550,7600,4977,37462300
2019-02-15 00:00:00+07:00,7650,7650,7525,7600,4977,51353000
2019-02-18 00:00:00+07:00,7725,7925,7700,7875,5157,39041200
2019-02-19 00:00:00+07:00,7800,7875,7725,7775,5092,24292900
2019-02-20 00:00:00+07:00,7850,7875,7625,7775,5092,46538800
2019-02-21 00:00:00+07:00,7700,7725,7650,7700,5042,41248700
2019-02-22 00:00:00+07:00,7650,7700,7575,7625,4993,32076500
2019-02-25 00:00:00+07:00,7625,7800,7575,7650,5010,34983600
2019-02-26 00:00:00+07:00,7625,7675,7600,7600,4977,29923400
2019-02-27 00:00:00+07:00,7650,7650,7525,7600,4977,38903200
2019-02-28 00:00:00+07:00,7550,7550,7150,7150,4682,119005400
2019-03-01 00:00:00+07:00,7250,7400,7225,7225,4731,56265500
2019-03-04 00:00:00+07:00,7200,7275,7150,7150,4682,31484700
2019-03-05 00:00:00+07:00,7125,7375,7025,7300,4780,60708500
2019-03-06 00:00:00+07:00,7400,7400,7275,7325,4797,35643300
2019-03-07 00:00:00+07:00,7325,7325,7325,7325,4797,0
2019-03-08 00:00:00+07:00,7200,7225,7150,7150,4682,86989800
2019-03-11 00:00:00+07:00,7300,7300,7175,7225,4731,33829300
2019-03-12 00:00:00+07:00,7250,7350,7175,7175,4699,36724200
2019-03-13 00:00:00+07:00,7100,7150,7100,7125,4666,35882400
2019-03-14 00:00:00+07:00,7125,7250,7125,7200,4715,29057900
2019-03-15 00:00:00+07:00,7200,7375,7200,7325,4797,39356200
2019-03-18 00:00:00+07:00,7300,7375,7275,7325,4797,32558100
2019-03-19 00:00:00+07:00,7300,7325,7225,7275,4764,40585700
2019-03-20 00:00:00+07:00,7300,7350,7225,7275,4764,30377700
2019-03-21 00:00:00+07:00,7300,7325,7225,7250,4748,31066900
2019-03-22 00:00:00+07:00,7275,7300,7225,7225,4731,13387300
2019-03-25 00:00:00+07:00,7175,7175,7000,7050,4617,51758500
2019-03-26 00:00:00+07:00,7100,7175,7075,7100,4650,23711700
2019-03-27 00:00:00+07:00,7175,7200,7100,7175,4699,12546100
2019-03-28 00:00:00+07:00,7150,7150,7050,7100,4650,17584700
2019-03-29 00:00:00+07:00,7100,7300,7100,7300,4780,30122900
2019-04-01 00:00:00+07:00,7375,7400,7275,7350,4813,13152600
2019-04-02 00:00:00+07:00,7325,7450,7300,7425,4862,28647700
2019-04-03 00:00:00+07:00,7425,7425,7425,7425,4862,0
2019-04-04 00:00:00+07:00,7500,7625,7500,7550,4944,38598100
2019-04-05 00:00:00+07:00,7575,7650,7500,7650,5010,21303800
2019-04-08 00:00:00+07:00,7600,7625,7375,7525,4928,23973800
2019-04-09 00:00:00+07:00,7475,7700,7475,7675,5026,31230600
2019-04-10 00:00:00+07:00,7725,7725,7625,7650,5010,18506200
2019-04-11 00:00:00+07:00,7675,7675,7475,7525,4928,17082800
