Trading Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01 00:00:00+07:00,5200,5200,5200,5200,4469,0
2019-01-02 00:00:00+07:00,5200,5245,5200,5240,4504,35956000
2019-01-03 00:00:00+07:00,5200,5220,5115,5180,4452,72358000
2019-01-04 00:00:00+07:00,5175,5205,5125,5205,4474,51465000
2019-01-07 00:00:00+07:00,5265,5325,5245,5245,4508,73438000
2019-01-08 00:00:00+07:00,5230,5320,5205,5240,4504,66247500
2019-01-09 00:00:00+07:00,5300,5320,5225,5255,4517,84871000
2019-01-10 00:00:00+07:00,5300,5300,5190,5255,4517,114314500
2019-01-11 00:00:00+07:00,5280,5300,5235,5250,4512,84826500
2019-01-14 00:00:00+07:00,5220,5235,5150,5200,4469,87547500
2019-01-15 00:00:00+07:00,5230,5260,5190,5260,4521,87763000
2019-01-16 00:00:00+07:00,5260,5285,5245,5285,4542,94972500
2019-01-17 00:00:00+07:00,5290,5330,5285,5330,4581,91654000
2019-01-18 00:00:00+07:00,5340,5425,5315,5425,4663,100873500
2019-01-21 00:00:00+07:00,5425,5600,5390,5545,4766,87118000
2019-01-22 00:00:00+07:00,5600,5620,5450,5600,4813,91907000
2019-01-23 00:00:00+07:00,5600,5600,5475,5500,4727,98512500
2019-01-24 00:00:00+07:00,5430,5485,5355,5460,4693,106781000
2019-01-25 00:00:00+07:00,5400,5520,5400,5500,4727,68944000
2019-01-28 00:00:00+07:00,5515,5515,5475,5495,4723,69704000
2019-01-29 00:00:00+07:00,5445,5550,5440,5540,4762,77679000
2019-01-30 00:00:00+07:00,5560,5560,5495,5520,4744,76285000
2019-01-31 00:00:00+07:00,5520,5640,5520,5635,4843,135904500
2019-02-01 00:00:00+07:00,5680,5750,5560,5635,4843,57719500
2019-02-04 00:00:00+07:00,5635,5635,5500,5500,4727,113846500
2019-02-05 00:00:00+07:00,5500,5500,5500,5500,4727,0
2019-02-06 00:00:00+07:00,5500,5540,5495,5535,4757,121996500
2019-02-07 00:00:00+07:00,5535,5535,5505,5530,4753,63697500
2019-02-08 00:00:00+07:00,5530,5535,5500,5520,4744,65268500
2019-02-11 00:00:00+07:00,5520,5530,5460,5495,4723,37639000
2019-02-12 00:00:00+07:00,5530,5530,5450,5460,4693,95883500
