Trading Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01 00:00:00+07:00,10450,10450,10450,10450,9023,0
2019-01-02 00:00:00+07:00,10500,10550,10200,10400,8980,1844700
2019-01-03 00:00:00+07:00,10525,10675,10450,10575,9131,3283000
2019-01-04 00:00:00+07:00,10575,10600,10500,10600,9153,3964600
2019-01-07 00:00:00+07:00,10700,10775,10225,10350,8937,5581500
2019-01-08 00:00:00+07:00,10350,10350,10050,10175,8786,10049900
2019-01-09 00:00:00+07:00,10300,10300,10200,10250,8850,2295000
2019-01-10 00:00:00+07:00,10250,10300,10075,10150,8764,6857000
2019-01-11 00:00:00+07:00,10275,10300,10050,10150,8764,5601300
2019-01-14 00:00:00+07:00,10100,10175,9925,10000,8634,6259600
2019-01-15 00:00:00+07:00,10000,10100,9925,10100,8721,5476000
2019-01-16 00:00:00+07:00,10150,10250,9975,10025,8656,7694600
2019-01-17 00:00:00+07:00,10025,10175,9975,10000,8634,4156500
2019-01-18 00:00:00+07:00,10125,10150,10075,10150,8764,13240200
2019-01-21 00:00:00+07:00,10200,10300,10200,10200,8807,6783200
2019-01-22 00:00:00+07:00,10250,10475,10225,10450,9023,7422200
2019-01-23 00:00:00+07:00,10550,10550,10450,10475,9045,6877100
2019-01-24 00:00:00+07:00,10525,10875,10525,10850,9368,14756500
2019-01-25 00:00:00+07:00,10950,10950,10625,10750,9282,5926300
2019-01-28 00:00:00+07:00,10800,10800,10550,10750,9282,9435600
2019-01-29 00:00:00+07:00,10800,10800,10675,10725,9260,3958700
2019-01-30 00:00:00+07:00,10725,10800,10725,10775,9304,4598500
2019-01-31 00:00:00+07:00,10825,10825,10700,10775,9304,11009300
2019-02-01 00:00:00+07:00,10900,10900,10550,10750,9282,2471600
2019-02-04 00:00:00+07:00,10650,10800,10575,10650,9196,4469100
2019-02-05 00:00:00+07:00,10650,10650,10650,10650,9196,0
2019-02-06 00:00:00+07:00,10600,10700,10575,10600,9153,7406500
2019-02-07 00:00:00+07:00,10650,10650,10375,10525,9088,3523400
2019-02-08 00:00:00+07:00,10600,10725,10450,10600,9153,5670000
2019-02-11 00:00:00+07:00,10600,10600,10450,10500,9066,4834800
2019-02-12 00:00:00+07:00,10500,10600,10450,10450,9023,5405200
2019-02-13 00:00:00+07:00,10450,10700,10425,10425,9001,3454900
2019-02-14 00:00:00+07:00,10425,10525,10425,10500,9066,4307200
2019-02-15 00:00:00+07:00,10450,10600,10300,10425,9001,3255100
2019-02-18 00:00:00+07:00,10525,10600,10425,10550,9109,5625800
2019-02-19 00:00:00+07:00,10550,10575,10475,10475,9045,3472600
2019-02-20 00:00:00+07:00,10500,10525,10350,10500,9066,6394400
2019-02-21 00:00:00+07:00,10400,10550,10325,10475,9045,15449600
2019-02-22 00:00:00+07:00,10400,10400,10300,10400,8980,8520200
2019-02-25 00:00:00+07:00,10450,10450,10200,10250,8850,5233500
2019-02-26 00:00:00+07:00,10250,10400,10200,10400,8980,5769300
2019-02-27 00:00:00+07:00,10400,10500,10350,10425,9001,4188700
2019-02-28 00:00:00+07:00,10400,10425,10225,10225,8829,5742300
2019-03-01 00:00:00+07:00,10375,10375,10175,10300,8894,5823400
2019-03-04 00:00:00+07:00,10400,10450,10275,10350,8937,1743000
2019-03-05 00:00:00+07:00,10350,10375,10200,10275,8872,1656800
2019-03-06 00:00:00+07:00,10275,10325,10175,10250,8850,2877200
2019-03-07 00:00:00+07:00,10250,10250,10250,10250,8850,0
2019-03-08 00:00:00+07:00,10400,10400,10175,10250,8850,1951100
2019-03-11 00:00:00+07:00,10275,10350,10200,10300,8894,882300
2019-03-12 00:00:00+07:00,10300,10325,10200,10225,8829,2133600
2019-03-13 00:00:00+07:00,10250,10375,10250,10350,8937,2021700
2019-03-14 00:00:00+07:00,10350,10425,10350,10375,8958,3788300
2019-03-15 00:00:00+07:00,10450,10500,10375,10425,9001,4923600
2019-03-18 00:00:00+07:00,10325,10425,10325,10375,8958,2640000
