Trading Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01 00:00:00+07:00,3750,3750,3750,3750,2635,0
2019-01-02 00:00:00+07:00,3750,3760,3700,3730,2621,31355300
2019-01-03 00:00:00+07:00,3710,3770,3690,3740,2628,83842400
2019-01-04 00:00:00+07:00,3690,3740,3690,3710,2607,73936900
2019-01-07 00:00:00+07:00,3760,3790,3750,3770,2649,83678100
2019-01-08 00:00:00+07:00,3770,3800,3750,3800,2671,67963700
2019-01-09 00:00:00+07:00,3820,3830,3730,3730,2621,98529400
2019-01-10 00:00:00+07:00,3760,3800,3740,3800,2671,126396700
2019-01-11 00:00:00+07:00,3820,3860,3800,3860,2713,116753700
2019-01-14 00:00:00+07:00,3810,3850,3790,3850,2706,68487000
2019-01-15 00:00:00+07:00,3860,3930,3850,3930,2762,83464900
2019-01-16 00:00:00+07:00,3940,4000,3920,3990,2804,139056700
2019-01-17 00:00:00+07:00,3970,3990,3960,3990,2804,78766100
2019-01-18 00:00:00+07:00,4010,4020,3970,4020,2825,76350400
2019-01-21 00:00:00+07:00,4040,4050,4020,4030,2832,83317600
2019-01-22 00:00:00+07:00,4000,4010,3930,4000,2811,95420500
2019-01-23 00:00:00+07:00,3950,3980,3920,3920,2755,72518500
2019-01-24 00:00:00+07:00,3900,3910,3830,3860,2713,118836500
2019-01-25 00:00:00+07:00,3880,3930,3840,3880,2727,75844000
2019-01-28 00:00:00+07:00,3880,3890,3730,3780,2656,168983100
2019-01-29 00:00:00+07:00,3780,3850,3780,3840,2699,118131200
2019-01-30 00:00:00+07:00,3850,3890,3830,3860,2713,85903100
2019-01-31 00:00:00+07:00,3900,3920,3870,3900,2741,110953700
2019-02-01 00:00:00+07:00,3910,3930,3830,3870,2720,79588900
2019-02-04 00:00:00+07:00,3890,3890,3780,3780,2656,70070500
2019-02-05 00:00:00+07:00,3780,3780,3780,3780,2656,0
2019-02-06 00:00:00+07:00,3820,3870,3820,3860,2713,72180200
2019-02-07 00:00:00+07:00,3890,3890,3830,3860,2713,39141500
2019-02-08 00:00:00+07:00,3810,3850,3810,3850,2706,32131700
2019-02-11 00:00:00+07:00,3870,3940,3860,3930,2762,88628900
2019-02-12 00:00:00+07:00,3900,3910,3800,3820,2685,92427800
2019-02-13 00:00:00+07:00,3840,3850,3780,3790,2663,113161100
2019-02-14 00:00:00+07:00,3790,3810,3740,3740,2628,76939400
2019-02-15 00:00:00+07:00,3770,3800,3730,3790,2663,67812600
2019-02-18 00:00:00+07:00,3830,3920,3830,3900,2741,80275800
2019-02-19 00:00:00+07:00,3930,3940,3900,3920,2755,82962700
2019-02-20 00:00:00+07:00,3940,3940,3830,3870,2720,87933000
2019-02-21 00:00:00+07:00,3870,3890,3860,3870,2720,48031100
2019-02-22 00:00:00+07:00,3870,3870,3820,3840,2699,61392700
2019-02-25 00:00:00+07:00,3900,3920,3850,3910,2748,53792400
2019-02-26 00:00:00+07:00,3920,3930,3880,3930,2762,49657300
2019-02-27 00:00:00+07:00,3900,3940,3890,3910,2748,48788200
2019-02-28 00:00:00+07:00,3880,3900,3840,3860,2713,161156000
2019-03-01 00:00:00+07:00,3890,3920,3880,3910,2748,49810100
2019-03-04 00:00:00+07:00,3910,3910,3850,3850,2706,32250500
2019-03-05 00:00:00+07:00,3890,3890,3820,3870,2720,41171000
2019-03-06 00:00:00+07:00,3860,3880,3820,3820,2685,69927600
2019-03-07 00:00:00+07:00,3820,3820,3820,3820,2685,0
2019-03-08 00:00:00+07:00,3810,3820,3740,3740,2628,105963500
2019-03-11 00:00:00+07:00,3780,3820,3760,3800,2671,43971600
2019-03-12 00:00:00+07:00,3800,3820,3730,3760,2642,43343700
2019-03-13 00:00:00+07:00,3730,3770,3710,3720,2614,45607600
2019-03-14 00:00:00+07:00,3720,3760,3710,3740,2628,62094100
2019-03-15 00:00:00+07:00,3720,3760,3710,3750,2635,68778100
2019-03-18 00:00:00+07:00,3770,3820,3760,3820,2685,44322600
2019-03-19 00:00:00+07:00,3800,3820,3770,3780,2656,33156500
2019-03-20 00:00:00+07:00,3810,3820,3750,3760,2642,42784600
2019-03-21 00:00:00+07:00,3800,3810,3780,3790,2663,36527500
2019-03-22 00:00:00+07:00,3800,3820,3790,3800,2671,26772900
2019-03-25 00:00:00+07:00,3730,3790,3720,3790,2663,49162900
2019-03-26 00:00:00+07:00,3780,3820,3780,3820,2685,23049100
2019-03-27 00:00:00+07:00,3840,3840,3810,3820,2685,35521900
2019-03-28 00:00:00+07:00,3820,3890,3810,3880,2727,55847200
2019-03-29 00:00:00+07:00,3880,3970,3880,3960,2783,82231400
2019-04-01 00:00:00+07:00,3950,3960,3900,3930,2762,28246400
2019-04-02 00:00:00+07:00,3910,3950,3910,3930,2762,35443400
2019-04-03 00:00:00+07:00,3930,3930,3930,3930,2762,0
2019-04-04 00:00:00+07:00,3980,4040,3950,4030,2832,96122100
2019-04-05 00:00:00+07:00,4020,4090,4000,4060,2853,66832600
2019-04-08 00:00:00+07:00,4020,4030,3940,3950,2776,73208300
2019-04-09 00:00:00+07:00,3980,4000,3910,3950,2776,88580200
2019-04-10 00:00:00+07:00,3920,3950,3890,3930,2762,52555500
2019-04-11 00:00:00+07:00,3900,3930,3880,3890,2734,51480700
2019-04-12 00:00:00+07:00,3820,3870,3810,3830,2692,45324300
2019-04-15 00:00:00+07:00,3860,3860,3810,3830,2692,44510600
2019-04-16 00:00:00+07:00,3830,3880,3830,3870,2720,62572100
2019-04-17 00:00:00+07:00,3870,3870,3870,3870,2720,0
2019-04-18 00:00:00+07:00,3920,3950,3840,3860,2713,119263400
2019-04-19 00:00:00+07:00,3860,3860,3860,3860,2713,0
2019-04-22 00:00:00+07:00,3860,3860,3780,3780,2656,48671200
2019-04-23 00:00:00+07:00,3780,3870,3730,3850,2706,86443700
2019-04-24 00:00:00+07:00,3850,3860,3780,3840,2699,76660900
2019-04-25 00:00:00+07:00,3800,3840,3790,3830,2692,52775100
2019-04-26 00:00:00+07:00,3800,3910,3800,3910,2748,66452700
2019-04-29 00:00:00+07:00,3850,3900,3850,3860,2713,50143700
2019-04-30 00:00:00+07:00,3890,3890,3750,3790,2663,132318200
2019-05-01 00:00:00+07:00,3790,3790,3790,3790,2663,0
2019-05-02 00:00:00+07:00,3760,3880,3760,3830,2692,136768800
2019-05-03 00:00:00+07:00,3800,3830,3760,3820,2685,101522800
2019-05-06 00:00:00+07:00,3760,3840,3720,3840,2699,107167400
2019-05-07 00:00:00+07:00,3870,3910,3840,3900,2741,74814500
2019-05-08 00:00:00+07:00,3890,3920,3870,3900,2741,77743400
2019-05-09 00:00:00+07:00,3860,3900,3800,3800,2671,74716500
2019-05-10 00:00:00+07:00,3800,3840,3790,3790,2663,66672500
2019-05-13 00:00:00+07:00,3820,3840,3760,3770,2649,47605100
2019-05-14 00:00:00+07:00,3730,3800,3720,3760,2642,77483200
2019-05-15 00:00:00+07:00,3770,3790,3660,3660,2572,57596600
2019-05-16 00:00:00+07:00,3660,3720,3530,3600,2530,107366200
2019-05-17 00:00:00+07:00,3610,3620,3500,3510,2467,94437400
2019-05-20 00:00:00+07:00,3520,3620,3480,3600,2530,82354400
2019-05-21 00:00:00+07:00,3600,3630,3550,3600,2530,106104000
2019-05-22 00:00:00+07:00,3590,3600,3540,3540,2488,63687000
2019-05-23 00:00:00+07:00,3540,3690,3540,3660,2572,113281100
2019-05-24 00:00:00+07:00,3700,3780,3690,3750,2635,87594500
2019-05-27 00:00:00+07:00,3760,3830,3750,3820,2685,87146600
2019-05-28 00:00:00+07:00,3800,3820,3690,3690,2593,322246900
2019-05-29 00:00:00+07:00,3750,3830,3730,3780,2656,122534500
2019-05-30 00:00:00+07:00,3780,3780,3780,3780,2656,0
2019-05-31 00:00:00+07:00,3780,3930,3780,3900,2741,194331700
2019-06-03 00:00:00+07:00,3900,3900,3900,3900,2741,0
2019-06-04 00:00:00+07:00,3900,3900,3900,3900,2741,0
2019-06-05 00:00:00+07:00,3900,3900,3900,3900,2741,0
2019-06-06 00:00:00+07:00,3900,3900,3900,3900,2741,0
