-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        47.66%        2.962s        48.04%        2.985s       6.784ms       3.26 GB     -87.29 MB           440  
                                 aten::mkldnn_rnn_layer        14.62%     908.334ms        14.82%     920.927ms       1.705ms      27.55 GB     383.88 MB           540  
                                              aten::cat        10.00%     621.393ms        10.08%     626.174ms     240.836us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         6.10%     379.247ms        54.22%        3.369s       7.657ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.30%     329.346ms       100.00%        6.213s     621.318ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.05%     127.113ms        12.59%     782.107ms       1.397ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         1.96%     121.846ms         5.42%     337.016ms     765.946us           0 B      -1.43 GB           440  
                                            aten::copy_         1.41%      87.680ms         1.41%      87.680ms       4.460us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.96%      59.625ms         1.04%      64.920ms      16.394us      15.43 KB      15.43 KB          3960  
                                             aten::sqrt         0.71%      43.937ms         0.71%      43.937ms      12.482us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.65%      40.254ms         0.79%      49.215ms       6.991us        -256 B     -14.00 KB          7040  
                                              aten::div         0.48%      30.049ms         0.67%      41.813ms      11.879us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.41%      25.585ms         0.52%      32.618ms      30.202us       4.23 MB       4.23 MB          1080  
                                            aten::lerp_         0.40%      24.687ms         0.40%      24.687ms       7.013us           0 B           0 B          3520  
                                            aten::stack         0.40%      24.624ms        10.83%     673.033ms     258.859us       3.10 GB           0 B          2600  
                                         aten::addcdiv_         0.37%      22.891ms         0.37%      22.891ms       6.503us           0 B           0 B          3520  
                                         aten::_to_copy         0.35%      21.825ms         0.71%      44.038ms       2.780us      61.88 KB       1.33 KB         15840  
