[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.034059 | val=RMSE:472.38|MAE:392.52|MAPE:7.77% | epoch_time=0.82s
[efficiency_close] Epoch 002 | train=0.009879 | val=RMSE:292.98|MAE:234.19|MAPE:4.70% | epoch_time=0.62s
[efficiency_close] Epoch 003 | train=0.007636 | val=RMSE:371.33|MAE:311.97|MAPE:6.30% | epoch_time=0.64s
[efficiency_close] Epoch 004 | train=0.006667 | val=RMSE:278.63|MAE:215.34|MAPE:4.37% | epoch_time=0.67s
[efficiency_close] Epoch 005 | train=0.005631 | val=RMSE:365.58|MAE:285.80|MAPE:5.71% | epoch_time=0.67s
[efficiency_close] Epoch 006 | train=0.005363 | val=RMSE:244.89|MAE:200.71|MAPE:4.05% | epoch_time=0.67s
[efficiency_close] Epoch 007 | train=0.005326 | val=RMSE:250.42|MAE:198.52|MAPE:4.04% | epoch_time=0.66s
[efficiency_close] Epoch 008 | train=0.004725 | val=RMSE:341.36|MAE:279.97|MAPE:5.71% | epoch_time=0.64s
[efficiency_close] Epoch 009 | train=0.004657 | val=RMSE:232.47|MAE:195.38|MAPE:3.94% | epoch_time=0.64s
[efficiency_close] Epoch 010 | train=0.004472 | val=RMSE:303.79|MAE:245.76|MAPE:5.01% | epoch_time=0.65s
[efficiency_close] Epoch 011 | train=0.004281 | val=RMSE:300.69|MAE:252.11|MAPE:5.09% | epoch_time=0.64s
[efficiency_close] Epoch 012 | train=0.003888 | val=RMSE:302.29|MAE:244.57|MAPE:4.95% | epoch_time=26.07s
[efficiency_close] Epoch 013 | train=0.004180 | val=RMSE:233.91|MAE:182.61|MAPE:3.73% | epoch_time=0.66s
[efficiency_close] Epoch 014 | train=0.003864 | val=RMSE:216.68|MAE:166.70|MAPE:3.43% | epoch_time=0.63s
[efficiency_close] Epoch 015 | train=0.003789 | val=RMSE:256.36|MAE:204.48|MAPE:4.18% | epoch_time=0.63s
[efficiency_close] Epoch 016 | train=0.003290 | val=RMSE:211.13|MAE:164.50|MAPE:3.37% | epoch_time=0.63s
[efficiency_close] Epoch 017 | train=0.002954 | val=RMSE:238.08|MAE:191.17|MAPE:3.91% | epoch_time=0.63s
[efficiency_close] Epoch 018 | train=0.002822 | val=RMSE:226.83|MAE:176.95|MAPE:3.61% | epoch_time=0.62s
[efficiency_close] Epoch 019 | train=0.002850 | val=RMSE:233.76|MAE:195.12|MAPE:3.98% | epoch_time=0.64s
[efficiency_close] Epoch 020 | train=0.002826 | val=RMSE:239.30|MAE:186.81|MAPE:3.83% | epoch_time=0.64s
[efficiency_close] Epoch 021 | train=0.002588 | val=RMSE:226.06|MAE:173.50|MAPE:3.58% | epoch_time=0.66s
[efficiency_close] Epoch 022 | train=0.002680 | val=RMSE:229.93|MAE:183.23|MAPE:3.74% | epoch_time=0.64s
[efficiency_close] Epoch 023 | train=0.002535 | val=RMSE:226.69|MAE:178.80|MAPE:3.65% | epoch_time=0.62s
[efficiency_close] Epoch 024 | train=0.002578 | val=RMSE:254.92|MAE:199.52|MAPE:4.08% | epoch_time=0.62s
[efficiency_close] Epoch 025 | train=0.002268 | val=RMSE:221.78|MAE:163.23|MAPE:3.38% | epoch_time=0.63s
[efficiency_close] Epoch 026 | train=0.002404 | val=RMSE:223.78|MAE:166.45|MAPE:3.44% | epoch_time=0.62s
[efficiency_close] Epoch 027 | train=0.002303 | val=RMSE:234.11|MAE:175.45|MAPE:3.61% | epoch_time=0.61s
[efficiency_close] Epoch 028 | train=0.002224 | val=RMSE:233.27|MAE:186.02|MAPE:3.80% | epoch_time=0.63s
[efficiency_close] Epoch 029 | train=0.001875 | val=RMSE:248.02|MAE:190.05|MAPE:3.94% | epoch_time=0.65s
[efficiency_close] Epoch 030 | train=0.001860 | val=RMSE:299.05|MAE:245.32|MAPE:5.04% | epoch_time=0.66s
[efficiency_close] Epoch 031 | train=0.001923 | val=RMSE:292.12|MAE:226.59|MAPE:4.70% | epoch_time=0.64s
[efficiency_close] Epoch 032 | train=0.001752 | val=RMSE:287.08|MAE:221.18|MAPE:4.57% | epoch_time=0.63s
[efficiency_close] Epoch 033 | train=0.001970 | val=RMSE:216.66|MAE:163.22|MAPE:3.38% | epoch_time=0.62s
[efficiency_close] Epoch 034 | train=0.001745 | val=RMSE:256.74|MAE:195.88|MAPE:4.06% | epoch_time=0.62s
[efficiency_close] Epoch 035 | train=0.001685 | val=RMSE:289.86|MAE:229.92|MAPE:4.75% | epoch_time=0.62s
