-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.30%        1.828s        22.30%        1.828s     519.389us           0 B           0 B          3520  
                             aten::convolution_backward        18.77%        1.539s        19.46%        1.595s     402.788us       1.72 GB     727.25 KB          3960  
                               aten::mkldnn_convolution        15.10%        1.238s        15.42%        1.264s     260.023us       1.10 GB       1.85 MB          4860  
                                          ProfilerStep*         7.61%     623.775ms       100.00%        8.197s     819.685ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         6.91%     566.331ms         6.96%     570.275ms     375.181us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.88%     318.122ms         3.88%     318.122ms       6.260us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.72%     223.158ms         7.90%     647.683ms       1.472ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.68%     137.939ms         9.05%     741.631ms       1.324ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.63%     133.291ms         1.64%     134.513ms      17.983us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.24%     101.806ms         1.24%     101.806ms      14.627us           0 B           0 B          6960  
                                        aten::clamp_min         1.10%      90.559ms         1.10%      90.559ms      20.963us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.02%      83.916ms         1.30%     106.609ms       6.057us         212 B     -34.17 KB         17600  
                               aten::linalg_vector_norm         0.90%      73.870ms         0.97%      79.779ms       8.634us      36.08 KB      36.08 KB          9240  
                               aten::threshold_backward         0.83%      68.180ms         0.83%      68.180ms      19.369us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.80%      65.481ms         1.07%      88.005ms      22.224us       3.24 KB     -12.23 KB          3960  
                                              aten::div         0.70%      57.459ms         1.02%      84.001ms       9.546us     841.98 MB     841.95 MB          8800  
                                            aten::lerp_         0.70%      57.436ms         0.70%      57.436ms       6.527us           0 B           0 B          8800  
                                         aten::addcdiv_         0.65%      53.120ms         0.65%      53.120ms       6.036us           0 B           0 B          8800  
