[train_close][TCN efficiency] Running on device: cpu
[train_close][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.383438 | val=RMSE:1573.26|MAE:1387.25|MAPE:13.84% | epoch_time=0.72s
[efficiency_close] Epoch 002 | train=0.027618 | val=RMSE:431.02|MAE:346.75|MAPE:3.50% | epoch_time=0.69s
[efficiency_close] Epoch 003 | train=0.011290 | val=RMSE:695.70|MAE:585.69|MAPE:5.81% | epoch_time=0.74s
[efficiency_close] Epoch 004 | train=0.006159 | val=RMSE:833.96|MAE:732.75|MAPE:7.25% | epoch_time=0.74s
[efficiency_close] Epoch 005 | train=0.003327 | val=RMSE:748.28|MAE:682.05|MAPE:6.78% | epoch_time=0.74s
[efficiency_close] Epoch 006 | train=0.002032 | val=RMSE:618.31|MAE:522.67|MAPE:5.17% | epoch_time=0.74s
[efficiency_close] Epoch 007 | train=0.001672 | val=RMSE:502.22|MAE:429.76|MAPE:4.25% | epoch_time=0.74s
[efficiency_close] Epoch 008 | train=0.001489 | val=RMSE:563.20|MAE:485.70|MAPE:4.80% | epoch_time=0.74s
[efficiency_close] Epoch 009 | train=0.001122 | val=RMSE:701.67|MAE:634.52|MAPE:6.29% | epoch_time=0.74s
[efficiency_close] Epoch 010 | train=0.000870 | val=RMSE:435.43|MAE:387.86|MAPE:3.86% | epoch_time=0.74s
[efficiency_close] Epoch 011 | train=0.000992 | val=RMSE:669.90|MAE:599.45|MAPE:5.95% | epoch_time=0.75s
[efficiency_close] Epoch 012 | train=0.000724 | val=RMSE:452.23|MAE:388.49|MAPE:3.85% | epoch_time=60.26s
[efficiency_close] Epoch 013 | train=0.000861 | val=RMSE:707.64|MAE:653.84|MAPE:6.50% | epoch_time=0.69s
[efficiency_close] Epoch 014 | train=0.000609 | val=RMSE:479.84|MAE:429.47|MAPE:4.26% | epoch_time=0.69s
[efficiency_close] Epoch 015 | train=0.000573 | val=RMSE:569.66|MAE:512.41|MAPE:5.09% | epoch_time=0.69s
[efficiency_close] Epoch 016 | train=0.000524 | val=RMSE:419.85|MAE:364.64|MAPE:3.61% | epoch_time=0.71s
[efficiency_close] Epoch 017 | train=0.000522 | val=RMSE:432.09|MAE:367.52|MAPE:3.63% | epoch_time=0.71s
[efficiency_close] Epoch 018 | train=0.000694 | val=RMSE:591.25|MAE:543.97|MAPE:5.41% | epoch_time=0.72s
[efficiency_close] Epoch 019 | train=0.000499 | val=RMSE:472.50|MAE:423.73|MAPE:4.21% | epoch_time=0.73s
[efficiency_close] Epoch 020 | train=0.000475 | val=RMSE:306.25|MAE:253.41|MAPE:2.51% | epoch_time=0.71s
[efficiency_close] Epoch 021 | train=0.000416 | val=RMSE:381.82|MAE:325.38|MAPE:3.22% | epoch_time=0.71s
[efficiency_close] Epoch 022 | train=0.000343 | val=RMSE:457.07|MAE:404.59|MAPE:4.01% | epoch_time=0.72s
[efficiency_close] Epoch 023 | train=0.000353 | val=RMSE:468.01|MAE:413.84|MAPE:4.10% | epoch_time=0.71s
[efficiency_close] Epoch 024 | train=0.000472 | val=RMSE:684.61|MAE:648.82|MAPE:6.47% | epoch_time=0.72s
[efficiency_close] Epoch 025 | train=0.000621 | val=RMSE:566.51|MAE:513.48|MAPE:5.10% | epoch_time=0.71s
[efficiency_close] Epoch 026 | train=0.000735 | val=RMSE:423.28|MAE:374.62|MAPE:3.72% | epoch_time=0.72s
