[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.286912 | val=RMSE:709.15|MAE:563.25|MAPE:5.66% | epoch_time=0.78s
[efficiency_mean] Epoch 002 | train=0.026730 | val=RMSE:687.74|MAE:586.67|MAPE:5.86% | epoch_time=0.77s
[efficiency_mean] Epoch 003 | train=0.010914 | val=RMSE:1460.73|MAE:1398.31|MAPE:14.01% | epoch_time=0.84s
[efficiency_mean] Epoch 004 | train=0.005108 | val=RMSE:502.53|MAE:436.10|MAPE:4.35% | epoch_time=0.83s
[efficiency_mean] Epoch 005 | train=0.003776 | val=RMSE:572.94|MAE:509.26|MAPE:5.08% | epoch_time=0.84s
[efficiency_mean] Epoch 006 | train=0.002427 | val=RMSE:463.55|MAE:410.39|MAPE:4.10% | epoch_time=0.83s
[efficiency_mean] Epoch 007 | train=0.001786 | val=RMSE:452.61|MAE:386.66|MAPE:3.86% | epoch_time=0.84s
[efficiency_mean] Epoch 008 | train=0.001883 | val=RMSE:714.10|MAE:683.02|MAPE:6.84% | epoch_time=0.84s
[efficiency_mean] Epoch 009 | train=0.001137 | val=RMSE:694.00|MAE:654.02|MAPE:6.54% | epoch_time=0.84s
[efficiency_mean] Epoch 010 | train=0.000820 | val=RMSE:408.41|MAE:363.67|MAPE:3.63% | epoch_time=0.83s
[efficiency_mean] Epoch 011 | train=0.000777 | val=RMSE:542.33|MAE:499.51|MAPE:4.99% | epoch_time=0.84s
[efficiency_mean] Epoch 012 | train=0.000845 | val=RMSE:388.79|MAE:331.76|MAPE:3.31% | epoch_time=62.05s
[efficiency_mean] Epoch 013 | train=0.000915 | val=RMSE:458.21|MAE:416.07|MAPE:4.15% | epoch_time=0.78s
[efficiency_mean] Epoch 014 | train=0.000890 | val=RMSE:432.24|MAE:383.37|MAPE:3.83% | epoch_time=0.78s
[efficiency_mean] Epoch 015 | train=0.000690 | val=RMSE:517.63|MAE:472.02|MAPE:4.71% | epoch_time=0.77s
[efficiency_mean] Epoch 016 | train=0.000583 | val=RMSE:427.81|MAE:379.97|MAPE:3.79% | epoch_time=0.80s
[efficiency_mean] Epoch 017 | train=0.000456 | val=RMSE:438.51|MAE:395.72|MAPE:3.95% | epoch_time=0.80s
[efficiency_mean] Epoch 018 | train=0.000371 | val=RMSE:544.20|MAE:502.41|MAPE:5.02% | epoch_time=0.80s
[efficiency_mean] Epoch 019 | train=0.000450 | val=RMSE:379.89|MAE:342.16|MAPE:3.42% | epoch_time=0.80s
[efficiency_mean] Epoch 020 | train=0.000457 | val=RMSE:356.08|MAE:305.71|MAPE:3.04% | epoch_time=0.80s
[efficiency_mean] Epoch 021 | train=0.000389 | val=RMSE:346.38|MAE:304.39|MAPE:3.03% | epoch_time=0.79s
[efficiency_mean] Epoch 022 | train=0.000361 | val=RMSE:396.80|MAE:353.53|MAPE:3.52% | epoch_time=0.80s
[efficiency_mean] Epoch 023 | train=0.000329 | val=RMSE:519.93|MAE:484.88|MAPE:4.85% | epoch_time=0.79s
[efficiency_mean] Epoch 024 | train=0.000308 | val=RMSE:473.61|MAE:436.69|MAPE:4.36% | epoch_time=0.80s
[efficiency_mean] Epoch 025 | train=0.000303 | val=RMSE:399.86|MAE:359.91|MAPE:3.59% | epoch_time=0.79s
[efficiency_mean] Epoch 026 | train=0.000317 | val=RMSE:425.99|MAE:383.40|MAPE:3.83% | epoch_time=0.80s
[efficiency_mean] Epoch 027 | train=0.000295 | val=RMSE:346.08|MAE:307.09|MAPE:3.07% | epoch_time=0.79s
[efficiency_mean] Epoch 028 | train=0.000373 | val=RMSE:313.65|MAE:271.41|MAPE:2.71% | epoch_time=0.80s
[efficiency_mean] Epoch 029 | train=0.000277 | val=RMSE:390.74|MAE:352.72|MAPE:3.53% | epoch_time=0.80s
[efficiency_mean] Epoch 030 | train=0.000301 | val=RMSE:478.78|MAE:438.90|MAPE:4.39% | epoch_time=0.79s
[efficiency_mean] Epoch 031 | train=0.000238 | val=RMSE:421.30|MAE:384.22|MAPE:3.84% | epoch_time=0.79s
[efficiency_mean] Epoch 032 | train=0.000281 | val=RMSE:373.41|MAE:331.86|MAPE:3.32% | epoch_time=0.80s
[efficiency_mean] Epoch 033 | train=0.000274 | val=RMSE:336.28|MAE:289.84|MAPE:2.89% | epoch_time=0.81s
[efficiency_mean] Epoch 034 | train=0.000245 | val=RMSE:409.69|MAE:369.21|MAPE:3.69% | epoch_time=0.81s
[efficiency_mean] Epoch 035 | train=0.000279 | val=RMSE:305.32|MAE:260.41|MAPE:2.60% | epoch_time=0.83s
[efficiency_mean] Epoch 036 | train=0.000278 | val=RMSE:248.68|MAE:207.37|MAPE:2.07% | epoch_time=0.80s
[efficiency_mean] Epoch 037 | train=0.000277 | val=RMSE:332.64|MAE:287.81|MAPE:2.87% | epoch_time=0.80s
[efficiency_mean] Epoch 038 | train=0.000220 | val=RMSE:457.92|MAE:417.30|MAPE:4.17% | epoch_time=0.80s
[efficiency_mean] Epoch 039 | train=0.000244 | val=RMSE:414.07|MAE:373.13|MAPE:3.73% | epoch_time=0.80s
[efficiency_mean] Epoch 040 | train=0.000187 | val=RMSE:380.30|MAE:335.50|MAPE:3.35% | epoch_time=0.79s
