-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.06%        1.828s        22.06%        1.828s     519.428us           0 B           0 B          3520  
                             aten::convolution_backward        18.67%        1.547s        19.36%        1.604s     405.040us       1.72 GB     694.50 KB          3960  
                               aten::mkldnn_convolution        14.99%        1.242s        15.30%        1.268s     260.940us       1.10 GB     817.50 KB          4860  
                                          ProfilerStep*         7.89%     653.784ms       100.00%        8.287s     828.675ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         6.82%     565.224ms         6.87%     569.144ms     374.437us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.86%     319.487ms         3.86%     319.487ms       6.287us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.81%     232.913ms         7.96%     659.260ms       1.498ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.77%     146.302ms         9.04%     748.992ms       1.337ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.63%     134.704ms         1.64%     135.879ms      18.166us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.29%     107.249ms         1.29%     107.249ms      15.409us           0 B           0 B          6960  
                                        aten::clamp_min         1.08%      89.415ms         1.08%      89.415ms      20.698us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.04%      86.101ms         1.31%     108.380ms       6.158us        -412 B     -34.78 KB         17600  
                               aten::linalg_vector_norm         0.91%      75.774ms         0.99%      81.677ms       8.840us      36.07 KB      36.07 KB          9240  
                               aten::threshold_backward         0.85%      70.035ms         0.85%      70.035ms      19.896us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.78%      64.774ms         1.06%      87.753ms      22.160us       3.32 KB     -12.15 KB          3960  
                                            aten::lerp_         0.70%      57.790ms         0.70%      57.790ms       6.567us           0 B           0 B          8800  
                                              aten::div         0.70%      57.679ms         1.02%      84.626ms       9.617us     841.98 MB     841.95 MB          8800  
                                         aten::addcdiv_         0.66%      54.452ms         0.66%      54.452ms       6.188us           0 B           0 B          8800  
