[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.023548 | val=RMSE:547.04|MAE:529.06|MAPE:36.92% | epoch_time=0.31s
[efficiency_mean] Epoch 002 | train=0.011011 | val=RMSE:410.39|MAE:392.78|MAPE:27.47% | epoch_time=0.27s
[efficiency_mean] Epoch 003 | train=0.009246 | val=RMSE:478.07|MAE:461.23|MAPE:32.22% | epoch_time=0.33s
[efficiency_mean] Epoch 004 | train=0.008214 | val=RMSE:517.76|MAE:494.81|MAPE:34.53% | epoch_time=0.30s
[efficiency_mean] Epoch 005 | train=0.007781 | val=RMSE:436.57|MAE:416.75|MAPE:29.15% | epoch_time=0.32s
[efficiency_mean] Epoch 006 | train=0.007131 | val=RMSE:465.72|MAE:454.32|MAPE:31.55% | epoch_time=0.32s
[efficiency_mean] Epoch 007 | train=0.007476 | val=RMSE:403.39|MAE:384.76|MAPE:26.86% | epoch_time=0.30s
[efficiency_mean] Epoch 008 | train=0.006444 | val=RMSE:505.33|MAE:487.37|MAPE:33.98% | epoch_time=0.30s
[efficiency_mean] Epoch 009 | train=0.006405 | val=RMSE:326.40|MAE:303.47|MAPE:21.31% | epoch_time=0.35s
[efficiency_mean] Epoch 010 | train=0.006142 | val=RMSE:311.53|MAE:285.12|MAPE:20.13% | epoch_time=0.37s
[efficiency_mean] Epoch 011 | train=0.005427 | val=RMSE:491.21|MAE:480.97|MAPE:33.28% | epoch_time=0.37s
[efficiency_mean] Epoch 012 | train=0.005566 | val=RMSE:391.05|MAE:373.39|MAPE:26.07% | epoch_time=49.02s
[efficiency_mean] Epoch 013 | train=0.005740 | val=RMSE:369.40|MAE:357.50|MAPE:24.81% | epoch_time=0.26s
[efficiency_mean] Epoch 014 | train=0.005181 | val=RMSE:302.56|MAE:291.38|MAPE:20.21% | epoch_time=0.26s
[efficiency_mean] Epoch 015 | train=0.004388 | val=RMSE:357.48|MAE:340.41|MAPE:23.78% | epoch_time=0.26s
[efficiency_mean] Epoch 016 | train=0.004450 | val=RMSE:301.32|MAE:282.76|MAPE:19.76% | epoch_time=0.26s
[efficiency_mean] Epoch 017 | train=0.004606 | val=RMSE:342.44|MAE:328.79|MAPE:22.87% | epoch_time=0.26s
[efficiency_mean] Epoch 018 | train=0.004261 | val=RMSE:460.79|MAE:447.65|MAPE:30.98% | epoch_time=0.27s
[efficiency_mean] Epoch 019 | train=0.003909 | val=RMSE:307.36|MAE:288.14|MAPE:20.02% | epoch_time=0.26s
[efficiency_mean] Epoch 020 | train=0.003818 | val=RMSE:363.07|MAE:348.87|MAPE:24.28% | epoch_time=0.26s
[efficiency_mean] Epoch 021 | train=0.003515 | val=RMSE:380.11|MAE:363.58|MAPE:25.28% | epoch_time=0.26s
[efficiency_mean] Epoch 022 | train=0.003401 | val=RMSE:321.80|MAE:304.28|MAPE:21.23% | epoch_time=0.26s
[efficiency_mean] Epoch 023 | train=0.002886 | val=RMSE:424.84|MAE:408.84|MAPE:28.44% | epoch_time=0.26s
[efficiency_mean] Epoch 024 | train=0.003129 | val=RMSE:339.91|MAE:329.04|MAPE:22.67% | epoch_time=0.26s
[efficiency_mean] Epoch 025 | train=0.003067 | val=RMSE:368.55|MAE:354.12|MAPE:24.65% | epoch_time=0.26s
[efficiency_mean] Epoch 026 | train=0.003156 | val=RMSE:325.21|MAE:310.68|MAPE:21.56% | epoch_time=0.26s
[efficiency_mean] Epoch 027 | train=0.002923 | val=RMSE:310.68|MAE:294.31|MAPE:20.47% | epoch_time=0.26s
[efficiency_mean] Epoch 028 | train=0.002948 | val=RMSE:378.38|MAE:361.63|MAPE:25.20% | epoch_time=0.26s
[efficiency_mean] Epoch 029 | train=0.002777 | val=RMSE:450.77|MAE:440.96|MAPE:30.47% | epoch_time=0.26s
[efficiency_mean] Epoch 030 | train=0.002725 | val=RMSE:324.99|MAE:307.80|MAPE:21.38% | epoch_time=0.27s
[efficiency_mean] Epoch 031 | train=0.002922 | val=RMSE:326.78|MAE:307.77|MAPE:21.45% | epoch_time=0.26s
[efficiency_mean] Epoch 032 | train=0.002612 | val=RMSE:352.32|MAE:331.78|MAPE:23.12% | epoch_time=0.26s
