-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        20.05%        1.303s       100.00%        6.498s     649.752ms     213.96 KB    -728.19 MB            10  
                               Optimizer.step#Adam.step         7.81%     507.407ms        18.83%        1.224s       2.781ms           0 B    -183.56 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.37%     348.756ms         5.52%     358.451ms     814.661us      69.06 MB      -3.19 MB           440  
                                              aten::bmm         4.62%     300.382ms         4.64%     301.526ms      28.554us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.49%     291.671ms         4.49%     291.671ms       1.787us           0 B           0 B        163220  
                                 aten::mkldnn_rnn_layer         4.45%     288.885ms         4.51%     293.043ms     542.672us       1.04 GB    -226.38 KB           540  
                                               aten::mm         2.66%     172.607ms         2.71%     176.006ms       7.213us     493.57 MB     493.57 MB         24400  
                                         aten::_to_copy         2.45%     159.101ms         4.77%     309.809ms       2.298us     526.72 KB      18.47 KB        134840  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.32%     150.685ms         3.04%     197.588ms     352.836us     133.28 KB    -219.53 KB           560  
                                            aten::addmm         2.20%     142.673ms         3.71%     241.250ms      17.183us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.13%     138.363ms         2.65%     172.150ms       7.096us     479.13 MB     479.09 MB         24260  
                                        aten::transpose         1.80%     117.079ms         2.35%     152.378ms       1.485us           0 B           0 B        102600  
                                             aten::add_         1.80%     116.910ms         4.20%     272.968ms       3.977us      38.11 KB    -195.64 KB         68640  
                                       aten::bernoulli_         1.62%     105.398ms         1.62%     105.398ms      18.426us           0 B           0 B          5720  
                                    aten::empty_strided         1.39%      90.423ms         1.39%      90.423ms       0.634us      40.34 MB      40.34 MB        142720  
                                              aten::add         1.34%      87.181ms         1.40%      91.004ms      11.180us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.29%      83.847ms         1.29%      83.847ms       0.831us           0 B           0 B        100860  
                                       aten::as_strided         1.14%      73.930ms         1.14%      73.930ms       0.308us           0 B           0 B        239840  
