[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.021698 | val=RMSE:719.92|MAE:690.94|MAPE:14.10% | epoch_time=0.32s
[efficiency_close] Epoch 002 | train=0.009454 | val=RMSE:252.06|MAE:199.18|MAPE:4.10% | epoch_time=0.27s
[efficiency_close] Epoch 003 | train=0.008199 | val=RMSE:399.95|MAE:339.48|MAPE:6.90% | epoch_time=0.37s
[efficiency_close] Epoch 004 | train=0.006390 | val=RMSE:534.06|MAE:473.03|MAPE:9.53% | epoch_time=0.37s
[efficiency_close] Epoch 005 | train=0.006445 | val=RMSE:422.96|MAE:361.44|MAPE:7.34% | epoch_time=0.37s
[efficiency_close] Epoch 006 | train=0.005266 | val=RMSE:547.28|MAE:479.16|MAPE:9.64% | epoch_time=0.34s
[efficiency_close] Epoch 007 | train=0.004719 | val=RMSE:591.23|MAE:534.54|MAPE:10.79% | epoch_time=0.30s
[efficiency_close] Epoch 008 | train=0.005093 | val=RMSE:535.21|MAE:480.47|MAPE:9.71% | epoch_time=0.30s
[efficiency_close] Epoch 009 | train=0.004408 | val=RMSE:376.20|MAE:322.12|MAPE:6.55% | epoch_time=0.30s
[efficiency_close] Epoch 010 | train=0.003888 | val=RMSE:490.26|MAE:430.27|MAPE:8.69% | epoch_time=0.30s
[efficiency_close] Epoch 011 | train=0.003882 | val=RMSE:407.43|MAE:358.73|MAPE:7.24% | epoch_time=0.30s
[efficiency_close] Epoch 012 | train=0.003619 | val=RMSE:354.30|MAE:308.11|MAPE:6.26% | epoch_time=48.70s
[efficiency_close] Epoch 013 | train=0.003681 | val=RMSE:335.57|MAE:293.93|MAPE:5.99% | epoch_time=0.26s
[efficiency_close] Epoch 014 | train=0.003183 | val=RMSE:370.42|MAE:327.41|MAPE:6.67% | epoch_time=0.26s
[efficiency_close] Epoch 015 | train=0.003148 | val=RMSE:410.59|MAE:359.65|MAPE:7.28% | epoch_time=0.27s
[efficiency_close] Epoch 016 | train=0.003543 | val=RMSE:483.65|MAE:434.64|MAPE:8.76% | epoch_time=0.26s
[efficiency_close] Epoch 017 | train=0.002829 | val=RMSE:389.52|MAE:339.37|MAPE:6.85% | epoch_time=0.26s
[efficiency_close] Epoch 018 | train=0.002695 | val=RMSE:445.02|MAE:391.73|MAPE:7.86% | epoch_time=0.26s
[efficiency_close] Epoch 019 | train=0.002557 | val=RMSE:335.79|MAE:300.46|MAPE:6.10% | epoch_time=0.26s
[efficiency_close] Epoch 020 | train=0.002732 | val=RMSE:328.52|MAE:289.56|MAPE:5.84% | epoch_time=0.26s
[efficiency_close] Epoch 021 | train=0.002389 | val=RMSE:534.98|MAE:479.01|MAPE:9.57% | epoch_time=0.26s
[efficiency_close] Epoch 022 | train=0.002496 | val=RMSE:390.79|MAE:346.26|MAPE:6.97% | epoch_time=0.26s
[efficiency_close] Epoch 023 | train=0.002416 | val=RMSE:411.28|MAE:359.51|MAPE:7.22% | epoch_time=0.26s
[efficiency_close] Epoch 024 | train=0.002418 | val=RMSE:395.21|MAE:345.75|MAPE:6.98% | epoch_time=0.26s
[efficiency_close] Epoch 025 | train=0.002181 | val=RMSE:430.88|MAE:376.19|MAPE:7.57% | epoch_time=0.26s
[efficiency_close] Epoch 026 | train=0.002113 | val=RMSE:412.17|MAE:364.27|MAPE:7.38% | epoch_time=0.26s
[efficiency_close] Epoch 027 | train=0.001848 | val=RMSE:437.79|MAE:389.76|MAPE:7.86% | epoch_time=0.26s
[efficiency_close] Epoch 028 | train=0.002075 | val=RMSE:613.03|MAE:573.12|MAPE:11.64% | epoch_time=0.26s
[efficiency_close] Epoch 029 | train=0.001752 | val=RMSE:448.64|MAE:403.12|MAPE:8.09% | epoch_time=0.26s
