[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.033554 | val=RMSE:1068.97|MAE:941.39|MAPE:9.26% | epoch_time=0.31s
[efficiency_close] Epoch 002 | train=0.010590 | val=RMSE:1160.39|MAE:1069.80|MAPE:10.57% | epoch_time=0.26s
[efficiency_close] Epoch 003 | train=0.008341 | val=RMSE:945.39|MAE:844.37|MAPE:8.31% | epoch_time=0.38s
[efficiency_close] Epoch 004 | train=0.007683 | val=RMSE:988.49|MAE:888.84|MAPE:8.76% | epoch_time=0.33s
[efficiency_close] Epoch 005 | train=0.007383 | val=RMSE:1112.42|MAE:1015.35|MAPE:10.03% | epoch_time=0.30s
[efficiency_close] Epoch 006 | train=0.006311 | val=RMSE:913.22|MAE:797.07|MAPE:7.83% | epoch_time=0.30s
[efficiency_close] Epoch 007 | train=0.006589 | val=RMSE:1010.55|MAE:927.80|MAPE:9.17% | epoch_time=0.30s
[efficiency_close] Epoch 008 | train=0.005505 | val=RMSE:1211.67|MAE:1134.48|MAPE:11.24% | epoch_time=0.31s
[efficiency_close] Epoch 009 | train=0.005232 | val=RMSE:1088.87|MAE:981.56|MAPE:9.69% | epoch_time=0.31s
[efficiency_close] Epoch 010 | train=0.005305 | val=RMSE:1327.31|MAE:1243.53|MAPE:12.32% | epoch_time=0.31s
[efficiency_close] Epoch 011 | train=0.004894 | val=RMSE:1140.25|MAE:1051.73|MAPE:10.40% | epoch_time=0.31s
[efficiency_close] Epoch 012 | train=0.004559 | val=RMSE:1162.57|MAE:1066.39|MAPE:10.55% | epoch_time=48.69s
[efficiency_close] Epoch 013 | train=0.004491 | val=RMSE:977.36|MAE:869.54|MAPE:8.57% | epoch_time=0.26s
[efficiency_close] Epoch 014 | train=0.003689 | val=RMSE:1053.97|MAE:970.73|MAPE:9.60% | epoch_time=0.26s
[efficiency_close] Epoch 015 | train=0.003865 | val=RMSE:1200.25|MAE:1119.00|MAPE:11.08% | epoch_time=0.26s
[efficiency_close] Epoch 016 | train=0.003644 | val=RMSE:1097.86|MAE:1005.41|MAPE:9.94% | epoch_time=0.26s
[efficiency_close] Epoch 017 | train=0.003695 | val=RMSE:1111.43|MAE:1021.50|MAPE:10.10% | epoch_time=0.26s
[efficiency_close] Epoch 018 | train=0.003095 | val=RMSE:1035.68|MAE:942.52|MAPE:9.31% | epoch_time=0.26s
[efficiency_close] Epoch 019 | train=0.003354 | val=RMSE:1171.28|MAE:1102.24|MAPE:10.93% | epoch_time=0.26s
[efficiency_close] Epoch 020 | train=0.003123 | val=RMSE:1053.48|MAE:976.44|MAPE:9.66% | epoch_time=0.26s
[efficiency_close] Epoch 021 | train=0.002580 | val=RMSE:1077.05|MAE:985.69|MAPE:9.74% | epoch_time=0.26s
[efficiency_close] Epoch 022 | train=0.002882 | val=RMSE:1111.39|MAE:1030.83|MAPE:10.20% | epoch_time=0.26s
[efficiency_close] Epoch 023 | train=0.002282 | val=RMSE:1008.18|MAE:925.74|MAPE:9.15% | epoch_time=0.26s
[efficiency_close] Epoch 024 | train=0.002561 | val=RMSE:975.69|MAE:897.82|MAPE:8.88% | epoch_time=0.26s
[efficiency_close] Epoch 025 | train=0.002457 | val=RMSE:985.27|MAE:894.80|MAPE:8.83% | epoch_time=0.26s
[efficiency_close] Epoch 026 | train=0.002002 | val=RMSE:1135.53|MAE:1059.64|MAPE:10.50% | epoch_time=0.26s
[efficiency_close] Epoch 027 | train=0.002112 | val=RMSE:1005.90|MAE:924.21|MAPE:9.14% | epoch_time=0.26s
[efficiency_close] Epoch 028 | train=0.002274 | val=RMSE:922.91|MAE:827.99|MAPE:8.16% | epoch_time=0.26s
[efficiency_close] Epoch 029 | train=0.002101 | val=RMSE:957.97|MAE:859.09|MAPE:8.47% | epoch_time=0.26s
[efficiency_close] Epoch 030 | train=0.002040 | val=RMSE:1048.18|MAE:964.21|MAPE:9.53% | epoch_time=0.26s
[efficiency_close] Epoch 031 | train=0.001912 | val=RMSE:941.99|MAE:847.73|MAPE:8.36% | epoch_time=0.26s
[efficiency_close] Epoch 032 | train=0.001873 | val=RMSE:972.33|MAE:875.77|MAPE:8.64% | epoch_time=0.26s
[efficiency_close] Epoch 033 | train=0.001914 | val=RMSE:908.05|MAE:820.77|MAPE:8.10% | epoch_time=0.26s
[efficiency_close] Epoch 034 | train=0.001738 | val=RMSE:856.23|MAE:765.63|MAPE:7.54% | epoch_time=0.26s
[efficiency_close] Epoch 035 | train=0.001836 | val=RMSE:1059.19|MAE:975.25|MAPE:9.64% | epoch_time=0.26s
[efficiency_close] Epoch 036 | train=0.001954 | val=RMSE:1244.18|MAE:1178.16|MAPE:11.69% | epoch_time=0.26s
[efficiency_close] Epoch 037 | train=0.001666 | val=RMSE:989.30|MAE:895.11|MAPE:8.84% | epoch_time=0.26s
