[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.023586 | val=RMSE:1310.72|MAE:1213.13|MAPE:12.04% | epoch_time=0.31s
[efficiency_mean] Epoch 002 | train=0.005452 | val=RMSE:1398.57|MAE:1340.45|MAPE:13.37% | epoch_time=0.27s
[efficiency_mean] Epoch 003 | train=0.004723 | val=RMSE:1463.19|MAE:1386.70|MAPE:13.80% | epoch_time=0.38s
[efficiency_mean] Epoch 004 | train=0.004699 | val=RMSE:1262.41|MAE:1161.68|MAPE:11.53% | epoch_time=0.37s
[efficiency_mean] Epoch 005 | train=0.003957 | val=RMSE:1187.23|MAE:1062.11|MAPE:10.53% | epoch_time=0.36s
[efficiency_mean] Epoch 006 | train=0.003636 | val=RMSE:1132.61|MAE:1025.15|MAPE:10.17% | epoch_time=0.33s
[efficiency_mean] Epoch 007 | train=0.003126 | val=RMSE:1560.48|MAE:1486.83|MAPE:14.82% | epoch_time=0.31s
[efficiency_mean] Epoch 008 | train=0.003207 | val=RMSE:1246.98|MAE:1172.43|MAPE:11.67% | epoch_time=0.30s
[efficiency_mean] Epoch 009 | train=0.002803 | val=RMSE:1242.57|MAE:1164.85|MAPE:11.58% | epoch_time=0.30s
[efficiency_mean] Epoch 010 | train=0.002538 | val=RMSE:1114.28|MAE:1023.92|MAPE:10.16% | epoch_time=0.30s
[efficiency_mean] Epoch 011 | train=0.002666 | val=RMSE:1216.65|MAE:1126.99|MAPE:11.20% | epoch_time=0.30s
[efficiency_mean] Epoch 012 | train=0.002193 | val=RMSE:1146.19|MAE:1050.67|MAPE:10.43% | epoch_time=48.91s
[efficiency_mean] Epoch 013 | train=0.002146 | val=RMSE:1220.17|MAE:1147.14|MAPE:11.41% | epoch_time=0.26s
[efficiency_mean] Epoch 014 | train=0.002236 | val=RMSE:1067.55|MAE:975.75|MAPE:9.68% | epoch_time=0.26s
[efficiency_mean] Epoch 015 | train=0.002197 | val=RMSE:1215.66|MAE:1106.68|MAPE:10.99% | epoch_time=0.26s
[efficiency_mean] Epoch 016 | train=0.001927 | val=RMSE:1133.60|MAE:1040.51|MAPE:10.33% | epoch_time=0.26s
[efficiency_mean] Epoch 017 | train=0.002053 | val=RMSE:1254.43|MAE:1167.73|MAPE:11.61% | epoch_time=0.26s
[efficiency_mean] Epoch 018 | train=0.002047 | val=RMSE:1224.55|MAE:1134.15|MAPE:11.27% | epoch_time=0.26s
[efficiency_mean] Epoch 019 | train=0.001956 | val=RMSE:1245.41|MAE:1153.16|MAPE:11.46% | epoch_time=0.26s
[efficiency_mean] Epoch 020 | train=0.001883 | val=RMSE:1162.36|MAE:1072.12|MAPE:10.65% | epoch_time=0.26s
[efficiency_mean] Epoch 021 | train=0.001773 | val=RMSE:1308.58|MAE:1206.25|MAPE:11.99% | epoch_time=0.26s
[efficiency_mean] Epoch 022 | train=0.001770 | val=RMSE:1192.39|MAE:1094.39|MAPE:10.86% | epoch_time=0.26s
[efficiency_mean] Epoch 023 | train=0.001650 | val=RMSE:1233.85|MAE:1138.41|MAPE:11.31% | epoch_time=0.26s
[efficiency_mean] Epoch 024 | train=0.001540 | val=RMSE:1222.30|MAE:1136.88|MAPE:11.30% | epoch_time=0.26s
[efficiency_mean] Epoch 025 | train=0.001577 | val=RMSE:1149.45|MAE:1054.55|MAPE:10.47% | epoch_time=0.26s
[efficiency_mean] Epoch 026 | train=0.001585 | val=RMSE:1193.22|MAE:1102.91|MAPE:10.95% | epoch_time=0.26s
[efficiency_mean] Epoch 027 | train=0.001384 | val=RMSE:1166.97|MAE:1078.71|MAPE:10.71% | epoch_time=0.26s
[efficiency_mean] Epoch 028 | train=0.001401 | val=RMSE:1181.82|MAE:1084.50|MAPE:10.77% | epoch_time=0.26s
