-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        20.03%        1.311s       100.00%        6.549s     654.889ms     213.96 KB    -728.43 MB            10  
                               Optimizer.step#Adam.step         7.94%     519.943ms        19.07%        1.249s       2.839ms           0 B    -183.56 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.31%     347.881ms         5.46%     357.714ms     812.986us      69.06 MB      -3.39 MB           440  
                                              aten::bmm         4.63%     303.419ms         4.65%     304.593ms      28.844us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.47%     292.627ms         4.47%     292.627ms       1.793us           0 B           0 B        163220  
                                 aten::mkldnn_rnn_layer         4.38%     286.846ms         4.45%     291.128ms     539.126us       1.04 GB    -230.00 KB           540  
                                               aten::mm         2.65%     173.650ms         2.70%     177.027ms       7.255us     493.57 MB     493.57 MB         24400  
                                         aten::_to_copy         2.49%     163.185ms         4.85%     317.760ms       2.357us     526.72 KB      16.11 KB        134840  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.33%     152.642ms         3.05%     199.810ms     356.804us     133.28 KB    -219.53 KB           560  
                                            aten::addmm         2.18%     142.768ms         3.69%     241.356ms      17.191us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.13%     139.771ms         2.65%     173.457ms       7.150us     479.13 MB     479.09 MB         24260  
                                             aten::add_         1.79%     117.135ms         4.24%     277.383ms       4.041us      39.69 KB    -194.06 KB         68640  
                                        aten::transpose         1.79%     117.076ms         2.33%     152.437ms       1.486us           0 B           0 B        102600  
                                       aten::bernoulli_         1.62%     106.176ms         1.62%     106.176ms      18.562us           0 B           0 B          5720  
                                    aten::empty_strided         1.43%      93.338ms         1.43%      93.338ms       0.654us      40.33 MB      40.33 MB        142720  
                                              aten::add         1.34%      88.021ms         1.40%      91.925ms      11.293us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.27%      83.453ms         1.27%      83.453ms       0.827us           0 B           0 B        100860  
                                             aten::mul_         1.14%      74.371ms         2.47%     161.952ms       2.658us      20.27 KB     -97.05 KB         60920  
