-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        46.80%        3.061s        47.20%        3.087s       7.016ms       3.26 GB     -76.52 MB           440  
                                 aten::mkldnn_rnn_layer        14.15%     925.146ms        14.38%     940.091ms       1.741ms      27.55 GB      57.61 MB           540  
                                              aten::cat         9.50%     621.006ms         9.58%     626.709ms     241.042us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         6.87%     449.225ms        54.16%        3.541s       8.049ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.80%     379.129ms       100.00%        6.539s     653.937ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.21%     144.264ms        12.24%     800.697ms       1.430ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         2.07%     135.551ms         5.51%     360.205ms     818.649us           0 B      -1.43 GB           440  
                                            aten::copy_         1.45%      94.635ms         1.45%      94.635ms       4.814us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.97%      63.684ms         1.06%      69.630ms      17.583us      15.46 KB      15.46 KB          3960  
                                             aten::sqrt         0.67%      44.082ms         0.67%      44.082ms      12.523us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.65%      42.344ms         0.79%      51.679ms       7.341us        -452 B     -14.19 KB          7040  
                                              aten::div         0.47%      30.608ms         0.65%      42.468ms      12.065us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.44%      28.992ms         0.56%      36.491ms      33.788us       4.23 MB       4.23 MB          1080  
                                            aten::lerp_         0.44%      28.513ms         0.44%      28.513ms       8.100us           0 B           0 B          3520  
                                            aten::stack         0.40%      26.435ms        10.34%     676.273ms     260.105us       3.10 GB           0 B          2600  
                                         aten::addcdiv_         0.38%      25.019ms         0.38%      25.019ms       7.108us           0 B           0 B          3520  
                                         aten::_to_copy         0.34%      22.559ms         0.69%      45.092ms       2.847us      61.88 KB       1.33 KB         15840  
