-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        47.93%        2.977s        48.32%        3.001s       6.820ms       3.26 GB     -87.65 MB           440  
                                 aten::mkldnn_rnn_layer        14.62%     908.049ms        14.83%     920.840ms       1.705ms      27.55 GB     127.76 MB           540  
                                              aten::cat        10.01%     621.443ms        10.08%     626.210ms     240.850us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         5.69%     353.333ms        54.08%        3.359s       7.633ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.29%     328.447ms       100.00%        6.210s     621.001ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.07%     128.237ms        12.62%     783.416ms       1.399ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         1.96%     121.426ms         5.51%     342.209ms     777.748us           0 B      -1.43 GB           440  
                                            aten::copy_         1.43%      88.509ms         1.43%      88.509ms       4.502us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.96%      59.738ms         1.05%      65.002ms      16.415us      15.45 KB      15.45 KB          3960  
                                             aten::sqrt         0.78%      48.291ms         0.78%      48.291ms      13.719us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.65%      40.358ms         0.80%      49.464ms       7.026us        -220 B     -13.96 KB          7040  
                                              aten::div         0.50%      30.930ms         0.69%      42.605ms      12.104us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.41%      25.456ms         0.52%      32.496ms      30.089us       4.23 MB       4.23 MB          1080  
                                            aten::stack         0.40%      24.641ms        10.84%     673.305ms     258.964us       3.10 GB           0 B          2600  
                                            aten::lerp_         0.40%      24.554ms         0.40%      24.554ms       6.976us           0 B           0 B          3520  
                                         aten::addcdiv_         0.38%      23.294ms         0.38%      23.294ms       6.618us           0 B           0 B          3520  
                                         aten::_to_copy         0.35%      21.947ms         0.71%      44.212ms       2.791us      61.88 KB       1.43 KB         15840  
