[train_mean][LSTM efficiency] Running on device: cpu
[train_mean][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.026332 | val=RMSE:367.32|MAE:332.49|MAPE:23.52% | epoch_time=0.63s
[efficiency_mean] Epoch 002 | train=0.007224 | val=RMSE:307.74|MAE:277.55|MAPE:19.54% | epoch_time=0.60s
[efficiency_mean] Epoch 003 | train=0.005303 | val=RMSE:332.70|MAE:311.96|MAPE:21.81% | epoch_time=0.63s
[efficiency_mean] Epoch 004 | train=0.004714 | val=RMSE:336.60|MAE:319.29|MAPE:21.97% | epoch_time=0.62s
[efficiency_mean] Epoch 005 | train=0.004608 | val=RMSE:340.07|MAE:318.55|MAPE:22.27% | epoch_time=0.63s
[efficiency_mean] Epoch 006 | train=0.003979 | val=RMSE:296.91|MAE:273.34|MAPE:19.18% | epoch_time=0.61s
[efficiency_mean] Epoch 007 | train=0.003857 | val=RMSE:369.25|MAE:351.53|MAPE:24.51% | epoch_time=0.62s
[efficiency_mean] Epoch 008 | train=0.003489 | val=RMSE:344.17|MAE:328.82|MAPE:22.91% | epoch_time=0.62s
[efficiency_mean] Epoch 009 | train=0.003150 | val=RMSE:340.74|MAE:318.38|MAPE:22.30% | epoch_time=0.62s
[efficiency_mean] Epoch 010 | train=0.002934 | val=RMSE:344.19|MAE:316.32|MAPE:22.28% | epoch_time=0.62s
[efficiency_mean] Epoch 011 | train=0.002982 | val=RMSE:379.79|MAE:352.71|MAPE:24.86% | epoch_time=0.63s
[efficiency_mean] Epoch 012 | train=0.002850 | val=RMSE:346.11|MAE:315.92|MAPE:22.34% | epoch_time=25.35s
[efficiency_mean] Epoch 013 | train=0.002829 | val=RMSE:305.58|MAE:276.52|MAPE:19.57% | epoch_time=0.61s
[efficiency_mean] Epoch 014 | train=0.002880 | val=RMSE:310.27|MAE:283.28|MAPE:19.93% | epoch_time=0.61s
[efficiency_mean] Epoch 015 | train=0.002542 | val=RMSE:386.22|MAE:357.51|MAPE:25.19% | epoch_time=0.61s
[efficiency_mean] Epoch 016 | train=0.002542 | val=RMSE:398.40|MAE:360.04|MAPE:25.52% | epoch_time=0.61s
[efficiency_mean] Epoch 017 | train=0.002359 | val=RMSE:346.96|MAE:323.46|MAPE:22.74% | epoch_time=0.61s
[efficiency_mean] Epoch 018 | train=0.002291 | val=RMSE:308.66|MAE:274.38|MAPE:19.51% | epoch_time=0.62s
[efficiency_mean] Epoch 019 | train=0.002173 | val=RMSE:345.61|MAE:326.66|MAPE:22.82% | epoch_time=0.61s
[efficiency_mean] Epoch 020 | train=0.002112 | val=RMSE:253.63|MAE:230.14|MAPE:16.23% | epoch_time=0.61s
[efficiency_mean] Epoch 021 | train=0.002117 | val=RMSE:367.78|MAE:350.15|MAPE:24.46% | epoch_time=0.61s
[efficiency_mean] Epoch 022 | train=0.001989 | val=RMSE:245.14|MAE:225.11|MAPE:15.67% | epoch_time=0.62s
[efficiency_mean] Epoch 023 | train=0.001803 | val=RMSE:256.21|MAE:240.21|MAPE:16.73% | epoch_time=0.62s
[efficiency_mean] Epoch 024 | train=0.001829 | val=RMSE:292.44|MAE:275.54|MAPE:19.09% | epoch_time=0.62s
[efficiency_mean] Epoch 025 | train=0.001639 | val=RMSE:322.80|MAE:308.58|MAPE:21.37% | epoch_time=0.60s
[efficiency_mean] Epoch 026 | train=0.001660 | val=RMSE:287.62|MAE:271.17|MAPE:18.78% | epoch_time=0.61s
[efficiency_mean] Epoch 027 | train=0.001627 | val=RMSE:280.99|MAE:259.41|MAPE:18.10% | epoch_time=0.64s
[efficiency_mean] Epoch 028 | train=0.001805 | val=RMSE:345.39|MAE:331.04|MAPE:22.92% | epoch_time=0.63s
[efficiency_mean] Epoch 029 | train=0.001672 | val=RMSE:326.38|MAE:311.05|MAPE:21.49% | epoch_time=0.63s
[efficiency_mean] Epoch 030 | train=0.001514 | val=RMSE:327.74|MAE:309.24|MAPE:21.54% | epoch_time=0.63s
[efficiency_mean] Epoch 031 | train=0.001587 | val=RMSE:347.19|MAE:333.05|MAPE:23.08% | epoch_time=0.63s
[efficiency_mean] Epoch 032 | train=0.001507 | val=RMSE:350.89|MAE:332.47|MAPE:23.12% | epoch_time=0.64s
[efficiency_mean] Epoch 033 | train=0.001401 | val=RMSE:337.62|MAE:319.47|MAPE:22.19% | epoch_time=0.64s
[efficiency_mean] Epoch 034 | train=0.001376 | val=RMSE:348.88|MAE:333.79|MAPE:23.11% | epoch_time=0.63s
[efficiency_mean] Epoch 035 | train=0.001397 | val=RMSE:386.21|MAE:371.10|MAPE:25.66% | epoch_time=0.63s
[efficiency_mean] Epoch 036 | train=0.001338 | val=RMSE:305.28|MAE:286.72|MAPE:19.97% | epoch_time=0.64s
[efficiency_mean] Epoch 037 | train=0.001202 | val=RMSE:361.96|MAE:345.78|MAPE:23.96% | epoch_time=0.63s
[efficiency_mean] Epoch 038 | train=0.001274 | val=RMSE:390.44|MAE:375.26|MAPE:25.96% | epoch_time=0.64s
