-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        46.58%        3.036s        46.97%        3.061s       6.956ms       3.26 GB     -91.96 MB           440  
                                 aten::mkldnn_rnn_layer        14.09%     918.162ms        14.32%     933.065ms       1.728ms      27.55 GB     447.35 MB           540  
                                              aten::cat         9.64%     628.499ms         9.74%     634.999ms     244.230us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         6.75%     439.604ms        53.80%        3.506s       7.968ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.87%     382.337ms       100.00%        6.517s     651.682ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.21%     144.004ms        12.44%     810.897ms       1.448ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         2.06%     134.338ms         5.54%     360.971ms     820.388us           0 B      -1.43 GB           440  
                                            aten::copy_         1.44%      93.745ms         1.44%      93.745ms       4.768us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.98%      63.577ms         1.07%      69.464ms      17.541us      15.46 KB      15.46 KB          3960  
                                             aten::sqrt         0.69%      44.987ms         0.69%      44.987ms      12.780us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.65%      42.613ms         0.80%      51.860ms       7.367us        -408 B     -14.15 KB          7040  
                                            aten::addmm         0.47%      30.364ms         0.58%      37.924ms      35.115us       4.23 MB       4.23 MB          1080  
                                              aten::div         0.46%      29.722ms         0.64%      41.778ms      11.869us     731.98 MB     731.96 MB          3520  
                                            aten::lerp_         0.44%      28.689ms         0.44%      28.689ms       8.150us           0 B           0 B          3520  
                                            aten::stack         0.44%      28.427ms        10.53%     686.532ms     264.051us       3.10 GB           0 B          2600  
                                         aten::addcdiv_         0.38%      25.019ms         0.38%      25.019ms       7.108us           0 B           0 B          3520  
                                         aten::_to_copy         0.35%      23.052ms         0.70%      45.796ms       2.891us      61.88 KB       1.31 KB         15840  
