[train_mean][LSTM efficiency] Running on device: cpu
[train_mean][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.039596 | val=RMSE:564.25|MAE:499.07|MAPE:10.21% | epoch_time=0.64s
[efficiency_mean] Epoch 002 | train=0.013443 | val=RMSE:319.79|MAE:258.95|MAPE:5.33% | epoch_time=0.59s
[efficiency_mean] Epoch 003 | train=0.010845 | val=RMSE:454.66|MAE:387.87|MAPE:8.00% | epoch_time=0.63s
[efficiency_mean] Epoch 004 | train=0.008614 | val=RMSE:485.72|MAE:418.11|MAPE:8.61% | epoch_time=0.62s
[efficiency_mean] Epoch 005 | train=0.006889 | val=RMSE:423.15|MAE:348.53|MAPE:7.20% | epoch_time=0.62s
[efficiency_mean] Epoch 006 | train=0.006849 | val=RMSE:461.98|MAE:389.36|MAPE:8.01% | epoch_time=0.61s
[efficiency_mean] Epoch 007 | train=0.005688 | val=RMSE:476.69|MAE:400.76|MAPE:8.24% | epoch_time=0.62s
[efficiency_mean] Epoch 008 | train=0.005389 | val=RMSE:415.02|MAE:349.03|MAPE:7.15% | epoch_time=0.63s
[efficiency_mean] Epoch 009 | train=0.005242 | val=RMSE:394.89|MAE:323.79|MAPE:6.70% | epoch_time=0.62s
[efficiency_mean] Epoch 010 | train=0.005080 | val=RMSE:437.93|MAE:368.89|MAPE:7.62% | epoch_time=0.62s
[efficiency_mean] Epoch 011 | train=0.005088 | val=RMSE:442.72|MAE:382.90|MAPE:7.86% | epoch_time=0.62s
[efficiency_mean] Epoch 012 | train=0.004710 | val=RMSE:432.08|MAE:374.85|MAPE:7.66% | epoch_time=25.40s
[efficiency_mean] Epoch 013 | train=0.004522 | val=RMSE:392.49|MAE:337.17|MAPE:6.91% | epoch_time=0.63s
[efficiency_mean] Epoch 014 | train=0.004373 | val=RMSE:283.65|MAE:231.57|MAPE:4.78% | epoch_time=0.62s
[efficiency_mean] Epoch 015 | train=0.004035 | val=RMSE:448.73|MAE:399.62|MAPE:8.13% | epoch_time=0.62s
[efficiency_mean] Epoch 016 | train=0.003538 | val=RMSE:429.20|MAE:371.49|MAPE:7.65% | epoch_time=0.63s
[efficiency_mean] Epoch 017 | train=0.003490 | val=RMSE:391.56|MAE:337.05|MAPE:6.90% | epoch_time=0.62s
[efficiency_mean] Epoch 018 | train=0.003245 | val=RMSE:401.81|MAE:333.29|MAPE:6.90% | epoch_time=0.62s
[efficiency_mean] Epoch 019 | train=0.003274 | val=RMSE:452.99|MAE:400.95|MAPE:8.22% | epoch_time=0.62s
[efficiency_mean] Epoch 020 | train=0.003344 | val=RMSE:412.17|MAE:356.97|MAPE:7.33% | epoch_time=0.62s
[efficiency_mean] Epoch 021 | train=0.003109 | val=RMSE:465.85|MAE:406.57|MAPE:8.38% | epoch_time=0.62s
[efficiency_mean] Epoch 022 | train=0.003114 | val=RMSE:438.99|MAE:384.43|MAPE:7.91% | epoch_time=0.64s
[efficiency_mean] Epoch 023 | train=0.002619 | val=RMSE:530.60|MAE:480.08|MAPE:9.84% | epoch_time=0.63s
[efficiency_mean] Epoch 024 | train=0.002407 | val=RMSE:433.43|MAE:377.22|MAPE:7.75% | epoch_time=0.62s
[efficiency_mean] Epoch 025 | train=0.002758 | val=RMSE:440.33|MAE:393.76|MAPE:8.04% | epoch_time=0.60s
[efficiency_mean] Epoch 026 | train=0.002346 | val=RMSE:392.23|MAE:331.91|MAPE:6.82% | epoch_time=0.60s
[efficiency_mean] Epoch 027 | train=0.002115 | val=RMSE:499.35|MAE:447.47|MAPE:9.12% | epoch_time=0.60s
[efficiency_mean] Epoch 028 | train=0.002266 | val=RMSE:509.19|MAE:455.99|MAPE:9.34% | epoch_time=0.60s
[efficiency_mean] Epoch 029 | train=0.002147 | val=RMSE:492.13|MAE:436.81|MAPE:8.93% | epoch_time=0.61s
[efficiency_mean] Epoch 030 | train=0.002052 | val=RMSE:517.33|MAE:467.54|MAPE:9.55% | epoch_time=0.62s
[efficiency_mean] Epoch 031 | train=0.002208 | val=RMSE:500.31|MAE:452.17|MAPE:9.22% | epoch_time=0.62s
[efficiency_mean] Epoch 032 | train=0.002153 | val=RMSE:451.24|MAE:398.26|MAPE:8.17% | epoch_time=0.61s
[efficiency_mean] Epoch 033 | train=0.001942 | val=RMSE:377.16|MAE:315.39|MAPE:6.49% | epoch_time=0.62s
[efficiency_mean] Epoch 034 | train=0.001775 | val=RMSE:480.68|MAE:429.47|MAPE:8.78% | epoch_time=0.61s
[efficiency_mean] Epoch 035 | train=0.001798 | val=RMSE:432.54|MAE:380.99|MAPE:7.80% | epoch_time=0.61s
