-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        48.02%        2.852s        48.42%        2.876s       6.536ms       3.26 GB     -79.13 MB           440  
                                 aten::mkldnn_rnn_layer        14.53%     863.113ms        14.73%     874.943ms       1.620ms      27.55 GB     447.45 MB           540  
                                              aten::cat        10.18%     604.787ms        10.26%     609.358ms     234.368us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         5.69%     338.139ms        54.19%        3.218s       7.314ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.30%     314.993ms       100.00%        5.939s     593.922ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.07%     122.688ms        12.79%     759.777ms       1.357ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         1.93%     114.398ms         5.36%     318.233ms     723.256us           0 B      -1.43 GB           440  
                                            aten::copy_         1.39%      82.622ms         1.39%      82.622ms       4.203us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.97%      57.473ms         1.05%      62.537ms      15.792us      15.42 KB      15.42 KB          3960  
                                             aten::sqrt         0.69%      41.116ms         0.69%      41.116ms      11.681us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.65%      38.628ms         0.80%      47.258ms       6.713us        -308 B     -14.05 KB          7040  
                                              aten::div         0.49%      29.183ms         0.68%      40.444ms      11.490us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.41%      24.198ms         0.52%      31.027ms      28.729us       4.23 MB       4.23 MB          1080  
                                            aten::lerp_         0.40%      24.042ms         0.40%      24.042ms       6.830us           0 B           0 B          3520  
                                            aten::stack         0.39%      23.360ms        11.01%     653.951ms     251.519us       3.10 GB           0 B          2600  
                                         aten::addcdiv_         0.37%      21.877ms         0.37%      21.877ms       6.215us           0 B           0 B          3520  
                                         aten::_to_copy         0.35%      21.051ms         0.70%      41.300ms       2.607us      61.88 KB       1.91 KB         15840  
