[train_mean][LSTM efficiency] Running on device: cpu
[train_mean][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.027219 | val=RMSE:912.31|MAE:754.98|MAPE:7.44% | epoch_time=0.61s
[efficiency_mean] Epoch 002 | train=0.006732 | val=RMSE:1199.96|MAE:1079.11|MAPE:10.68% | epoch_time=0.58s
[efficiency_mean] Epoch 003 | train=0.004784 | val=RMSE:1293.83|MAE:1201.29|MAPE:11.93% | epoch_time=0.61s
[efficiency_mean] Epoch 004 | train=0.004049 | val=RMSE:1104.96|MAE:982.77|MAPE:9.71% | epoch_time=0.60s
[efficiency_mean] Epoch 005 | train=0.003704 | val=RMSE:1183.44|MAE:1079.50|MAPE:10.70% | epoch_time=0.59s
[efficiency_mean] Epoch 006 | train=0.003328 | val=RMSE:1171.60|MAE:1066.62|MAPE:10.57% | epoch_time=0.60s
[efficiency_mean] Epoch 007 | train=0.003060 | val=RMSE:1044.75|MAE:925.30|MAPE:9.14% | epoch_time=0.59s
[efficiency_mean] Epoch 008 | train=0.002884 | val=RMSE:1012.50|MAE:908.48|MAPE:8.99% | epoch_time=0.59s
[efficiency_mean] Epoch 009 | train=0.002585 | val=RMSE:1151.03|MAE:1053.71|MAPE:10.45% | epoch_time=0.58s
[efficiency_mean] Epoch 010 | train=0.002515 | val=RMSE:1120.45|MAE:1029.08|MAPE:10.21% | epoch_time=0.59s
[efficiency_mean] Epoch 011 | train=0.002338 | val=RMSE:1150.17|MAE:1057.91|MAPE:10.49% | epoch_time=0.60s
[efficiency_mean] Epoch 012 | train=0.002145 | val=RMSE:1062.56|MAE:965.67|MAPE:9.57% | epoch_time=24.48s
[efficiency_mean] Epoch 013 | train=0.002164 | val=RMSE:1002.85|MAE:906.55|MAPE:8.98% | epoch_time=0.57s
[efficiency_mean] Epoch 014 | train=0.002084 | val=RMSE:1056.24|MAE:950.98|MAPE:9.41% | epoch_time=0.59s
[efficiency_mean] Epoch 015 | train=0.001768 | val=RMSE:1175.48|MAE:1069.33|MAPE:10.60% | epoch_time=0.59s
[efficiency_mean] Epoch 016 | train=0.001868 | val=RMSE:1242.00|MAE:1156.09|MAPE:11.49% | epoch_time=0.58s
[efficiency_mean] Epoch 017 | train=0.001804 | val=RMSE:1112.89|MAE:1011.46|MAPE:10.02% | epoch_time=0.57s
[efficiency_mean] Epoch 018 | train=0.001664 | val=RMSE:1009.02|MAE:908.62|MAPE:8.99% | epoch_time=0.57s
[efficiency_mean] Epoch 019 | train=0.001730 | val=RMSE:1037.16|MAE:947.82|MAPE:9.39% | epoch_time=0.57s
[efficiency_mean] Epoch 020 | train=0.001616 | val=RMSE:936.41|MAE:843.77|MAPE:8.36% | epoch_time=0.58s
[efficiency_mean] Epoch 021 | train=0.001467 | val=RMSE:1080.34|MAE:973.62|MAPE:9.64% | epoch_time=0.57s
[efficiency_mean] Epoch 022 | train=0.001496 | val=RMSE:1097.16|MAE:1006.30|MAPE:9.98% | epoch_time=0.57s
[efficiency_mean] Epoch 023 | train=0.001435 | val=RMSE:1126.10|MAE:1027.22|MAPE:10.18% | epoch_time=0.58s
[efficiency_mean] Epoch 024 | train=0.001408 | val=RMSE:1051.72|MAE:951.73|MAPE:9.43% | epoch_time=0.59s
[efficiency_mean] Epoch 025 | train=0.001395 | val=RMSE:1039.11|MAE:941.98|MAPE:9.33% | epoch_time=0.59s
[efficiency_mean] Epoch 026 | train=0.001320 | val=RMSE:1147.66|MAE:1052.39|MAPE:10.44% | epoch_time=0.57s
[efficiency_mean] Epoch 027 | train=0.001258 | val=RMSE:1131.58|MAE:1036.14|MAPE:10.28% | epoch_time=0.58s
[efficiency_mean] Epoch 028 | train=0.001281 | val=RMSE:1074.28|MAE:973.52|MAPE:9.65% | epoch_time=0.58s
[efficiency_mean] Epoch 029 | train=0.001124 | val=RMSE:1153.05|MAE:1059.98|MAPE:10.52% | epoch_time=0.58s
[efficiency_mean] Epoch 030 | train=0.001182 | val=RMSE:1021.68|MAE:923.01|MAPE:9.14% | epoch_time=0.59s
[efficiency_mean] Epoch 031 | train=0.001265 | val=RMSE:1193.43|MAE:1092.29|MAPE:10.84% | epoch_time=0.58s
[efficiency_mean] Epoch 032 | train=0.001141 | val=RMSE:1130.23|MAE:1042.76|MAPE:10.35% | epoch_time=0.59s
[efficiency_mean] Epoch 033 | train=0.001023 | val=RMSE:1103.43|MAE:1007.05|MAPE:9.98% | epoch_time=0.58s
[efficiency_mean] Epoch 034 | train=0.001090 | val=RMSE:1167.60|MAE:1085.59|MAPE:10.78% | epoch_time=0.58s
[efficiency_mean] Epoch 035 | train=0.000987 | val=RMSE:1067.46|MAE:963.51|MAPE:9.55% | epoch_time=0.58s
[efficiency_mean] Epoch 036 | train=0.000967 | val=RMSE:1185.62|MAE:1077.77|MAPE:10.69% | epoch_time=0.59s
[efficiency_mean] Epoch 037 | train=0.001013 | val=RMSE:1173.11|MAE:1064.01|MAPE:10.55% | epoch_time=0.59s
[efficiency_mean] Epoch 038 | train=0.001002 | val=RMSE:1142.12|MAE:1044.68|MAPE:10.36% | epoch_time=0.58s
[efficiency_mean] Epoch 039 | train=0.000970 | val=RMSE:1114.20|MAE:1027.39|MAPE:10.20% | epoch_time=0.59s
[efficiency_mean] Epoch 040 | train=0.000908 | val=RMSE:1196.46|MAE:1102.93|MAPE:10.95% | epoch_time=0.59s
[efficiency_mean] Epoch 041 | train=0.000843 | val=RMSE:1143.34|MAE:1057.19|MAPE:10.50% | epoch_time=0.59s
[efficiency_mean] Epoch 042 | train=0.000914 | val=RMSE:1172.02|MAE:1087.87|MAPE:10.81% | epoch_time=0.59s
[efficiency_mean] Epoch 043 | train=0.000818 | val=RMSE:1347.38|MAE:1250.48|MAPE:12.44% | epoch_time=0.59s
[efficiency_mean] Epoch 044 | train=0.000886 | val=RMSE:1249.55|MAE:1142.03|MAPE:11.34% | epoch_time=0.59s
[efficiency_mean] Epoch 045 | train=0.000835 | val=RMSE:1167.79|MAE:1066.45|MAPE:10.58% | epoch_time=0.58s
[efficiency_mean] Epoch 046 | train=0.000903 | val=RMSE:1084.80|MAE:980.87|MAPE:9.72% | epoch_time=0.58s
[efficiency_mean] Epoch 047 | train=0.000803 | val=RMSE:1075.45|MAE:982.10|MAPE:9.74% | epoch_time=0.58s
[efficiency_mean] Epoch 048 | train=0.000892 | val=RMSE:1172.18|MAE:1063.49|MAPE:10.55% | epoch_time=0.59s
[efficiency_mean] Epoch 049 | train=0.000856 | val=RMSE:1229.16|MAE:1130.41|MAPE:11.22% | epoch_time=0.58s
[efficiency_mean] Epoch 050 | train=0.000739 | val=RMSE:1204.97|MAE:1119.63|MAPE:11.12% | epoch_time=0.58s
[efficiency_mean] Epoch 051 | train=0.000809 | val=RMSE:1401.51|MAE:1316.19|MAPE:13.10% | epoch_time=0.58s
[efficiency_mean] Epoch 052 | train=0.000763 | val=RMSE:1187.50|MAE:1096.97|MAPE:10.89% | epoch_time=0.60s
[efficiency_mean] Epoch 053 | train=0.000713 | val=RMSE:1152.85|MAE:1063.48|MAPE:10.56% | epoch_time=0.58s
[efficiency_mean] Epoch 054 | train=0.000695 | val=RMSE:1166.08|MAE:1071.44|MAPE:10.64% | epoch_time=0.59s
[efficiency_mean] Epoch 055 | train=0.000733 | val=RMSE:1262.20|MAE:1174.93|MAPE:11.68% | epoch_time=0.58s
[efficiency_mean] Epoch 056 | train=0.000741 | val=RMSE:1194.36|MAE:1100.90|MAPE:10.93% | epoch_time=0.59s
[efficiency_mean] Epoch 057 | train=0.000706 | val=RMSE:1079.60|MAE:974.04|MAPE:9.65% | epoch_time=0.59s
