[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.022469 | val=RMSE:804.97|MAE:652.73|MAPE:5.68% | epoch_time=0.66s
[efficiency_close] Epoch 002 | train=0.006724 | val=RMSE:736.65|MAE:610.00|MAPE:5.33% | epoch_time=0.62s
[efficiency_close] Epoch 003 | train=0.005351 | val=RMSE:740.22|MAE:593.62|MAPE:5.17% | epoch_time=0.63s
[efficiency_close] Epoch 004 | train=0.004528 | val=RMSE:787.17|MAE:640.21|MAPE:5.58% | epoch_time=0.64s
[efficiency_close] Epoch 005 | train=0.004018 | val=RMSE:923.62|MAE:745.48|MAPE:6.45% | epoch_time=0.63s
[efficiency_close] Epoch 006 | train=0.003451 | val=RMSE:773.61|MAE:617.29|MAPE:5.36% | epoch_time=0.65s
[efficiency_close] Epoch 007 | train=0.003480 | val=RMSE:746.30|MAE:601.95|MAPE:5.25% | epoch_time=0.64s
[efficiency_close] Epoch 008 | train=0.003055 | val=RMSE:784.05|MAE:642.33|MAPE:5.59% | epoch_time=0.64s
[efficiency_close] Epoch 009 | train=0.003009 | val=RMSE:720.39|MAE:580.31|MAPE:5.09% | epoch_time=0.63s
[efficiency_close] Epoch 010 | train=0.002877 | val=RMSE:800.26|MAE:643.56|MAPE:5.59% | epoch_time=0.63s
[efficiency_close] Epoch 011 | train=0.002623 | val=RMSE:721.18|MAE:567.00|MAPE:4.95% | epoch_time=0.62s
[efficiency_close] Epoch 012 | train=0.002619 | val=RMSE:838.57|MAE:674.92|MAPE:5.86% | epoch_time=25.33s
[efficiency_close] Epoch 013 | train=0.002267 | val=RMSE:779.26|MAE:620.76|MAPE:5.41% | epoch_time=0.61s
[efficiency_close] Epoch 014 | train=0.002334 | val=RMSE:825.62|MAE:652.80|MAPE:5.66% | epoch_time=0.61s
[efficiency_close] Epoch 015 | train=0.002333 | val=RMSE:817.83|MAE:643.35|MAPE:5.58% | epoch_time=0.61s
