[train_mean][LSTM efficiency] Running on device: cpu
[train_mean][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.025288 | val=RMSE:707.05|MAE:568.78|MAPE:4.98% | epoch_time=0.64s
[efficiency_mean] Epoch 002 | train=0.007317 | val=RMSE:814.08|MAE:673.34|MAPE:5.87% | epoch_time=0.61s
[efficiency_mean] Epoch 003 | train=0.005501 | val=RMSE:678.55|MAE:546.44|MAPE:4.81% | epoch_time=0.64s
[efficiency_mean] Epoch 004 | train=0.004592 | val=RMSE:765.91|MAE:617.03|MAPE:5.38% | epoch_time=0.63s
[efficiency_mean] Epoch 005 | train=0.004059 | val=RMSE:701.78|MAE:568.95|MAPE:4.99% | epoch_time=0.63s
[efficiency_mean] Epoch 006 | train=0.003777 | val=RMSE:815.74|MAE:657.91|MAPE:5.72% | epoch_time=0.62s
[efficiency_mean] Epoch 007 | train=0.003680 | val=RMSE:768.41|MAE:609.17|MAPE:5.30% | epoch_time=0.62s
[efficiency_mean] Epoch 008 | train=0.003215 | val=RMSE:747.70|MAE:586.91|MAPE:5.11% | epoch_time=0.62s
[efficiency_mean] Epoch 009 | train=0.002846 | val=RMSE:873.65|MAE:712.13|MAPE:6.19% | epoch_time=0.61s
[efficiency_mean] Epoch 010 | train=0.002630 | val=RMSE:793.85|MAE:633.70|MAPE:5.51% | epoch_time=0.62s
[efficiency_mean] Epoch 011 | train=0.002480 | val=RMSE:795.15|MAE:639.43|MAPE:5.56% | epoch_time=0.62s
[efficiency_mean] Epoch 012 | train=0.002460 | val=RMSE:802.71|MAE:634.82|MAPE:5.51% | epoch_time=25.29s
[efficiency_mean] Epoch 013 | train=0.002186 | val=RMSE:756.35|MAE:591.25|MAPE:5.13% | epoch_time=0.60s
[efficiency_mean] Epoch 014 | train=0.002081 | val=RMSE:889.61|MAE:714.13|MAPE:6.19% | epoch_time=0.60s
[efficiency_mean] Epoch 015 | train=0.001996 | val=RMSE:890.73|MAE:715.13|MAPE:6.20% | epoch_time=0.61s
[efficiency_mean] Epoch 016 | train=0.002029 | val=RMSE:700.75|MAE:555.63|MAPE:4.86% | epoch_time=0.60s
[efficiency_mean] Epoch 017 | train=0.001902 | val=RMSE:816.54|MAE:646.57|MAPE:5.61% | epoch_time=0.60s
[efficiency_mean] Epoch 018 | train=0.001857 | val=RMSE:832.79|MAE:660.29|MAPE:5.73% | epoch_time=0.60s
[efficiency_mean] Epoch 019 | train=0.001866 | val=RMSE:710.90|MAE:551.03|MAPE:4.80% | epoch_time=0.60s
[efficiency_mean] Epoch 020 | train=0.001873 | val=RMSE:842.37|MAE:668.63|MAPE:5.80% | epoch_time=0.60s
[efficiency_mean] Epoch 021 | train=0.001591 | val=RMSE:896.03|MAE:710.74|MAPE:6.15% | epoch_time=0.59s
[efficiency_mean] Epoch 022 | train=0.001393 | val=RMSE:811.84|MAE:630.50|MAPE:5.46% | epoch_time=0.59s
[efficiency_mean] Epoch 023 | train=0.001589 | val=RMSE:836.78|MAE:650.75|MAPE:5.63% | epoch_time=0.60s
[efficiency_mean] Epoch 024 | train=0.001454 | val=RMSE:817.63|MAE:633.88|MAPE:5.49% | epoch_time=0.60s
[efficiency_mean] Epoch 025 | train=0.001433 | val=RMSE:824.06|MAE:658.52|MAPE:5.72% | epoch_time=0.60s
[efficiency_mean] Epoch 026 | train=0.001386 | val=RMSE:758.25|MAE:584.57|MAPE:5.08% | epoch_time=0.60s
[efficiency_mean] Epoch 027 | train=0.001342 | val=RMSE:832.79|MAE:659.79|MAPE:5.72% | epoch_time=0.61s
[efficiency_mean] Epoch 028 | train=0.001338 | val=RMSE:849.76|MAE:669.07|MAPE:5.80% | epoch_time=0.60s
[efficiency_mean] Epoch 029 | train=0.001125 | val=RMSE:805.01|MAE:626.42|MAPE:5.43% | epoch_time=0.60s
[efficiency_mean] Epoch 030 | train=0.001061 | val=RMSE:778.49|MAE:607.82|MAPE:5.28% | epoch_time=0.60s
[efficiency_mean] Epoch 031 | train=0.001171 | val=RMSE:848.42|MAE:664.52|MAPE:5.76% | epoch_time=0.60s
[efficiency_mean] Epoch 032 | train=0.001060 | val=RMSE:778.80|MAE:615.78|MAPE:5.35% | epoch_time=0.60s
[efficiency_mean] Epoch 033 | train=0.001043 | val=RMSE:860.72|MAE:678.12|MAPE:5.88% | epoch_time=0.60s
[efficiency_mean] Epoch 034 | train=0.001225 | val=RMSE:870.26|MAE:685.15|MAPE:5.93% | epoch_time=0.59s
