-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        47.96%        2.972s        48.35%        2.997s       6.811ms       3.26 GB     -95.25 MB           440  
                                 aten::mkldnn_rnn_layer        14.51%     899.435ms        14.71%     911.845ms       1.689ms      27.55 GB     127.64 MB           540  
                                              aten::cat         9.96%     617.206ms        10.04%     621.953ms     239.213us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         6.06%     375.507ms        54.49%        3.377s       7.674ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.28%     327.015ms       100.00%        6.198s     619.753ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.05%     127.019ms        12.55%     777.778ms       1.389ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         1.90%     117.640ms         5.35%     331.806ms     754.105us           0 B      -1.43 GB           440  
                                            aten::copy_         1.42%      87.745ms         1.42%      87.745ms       4.463us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.96%      59.392ms         1.04%      64.729ms      16.346us      15.46 KB      15.46 KB          3960  
                                             aten::sqrt         0.70%      43.502ms         0.70%      43.502ms      12.359us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.64%      39.587ms         0.79%      48.699ms       6.918us        -240 B     -13.98 KB          7040  
                                              aten::div         0.51%      31.383ms         0.70%      43.187ms      12.269us     731.98 MB     731.96 MB          3520  
                                            aten::stack         0.39%      24.388ms        10.79%     668.562ms     257.139us       3.10 GB           0 B          2600  
                                            aten::addmm         0.39%      24.331ms         0.51%      31.361ms      29.038us       4.23 MB       4.23 MB          1080  
                                            aten::lerp_         0.39%      24.268ms         0.39%      24.268ms       6.894us           0 B           0 B          3520  
                                         aten::addcdiv_         0.37%      22.726ms         0.37%      22.726ms       6.456us           0 B           0 B          3520  
                                         aten::_to_copy         0.36%      22.226ms         0.71%      44.186ms       2.789us      61.88 KB       1.40 KB         15840  
