[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.036028 | val=RMSE:523.92|MAE:475.01|MAPE:15.21% | epoch_time=0.64s
[efficiency_close] Epoch 002 | train=0.010408 | val=RMSE:498.79|MAE:439.56|MAPE:14.21% | epoch_time=0.60s
[efficiency_close] Epoch 003 | train=0.007870 | val=RMSE:557.28|MAE:474.52|MAPE:15.52% | epoch_time=0.62s
[efficiency_close] Epoch 004 | train=0.007463 | val=RMSE:530.09|MAE:476.73|MAPE:15.32% | epoch_time=0.63s
[efficiency_close] Epoch 005 | train=0.006351 | val=RMSE:536.96|MAE:473.33|MAPE:15.39% | epoch_time=0.62s
[efficiency_close] Epoch 006 | train=0.005058 | val=RMSE:550.60|MAE:476.95|MAPE:15.57% | epoch_time=0.62s
[efficiency_close] Epoch 007 | train=0.004800 | val=RMSE:542.00|MAE:483.73|MAPE:15.64% | epoch_time=0.62s
[efficiency_close] Epoch 008 | train=0.004753 | val=RMSE:559.90|MAE:489.22|MAPE:15.99% | epoch_time=0.61s
[efficiency_close] Epoch 009 | train=0.004417 | val=RMSE:554.68|MAE:480.21|MAPE:15.68% | epoch_time=0.62s
[efficiency_close] Epoch 010 | train=0.004421 | val=RMSE:461.46|MAE:415.69|MAPE:13.26% | epoch_time=0.61s
[efficiency_close] Epoch 011 | train=0.004343 | val=RMSE:527.07|MAE:457.56|MAPE:14.91% | epoch_time=0.63s
[efficiency_close] Epoch 012 | train=0.004173 | val=RMSE:538.61|MAE:470.09|MAPE:15.29% | epoch_time=25.48s
[efficiency_close] Epoch 013 | train=0.003941 | val=RMSE:541.01|MAE:469.09|MAPE:15.29% | epoch_time=0.60s
[efficiency_close] Epoch 014 | train=0.003761 | val=RMSE:516.66|MAE:456.40|MAPE:14.70% | epoch_time=0.60s
[efficiency_close] Epoch 015 | train=0.003826 | val=RMSE:640.24|MAE:544.58|MAPE:17.89% | epoch_time=0.60s
[efficiency_close] Epoch 016 | train=0.003941 | val=RMSE:509.88|MAE:452.70|MAPE:14.61% | epoch_time=0.61s
[efficiency_close] Epoch 017 | train=0.003272 | val=RMSE:538.29|MAE:467.93|MAPE:15.19% | epoch_time=0.61s
[efficiency_close] Epoch 018 | train=0.003183 | val=RMSE:519.89|MAE:439.51|MAPE:14.38% | epoch_time=0.61s
