-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.55%        1.837s        22.55%        1.837s     521.877us           0 B           0 B          3520  
                             aten::convolution_backward        18.65%        1.519s        19.35%        1.576s     398.041us       1.72 GB     301.75 KB          3960  
                               aten::mkldnn_convolution        15.06%        1.227s        15.38%        1.253s     257.758us       1.10 GB       1.17 MB          4860  
                                          ProfilerStep*         7.62%     620.491ms       100.00%        8.146s     814.622ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         6.85%     557.651ms         6.89%     561.543ms     369.436us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.88%     315.964ms         3.88%     315.964ms       6.217us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.75%     223.936ms         7.92%     645.189ms       1.466ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.71%     139.030ms         9.01%     733.949ms       1.311ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.62%     131.819ms         1.63%     132.993ms      17.780us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.21%      98.591ms         1.21%      98.591ms      14.165us           0 B           0 B          6960  
                                        aten::clamp_min         1.10%      89.883ms         1.10%      89.883ms      20.806us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.05%      85.204ms         1.32%     107.420ms       6.103us      -1.02 KB     -35.39 KB         17600  
                               aten::linalg_vector_norm         0.90%      73.637ms         0.97%      79.362ms       8.589us      36.07 KB      36.07 KB          9240  
                               aten::threshold_backward         0.82%      66.530ms         0.82%      66.530ms      18.901us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.78%      63.245ms         1.05%      85.803ms      21.667us       2.92 KB     -12.55 KB          3960  
                                              aten::div         0.71%      57.857ms         1.03%      84.301ms       9.580us     841.98 MB     841.95 MB          8800  
                                            aten::lerp_         0.69%      55.806ms         0.69%      55.806ms       6.342us           0 B           0 B          8800  
                                         aten::_to_copy         0.65%      52.739ms         1.29%     105.044ms       2.623us     156.41 KB       5.39 KB         40040  
