-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.55%        1.830s        22.55%        1.830s     519.848us           0 B           0 B          3520  
                             aten::convolution_backward        18.70%        1.517s        19.38%        1.572s     397.063us       1.72 GB     294.50 KB          3960  
                               aten::mkldnn_convolution        15.07%        1.223s        15.38%        1.248s     256.846us       1.10 GB       1.62 MB          4860  
                                          ProfilerStep*         7.63%     618.789ms       100.00%        8.115s     811.505ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         6.90%     559.989ms         6.95%     563.977ms     371.037us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.83%     311.107ms         3.83%     311.107ms       6.122us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.73%     221.324ms         7.89%     640.372ms       1.455ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.69%     136.919ms         9.05%     734.143ms       1.311ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.62%     131.107ms         1.63%     132.262ms      17.682us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.23%      99.889ms         1.23%      99.889ms      14.352us           0 B           0 B          6960  
                                        aten::clamp_min         1.10%      88.899ms         1.10%      88.899ms      20.578us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.03%      83.488ms         1.30%     105.641ms       6.002us        -272 B     -34.64 KB         17600  
                               aten::linalg_vector_norm         0.90%      73.357ms         0.98%      79.479ms       8.602us      36.07 KB      36.07 KB          9240  
                               aten::threshold_backward         0.82%      66.682ms         0.82%      66.682ms      18.944us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.78%      63.502ms         1.06%      85.792ms      21.665us       2.77 KB     -12.70 KB          3960  
                                              aten::div         0.72%      58.059ms         1.05%      84.847ms       9.642us     841.98 MB     841.95 MB          8800  
                                            aten::lerp_         0.69%      56.029ms         0.69%      56.029ms       6.367us           0 B           0 B          8800  
                                         aten::_to_copy         0.65%      52.616ms         1.29%     104.899ms       2.620us     156.41 KB       5.35 KB         40040  
