[train_close][TCN efficiency] Running on device: cpu
[train_close][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.316701 | val=RMSE:471.18|MAE:388.92|MAPE:7.86% | epoch_time=0.83s
[efficiency_close] Epoch 002 | train=0.036003 | val=RMSE:371.72|MAE:299.60|MAPE:6.11% | epoch_time=0.75s
[efficiency_close] Epoch 003 | train=0.010150 | val=RMSE:290.38|MAE:229.74|MAPE:4.71% | epoch_time=0.82s
[efficiency_close] Epoch 004 | train=0.008497 | val=RMSE:262.21|MAE:206.82|MAPE:4.16% | epoch_time=0.82s
[efficiency_close] Epoch 005 | train=0.004685 | val=RMSE:375.84|MAE:329.42|MAPE:6.68% | epoch_time=0.82s
[efficiency_close] Epoch 006 | train=0.003755 | val=RMSE:268.33|MAE:221.14|MAPE:4.51% | epoch_time=0.83s
[efficiency_close] Epoch 007 | train=0.003182 | val=RMSE:194.27|MAE:154.30|MAPE:3.13% | epoch_time=0.82s
[efficiency_close] Epoch 008 | train=0.002218 | val=RMSE:166.21|MAE:130.23|MAPE:2.64% | epoch_time=0.81s
[efficiency_close] Epoch 009 | train=0.002684 | val=RMSE:287.94|MAE:245.54|MAPE:5.00% | epoch_time=0.82s
[efficiency_close] Epoch 010 | train=0.001579 | val=RMSE:197.14|MAE:155.53|MAPE:3.17% | epoch_time=0.82s
[efficiency_close] Epoch 011 | train=0.001296 | val=RMSE:211.90|MAE:172.20|MAPE:3.52% | epoch_time=0.81s
[efficiency_close] Epoch 012 | train=0.001213 | val=RMSE:201.01|MAE:154.94|MAPE:3.15% | epoch_time=61.24s
[efficiency_close] Epoch 013 | train=0.001024 | val=RMSE:210.92|MAE:176.26|MAPE:3.59% | epoch_time=0.76s
[efficiency_close] Epoch 014 | train=0.001178 | val=RMSE:218.89|MAE:177.69|MAPE:3.64% | epoch_time=0.76s
[efficiency_close] Epoch 015 | train=0.000925 | val=RMSE:221.79|MAE:188.85|MAPE:3.83% | epoch_time=0.77s
