-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.53%        1.673s        22.53%        1.673s     475.155us           0 B           0 B          3520  
                             aten::convolution_backward        18.34%        1.361s        19.00%        1.411s     356.225us       1.72 GB       1.94 MB          3960  
                               aten::mkldnn_convolution        14.98%        1.112s        15.28%        1.135s     233.511us       1.10 GB       4.22 MB          4860  
                                          ProfilerStep*         7.59%     563.305ms       100.00%        7.425s     742.476ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         7.19%     534.015ms         7.24%     537.697ms     353.748us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.96%     294.259ms         3.96%     294.259ms       5.790us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.73%     202.718ms         7.94%     589.789ms       1.340ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.70%     125.947ms         9.35%     694.470ms       1.240ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.64%     121.735ms         1.65%     122.786ms      16.415us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.24%      91.872ms         1.24%      91.872ms      13.200us           0 B           0 B          6960  
                                        aten::clamp_min         1.11%      82.517ms         1.11%      82.517ms      19.101us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.08%      80.252ms         1.36%     100.910ms       5.733us        -360 B     -34.73 KB         17600  
                               aten::linalg_vector_norm         0.92%      68.609ms         1.00%      74.035ms       8.012us      36.04 KB      36.04 KB          9240  
                               aten::threshold_backward         0.86%      63.534ms         0.86%      63.534ms      18.049us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.78%      57.557ms         1.05%      77.627ms      19.603us       3.72 KB     -11.75 KB          3960  
                                            aten::lerp_         0.72%      53.104ms         0.72%      53.104ms       6.035us           0 B           0 B          8800  
                                              aten::div         0.71%      52.501ms         1.02%      75.792ms       8.613us     841.98 MB     841.95 MB          8800  
                                         aten::addcdiv_         0.66%      49.369ms         0.66%      49.369ms       5.610us           0 B           0 B          8800  
