-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        21.84%        1.829s        21.84%        1.829s     519.615us           0 B           0 B          3520  
                             aten::convolution_backward        18.71%        1.567s        19.39%        1.624s     410.166us       1.72 GB     517.00 KB          3960  
                               aten::mkldnn_convolution        14.97%        1.254s        15.29%        1.280s     263.415us       1.10 GB       2.34 MB          4860  
                                          ProfilerStep*         8.05%     674.206ms       100.00%        8.375s     837.544ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         6.78%     568.057ms         6.83%     571.974ms     376.299us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.87%     324.068ms         3.87%     324.068ms       6.377us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.82%     236.362ms         7.97%     667.353ms       1.517ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.77%     148.136ms         9.00%     753.715ms       1.346ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.64%     137.467ms         1.66%     138.649ms      18.536us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.31%     109.695ms         1.31%     109.695ms      15.761us           0 B           0 B          6960  
                                        aten::clamp_min         1.08%      90.298ms         1.08%      90.298ms      20.902us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.03%      86.414ms         1.31%     109.508ms       6.222us        -432 B     -34.80 KB         17600  
                               aten::linalg_vector_norm         0.92%      77.067ms         0.99%      82.972ms       8.980us      36.07 KB      36.07 KB          9240  
                               aten::threshold_backward         0.85%      71.450ms         0.85%      71.450ms      20.298us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.77%      64.519ms         1.04%      87.234ms      22.029us       3.20 KB     -12.27 KB          3960  
                                            aten::lerp_         0.71%      59.217ms         0.71%      59.217ms       6.729us           0 B           0 B          8800  
                                              aten::div         0.69%      57.474ms         1.01%      84.438ms       9.595us     841.98 MB     841.95 MB          8800  
                                             aten::add_         0.65%      54.472ms         1.26%     105.137ms       5.557us       5.57 KB     -63.18 KB         18920  
