-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.46%        1.676s        22.46%        1.676s     476.080us           0 B           0 B          3520  
                             aten::convolution_backward        18.20%        1.358s        18.87%        1.408s     355.473us       1.72 GB       1.02 MB          3960  
                               aten::mkldnn_convolution        14.88%        1.110s        15.18%        1.133s     233.096us       1.10 GB       2.67 MB          4860  
                                          ProfilerStep*         7.61%     567.503ms       100.00%        7.461s     746.094ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         7.24%     539.816ms         7.28%     543.514ms     357.575us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.94%     294.256ms         3.94%     294.256ms       5.790us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.73%     203.555ms         7.99%     595.799ms       1.354ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.72%     127.985ms         9.42%     702.724ms       1.255ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.65%     123.317ms         1.67%     124.442ms      16.637us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.24%      92.776ms         1.24%      92.776ms      13.330us           0 B           0 B          6960  
                                        aten::clamp_min         1.14%      84.775ms         1.14%      84.775ms      19.624us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.10%      81.776ms         1.37%     102.544ms       5.826us        -880 B     -35.23 KB         17600  
                               aten::linalg_vector_norm         0.93%      69.640ms         1.01%      75.130ms       8.131us      36.01 KB      36.01 KB          9240  
                               aten::threshold_backward         0.85%      63.467ms         0.85%      63.467ms      18.030us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.80%      59.764ms         1.07%      80.158ms      20.242us       3.69 KB     -11.78 KB          3960  
                                              aten::div         0.72%      53.957ms         1.04%      77.762ms       8.837us     841.98 MB     841.95 MB          8800  
                                            aten::lerp_         0.72%      53.812ms         0.72%      53.812ms       6.115us           0 B           0 B          8800  
                                         aten::addcdiv_         0.66%      49.281ms         0.66%      49.281ms       5.600us           0 B           0 B          8800  
