-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        19.86%        1.280s       100.00%        6.444s     644.441ms     217.48 KB    -729.82 MB            10  
                               Optimizer.step#Adam.step         7.75%     499.391ms        18.66%        1.202s       2.733ms           0 B    -183.66 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.41%     348.557ms         5.56%     358.161ms     814.003us      69.06 MB      -3.22 MB           440  
                                              aten::bmm         4.66%     300.368ms         4.68%     301.549ms      28.556us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.46%     287.648ms         4.46%     287.648ms       1.773us           0 B           0 B        162240  
                                 aten::mkldnn_rnn_layer         4.41%     284.368ms         4.48%     288.604ms     534.451us       1.04 GB       1.87 MB           540  
                                               aten::mm         2.70%     174.124ms         2.76%     177.611ms       7.279us     493.62 MB     493.62 MB         24400  
                                         aten::_to_copy         2.42%     156.236ms         4.73%     304.883ms       2.270us     524.61 KB      19.38 KB        134300  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.31%     148.679ms         3.07%     197.538ms     352.746us       2.08 MB    -219.53 KB           560  
                                            aten::addmm         2.25%     145.266ms         3.71%     238.887ms      17.015us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.11%     136.151ms         2.62%     168.532ms       7.105us     479.13 MB     479.10 MB         23720  
                                        aten::transpose         1.81%     116.809ms         2.37%     152.884ms       1.484us           0 B           0 B        103040  
                                             aten::add_         1.78%     114.970ms         4.18%     269.196ms       3.922us      24.80 KB    -208.95 KB         68640  
                                       aten::bernoulli_         1.64%     105.485ms         1.64%     105.485ms      18.441us           0 B           0 B          5720  
                                    aten::empty_strided         1.37%      87.993ms         1.37%      87.993ms       0.621us      40.32 MB      40.32 MB        141740  
                                              aten::add         1.35%      87.217ms         1.42%      91.267ms      11.212us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.30%      83.850ms         1.30%      83.850ms       0.831us           0 B           0 B        100860  
                                       aten::as_strided         1.17%      75.121ms         1.17%      75.121ms       0.313us           0 B           0 B        240280  
