-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        20.08%        1.330s       100.00%        6.624s     662.375ms     213.96 KB    -728.67 MB            10  
                               Optimizer.step#Adam.step         7.91%     523.819ms        18.95%        1.255s       2.853ms           0 B    -183.56 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.29%     350.411ms         5.44%     360.460ms     819.227us      69.06 MB      -3.26 MB           440  
                                              aten::bmm         4.64%     307.056ms         4.65%     308.261ms      29.191us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.44%     293.956ms         4.44%     293.956ms       1.801us           0 B           0 B        163220  
                                 aten::mkldnn_rnn_layer         4.39%     290.880ms         4.46%     295.247ms     546.755us       1.04 GB    -234.00 KB           540  
                                               aten::mm         2.66%     176.066ms         2.71%     179.571ms       7.359us     493.57 MB     493.57 MB         24400  
                                         aten::_to_copy         2.50%     165.512ms         4.82%     319.366ms       2.368us     526.72 KB      17.61 KB        134840  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.35%     155.600ms         3.08%     203.944ms     364.186us     133.28 KB    -219.53 KB           560  
                                            aten::addmm         2.18%     144.124ms         3.68%     243.746ms      17.361us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.12%     140.512ms         2.64%     174.661ms       7.200us     479.13 MB     479.09 MB         24260  
                                        aten::transpose         1.79%     118.373ms         2.33%     154.217ms       1.503us           0 B           0 B        102600  
                                             aten::add_         1.78%     117.837ms         4.20%     278.044ms       4.051us      40.06 KB    -193.69 KB         68640  
                                       aten::bernoulli_         1.61%     106.845ms         1.61%     106.845ms      18.679us           0 B           0 B          5720  
                                    aten::empty_strided         1.40%      92.973ms         1.40%      92.973ms       0.651us      40.31 MB      40.31 MB        142720  
                                              aten::add         1.33%      88.047ms         1.39%      91.936ms      11.294us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.28%      84.510ms         1.28%      84.510ms       0.838us           0 B           0 B        100860  
                                       aten::as_strided         1.14%      75.609ms         1.14%      75.609ms       0.315us           0 B           0 B        239840  
