[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.021723 | val=RMSE:530.94|MAE:491.76|MAPE:34.66% | epoch_time=0.31s
[efficiency_close] Epoch 002 | train=0.005927 | val=RMSE:564.74|MAE:538.40|MAPE:37.62% | epoch_time=0.27s
[efficiency_close] Epoch 003 | train=0.005129 | val=RMSE:486.88|MAE:463.65|MAPE:32.43% | epoch_time=0.33s
[efficiency_close] Epoch 004 | train=0.003982 | val=RMSE:492.84|MAE:472.27|MAPE:32.93% | epoch_time=0.32s
[efficiency_close] Epoch 005 | train=0.003984 | val=RMSE:360.65|MAE:340.49|MAPE:23.84% | epoch_time=0.30s
[efficiency_close] Epoch 006 | train=0.004045 | val=RMSE:546.17|MAE:527.03|MAPE:36.72% | epoch_time=0.30s
[efficiency_close] Epoch 007 | train=0.004016 | val=RMSE:385.98|MAE:345.15|MAPE:24.50% | epoch_time=0.30s
[efficiency_close] Epoch 008 | train=0.003414 | val=RMSE:395.96|MAE:368.66|MAPE:25.89% | epoch_time=0.30s
[efficiency_close] Epoch 009 | train=0.003144 | val=RMSE:514.97|MAE:497.83|MAPE:34.61% | epoch_time=0.36s
[efficiency_close] Epoch 010 | train=0.002872 | val=RMSE:463.85|MAE:438.09|MAPE:30.67% | epoch_time=0.31s
[efficiency_close] Epoch 011 | train=0.002968 | val=RMSE:470.53|MAE:441.29|MAPE:30.98% | epoch_time=0.30s
[efficiency_close] Epoch 012 | train=0.002842 | val=RMSE:448.37|MAE:409.28|MAPE:28.85% | epoch_time=48.92s
[efficiency_close] Epoch 013 | train=0.002683 | val=RMSE:442.93|MAE:406.75|MAPE:28.65% | epoch_time=0.27s
[efficiency_close] Epoch 014 | train=0.002497 | val=RMSE:491.71|MAE:460.01|MAPE:32.28% | epoch_time=0.26s
[efficiency_close] Epoch 015 | train=0.002159 | val=RMSE:514.28|MAE:486.69|MAPE:34.05% | epoch_time=0.26s
[efficiency_close] Epoch 016 | train=0.002149 | val=RMSE:512.69|MAE:480.71|MAPE:33.71% | epoch_time=0.26s
[efficiency_close] Epoch 017 | train=0.002042 | val=RMSE:486.10|MAE:442.20|MAPE:31.11% | epoch_time=0.26s
[efficiency_close] Epoch 018 | train=0.002054 | val=RMSE:515.86|MAE:487.74|MAPE:34.03% | epoch_time=0.26s
[efficiency_close] Epoch 019 | train=0.001927 | val=RMSE:501.29|MAE:464.84|MAPE:32.57% | epoch_time=0.26s
[efficiency_close] Epoch 020 | train=0.001885 | val=RMSE:538.05|MAE:499.75|MAPE:35.02% | epoch_time=0.26s
[efficiency_close] Epoch 021 | train=0.002045 | val=RMSE:504.39|MAE:459.47|MAPE:32.37% | epoch_time=0.26s
[efficiency_close] Epoch 022 | train=0.001969 | val=RMSE:557.39|MAE:524.39|MAPE:36.70% | epoch_time=0.26s
[efficiency_close] Epoch 023 | train=0.001813 | val=RMSE:517.89|MAE:482.07|MAPE:33.76% | epoch_time=0.26s
[efficiency_close] Epoch 024 | train=0.002080 | val=RMSE:515.16|MAE:476.83|MAPE:33.49% | epoch_time=0.26s
[efficiency_close] Epoch 025 | train=0.001717 | val=RMSE:493.60|MAE:459.03|MAPE:32.21% | epoch_time=0.26s
[efficiency_close] Epoch 026 | train=0.001767 | val=RMSE:548.47|MAE:508.78|MAPE:35.68% | epoch_time=0.26s
[efficiency_close] Epoch 027 | train=0.001741 | val=RMSE:521.98|MAE:476.77|MAPE:33.56% | epoch_time=0.26s
[efficiency_close] Epoch 028 | train=0.001615 | val=RMSE:535.48|MAE:497.21|MAPE:34.92% | epoch_time=0.26s
[efficiency_close] Epoch 029 | train=0.001773 | val=RMSE:563.11|MAE:515.09|MAPE:36.29% | epoch_time=0.26s
[efficiency_close] Epoch 030 | train=0.001519 | val=RMSE:542.20|MAE:486.97|MAPE:34.37% | epoch_time=0.26s
[efficiency_close] Epoch 031 | train=0.001485 | val=RMSE:561.49|MAE:518.32|MAPE:36.43% | epoch_time=0.26s
[efficiency_close] Epoch 032 | train=0.001484 | val=RMSE:574.12|MAE:522.30|MAPE:36.79% | epoch_time=0.26s
[efficiency_close] Epoch 033 | train=0.001465 | val=RMSE:603.99|MAE:554.41|MAPE:39.00% | epoch_time=0.26s
[efficiency_close] Epoch 034 | train=0.001544 | val=RMSE:591.96|MAE:554.56|MAPE:38.86% | epoch_time=0.26s
[efficiency_close] Epoch 035 | train=0.001441 | val=RMSE:582.80|MAE:542.47|MAPE:38.04% | epoch_time=0.26s
[efficiency_close] Epoch 036 | train=0.001303 | val=RMSE:541.65|MAE:488.00|MAPE:34.45% | epoch_time=0.26s
[efficiency_close] Epoch 037 | train=0.001306 | val=RMSE:592.44|MAE:547.34|MAPE:38.42% | epoch_time=0.26s
[efficiency_close] Epoch 038 | train=0.001313 | val=RMSE:609.61|MAE:556.12|MAPE:39.14% | epoch_time=0.26s
[efficiency_close] Epoch 039 | train=0.001287 | val=RMSE:581.33|MAE:528.47|MAPE:37.23% | epoch_time=0.26s
[efficiency_close] Epoch 040 | train=0.001262 | val=RMSE:590.51|MAE:528.31|MAPE:37.34% | epoch_time=0.26s
