-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        20.16%        1.338s       100.00%        6.639s     663.908ms     217.48 KB    -728.42 MB            10  
                               Optimizer.step#Adam.step         7.89%     523.774ms        18.96%        1.259s       2.861ms           0 B    -183.67 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.16%     342.699ms         5.31%     352.764ms     801.736us      69.06 MB      -3.43 MB           440  
                                              aten::bmm         4.66%     309.160ms         4.68%     310.396ms      29.394us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.44%     295.067ms         4.44%     295.067ms       1.819us           0 B           0 B        162240  
                                 aten::mkldnn_rnn_layer         4.35%     289.020ms         4.42%     293.309ms     543.165us       1.04 GB    -254.00 KB           540  
                                               aten::mm         2.68%     178.172ms         2.74%     181.822ms       7.452us     493.62 MB     493.62 MB         24400  
                                         aten::_to_copy         2.52%     167.513ms         4.85%     322.119ms       2.398us     524.61 KB      17.36 KB        134300  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.32%     153.849ms         3.06%     203.447ms     363.298us       2.08 MB    -219.53 KB           560  
                                            aten::addmm         2.24%     148.542ms         3.69%     244.871ms      17.441us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.11%     139.794ms         2.60%     172.941ms       7.291us     479.13 MB     479.10 MB         23720  
                                        aten::transpose         1.81%     119.974ms         2.35%     155.889ms       1.513us           0 B           0 B        103040  
                                             aten::add_         1.78%     118.047ms         4.23%     280.709ms       4.090us      38.21 KB    -195.54 KB         68640  
                                       aten::bernoulli_         1.65%     109.373ms         1.65%     109.373ms      19.121us           0 B           0 B          5720  
                                    aten::empty_strided         1.39%      92.013ms         1.39%      92.013ms       0.649us      40.34 MB      40.34 MB        141740  
                                              aten::add         1.34%      88.635ms         1.40%      92.749ms      11.394us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.28%      85.211ms         1.28%      85.211ms       0.845us           0 B           0 B        100860  
                                       aten::as_strided         1.14%      75.711ms         1.14%      75.711ms       0.315us           0 B           0 B        240280  
