-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        19.93%        1.283s       100.00%        6.437s     643.724ms     217.48 KB    -730.52 MB            10  
                               Optimizer.step#Adam.step         7.79%     501.753ms        18.73%        1.206s       2.740ms           0 B    -183.67 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.48%     352.958ms         5.63%     362.366ms     823.559us      69.06 MB      -3.35 MB           440  
                                              aten::bmm         4.64%     298.406ms         4.65%     299.564ms      28.368us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.48%     288.208ms         4.48%     288.208ms       1.776us           0 B           0 B        162240  
                                 aten::mkldnn_rnn_layer         4.44%     285.663ms         4.50%     289.962ms     536.967us       1.04 GB    -230.00 KB           540  
                                               aten::mm         2.72%     174.848ms         2.77%     178.211ms       7.304us     493.62 MB     493.62 MB         24400  
                                         aten::_to_copy         2.42%     155.889ms         4.72%     304.117ms       2.264us     524.61 KB      20.19 KB        134300  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.31%     148.878ms         3.06%     196.873ms     351.559us       2.08 MB    -219.53 KB           560  
                                            aten::addmm         2.24%     144.437ms         3.70%     238.316ms      16.974us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.10%     135.503ms         2.60%     167.050ms       7.043us     479.13 MB     479.09 MB         23720  
                                        aten::transpose         1.79%     115.524ms         2.34%     150.316ms       1.459us           0 B           0 B        103040  
                                             aten::add_         1.78%     114.472ms         4.16%     268.022ms       3.905us      37.65 KB    -196.10 KB         68640  
                                       aten::bernoulli_         1.62%     104.507ms         1.62%     104.507ms      18.270us           0 B           0 B          5720  
                                    aten::empty_strided         1.38%      88.844ms         1.38%      88.844ms       0.627us      40.32 MB      40.32 MB        141740  
                                              aten::add         1.34%      86.526ms         1.41%      90.660ms      11.138us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.28%      82.543ms         1.28%      82.543ms       0.818us           0 B           0 B        100860  
                                       aten::as_strided         1.14%      73.091ms         1.14%      73.091ms       0.304us           0 B           0 B        240280  
