-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        19.89%        1.279s       100.00%        6.430s     642.982ms     213.96 KB    -728.72 MB            10  
                               Optimizer.step#Adam.step         7.81%     501.899ms        18.86%        1.213s       2.756ms           0 B    -183.56 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.36%     344.363ms         5.50%     353.933ms     804.393us      69.06 MB      -3.35 MB           440  
                                              aten::bmm         4.64%     298.480ms         4.66%     299.612ms      28.372us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.52%     290.942ms         4.52%     290.942ms       1.783us           0 B           0 B        163220  
                                 aten::mkldnn_rnn_layer         4.47%     287.518ms         4.54%     291.799ms     540.368us       1.04 GB    -234.00 KB           540  
                                               aten::mm         2.66%     171.214ms         2.71%     174.509ms       7.152us     493.57 MB     493.57 MB         24400  
                                         aten::_to_copy         2.42%     155.876ms         4.76%     306.333ms       2.272us     526.72 KB      18.59 KB        134840  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.33%     149.753ms         3.05%     196.356ms     350.635us     133.28 KB    -219.53 KB           560  
                                            aten::addmm         2.19%     140.781ms         3.72%     239.475ms      17.057us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.13%     137.240ms         2.65%     170.443ms       7.026us     479.13 MB     479.09 MB         24260  
                                        aten::transpose         1.82%     116.930ms         2.37%     152.430ms       1.486us           0 B           0 B        102600  
                                             aten::add_         1.80%     115.920ms         4.20%     270.025ms       3.934us      25.07 KB    -208.68 KB         68640  
                                       aten::bernoulli_         1.62%     104.075ms         1.62%     104.075ms      18.195us           0 B           0 B          5720  
                                    aten::empty_strided         1.39%      89.653ms         1.39%      89.653ms       0.628us      40.34 MB      40.34 MB        142720  
                                              aten::add         1.35%      87.058ms         1.41%      90.853ms      11.161us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.29%      83.038ms         1.29%      83.038ms       0.823us           0 B           0 B        100860  
                                       aten::as_strided         1.15%      74.160ms         1.15%      74.160ms       0.309us           0 B           0 B        239840  
