-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        20.00%        1.295s       100.00%        6.477s     647.690ms     217.48 KB    -729.89 MB            10  
                               Optimizer.step#Adam.step         7.89%     511.195ms        18.93%        1.226s       2.786ms           0 B    -183.66 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.29%     342.379ms         5.44%     352.044ms     800.101us      69.06 MB      -3.27 MB           440  
                                              aten::bmm         4.63%     299.605ms         4.64%     300.840ms      28.489us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.47%     289.210ms         4.47%     289.210ms       1.783us           0 B           0 B        162240  
                                 aten::mkldnn_rnn_layer         4.38%     283.510ms         4.44%     287.724ms     532.821us       1.04 GB    -230.75 KB           540  
                                               aten::mm         2.68%     173.887ms         2.74%     177.382ms       7.270us     493.62 MB     493.62 MB         24400  
                                         aten::_to_copy         2.43%     157.115ms         4.74%     307.235ms       2.288us     524.61 KB      17.71 KB        134300  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.34%     151.749ms         3.10%     200.475ms     357.992us       2.08 MB    -219.53 KB           560  
                                            aten::addmm         2.24%     144.886ms         3.69%     238.963ms      17.020us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.10%     135.883ms         2.60%     168.276ms       7.094us     479.13 MB     479.10 MB         23720  
                                             aten::add_         1.81%     117.469ms         4.22%     273.602ms       3.986us      35.12 KB    -198.62 KB         68640  
                                        aten::transpose         1.81%     116.935ms         2.36%     152.980ms       1.485us           0 B           0 B        103040  
                                       aten::bernoulli_         1.62%     104.642ms         1.62%     104.642ms      18.294us           0 B           0 B          5720  
                                    aten::empty_strided         1.38%      89.337ms         1.38%      89.337ms       0.630us      40.34 MB      40.34 MB        141740  
                                              aten::add         1.36%      87.969ms         1.42%      92.076ms      11.312us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.30%      84.112ms         1.30%      84.112ms       0.834us           0 B           0 B        100860  
                                       aten::as_strided         1.15%      74.595ms         1.15%      74.595ms       0.310us           0 B           0 B        240280  
